Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),0.255,0.0
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),0.343,1.7000000000000002e-22
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),0.541,2.4e-22
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),0.65,2.7e-22
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),0.902,4e-22
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),1.287,8.3000000000000015e-22
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),1.664,2.42e-21
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),1.893,5.290000000000001e-21
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),2.183,9.42e-21
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),2.553,1.2389999999999999e-20
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),3.293,6.750000000000001e-21
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),4.823,1.52e-21
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),6.77,4.3e-22
17,EXCITATION,C2H2 -> C2H2(v2),0.255,e / C2H2,E + C2H2 -> E + C2H2(v2),9.64,1.2e-22
