Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,4.45,0.0
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,4.5,1.2672599999999999e-25
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,5.0,1.12646e-22
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,5.5,5.44543e-22
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,6.0,1.25729e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,6.5,2.1455e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,7.0,3.11732e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,7.5,4.10782e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,8.0,5.07542e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,8.5,5.99548e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,9.0,6.85483e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,9.5,7.64767e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,10.0,8.37289e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,11.0,9.62866e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,12.0,1.0650299999999999e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,13.0,1.1472899999999999e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,14.0,1.2130299999999999e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,15.0,1.26518e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,16.0,1.3062e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,17.0,1.3381199999999995e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,18.0,1.36259e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,19.0,1.3809299999999998e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,20.0,1.39425e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,30.0,1.38489e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,40.0,1.29309e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,50.0,1.19581e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,60.0,1.1076199999999999e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,70.0,1.0304399999999999e-20
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,80.0,9.63286e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,90.0,9.04689e-21
44,EXCITATION,C2H5 -> C2H4 H,4.45,e / C2H5,E + C2H5 -> E + C2H4 + H,100.0,8.53248e-21
