Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,11.81,0.0
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,12.0,1.93804e-23
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,13.0,2.03654e-23
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,14.0,3.16194e-22
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,15.0,1.05789e-21
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,16.0,2.17268e-21
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,17.0,3.54575e-21
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,18.0,5.07421e-21
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,19.0,6.6787999999999984e-21
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,20.0,8.30259e-21
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,30.0,2.1317899999999998e-20
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,40.0,2.79466e-20
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,50.0,3.0988299999999997e-20
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,60.0,3.22153e-20
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,70.0,3.24982e-20
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,80.0,3.22761e-20
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,90.0,3.17813e-20
80,IONIZATION,C2H6 -> H2 C2H4^+,11.81,e / C2H6,E + C2H6 -> E + E + H2 + C2H4^+,100.0,3.11423e-20
