Num,Reaction,Rate
348,C2H3 + C2H3 => C2H4 + C2H2,3.50d-11
349,C2H3 + C3H8 => C2H4 + C3H7,1.46d-13*(Tgas/298.)**3.30*exp(-43.90/(R*Tgas))
350,C2H3 + C3H8(v1) => C2H4 + C3H7,1.46d-13*(Tgas/298.)**3.30*exp(-43.90/(R*Tgas))
351,C2H3 + C3H8(v2) => C2H4 + C3H7,1.46d-13*(Tgas/298.)**3.30*exp(-43.90/(R*Tgas))
352,C2H3 + C3H7 => C3H8 + C2H2,2.01d-12
353,C2H3 + C3H7 => C3H6 + C2H4,2.01d-12
354,C2H3 + H2 => C2H4 + H,1.61d-13*(Tgas/298.)**2.63*exp(-35.75/(R*Tgas))
355,C2H3 + H => C2H2 + H2,1.60d-10
356,C2H3 + H => C2H4,1.01d-11*Tgas**0.27*exp(-140.92/Tgas)
357,C2H3 => C2H2 + H,2.00d14*exp(-20000./Tgas)
358,C2H2 + H => C2H3,9.30d-12*exp(-1207.85/Tgas)
359,C2H2(v5) + H => C2H3,9.30d-12*exp(-1207.85/Tgas)
360,C2H2(v2) + H => C2H3,9.30d-12*exp(-1207.85/Tgas)
361,C2H2(v13) + H => C2H3,9.30d-12*exp(-1207.85/Tgas)
362,C2H2 + H2 => C2H4,5.00d-13*exp(-163./(R*Tgas))
363,C2H2(v5) + H2 => C2H4,5.00d-13*exp(-163./(R*Tgas))
364,C2H2(v2) + H2 => C2H4,5.00d-13*exp(-163./(R*Tgas))
365,C2H2(v13) + H2 => C2H4,5.00d-13*exp(-163./(R*Tgas))
366,C2H2 + H2 => C2H3 + H,4.00d-12*exp(-272./(R*Tgas))
367,C2H2(v5) + H2 => C2H3 + H,4.00d-12*exp(-272./(R*Tgas))
368,C2H2(v2) + H2 => C2H3 + H,4.00d-12*exp(-272./(R*Tgas))
369,C2H2(v13) + H2 => C2H3 + H,4.00d-12*exp(-272./(R*Tgas))
370,C2H2 + CH3 => C3H5,1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas))
371,C2H2(v5) + CH3 => C3H5,1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas))
372,C2H2(v2) + CH3 => C3H5,1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas))
373,C2H2(v13) + CH3 => C3H5,1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas))
374,C3H8 + H => C3H7 + H2,2.19d-180*Tgas**2.54*exp(-3400.10/Tgas)
375,C3H8(v1) + H => C3H7 + H2,2.19d-180*Tgas**2.54*exp(-3400.10/Tgas)
376,C3H8(v2) + H => C3H7 + H2,2.19d-180*Tgas**2.54*exp(-3400.10/Tgas)
377,C3H8 => C2H5 + CH3,1.10d17*exp(-42470./Tgas)
378,C3H8(v1) => C2H5 + CH3,1.10d17*exp(-42470./Tgas)
379,C3H8(v2) => C2H5 + CH3,1.10d17*exp(-42470./Tgas)
380,C3H8 + CH2 => C4H9H,4.42d-12
381,C3H8(v1) + CH2 => C4H9H,4.42d-12
382,C3H8(v2) + CH2 => C4H9H,4.42d-12
383,C3H7 + C3H7 => C3H6 + C3H8,2.81d-12
384,C3H7 + H2 => C3H8 + H,3.19d-14*(Tgas/298.)**2.84*exp(-38.25/(R*Tgas))
385,C3H7 + H => C3H6 + H2,3.01d-12
386,C3H7 + H => C3H8,6.00d-11
387,C3H7 + H => CH3 + C2H5,6.74d-18*Tgas**2.19*exp(-447.91/Tgas)
388,C3H7 => C3H6 + H,1.25d17*exp(-237./(R*Tgas))
389,C3H7 => C2H4 + CH3,16.0*(Tgas/298.)**-(10.00)*exp(-150./(R*Tgas))
390,C3H6 + H => C3H7,1.29d-11*(Tgas/298.)**0.51*exp(-5.15/(R*Tgas))
391,C3H6(v) + H => C3H7,1.29d-11*(Tgas/298.)**0.51*exp(-5.15/(R*Tgas))
392,C3H6 => CH3 + C2H3,1.28d13*(Tgas/298.)**(-15.70)*exp(-502./(R*Tgas))
393,C4H9H + CH3 => CH4 + C4H9,8.32d-13*exp(-56.87/(R*Tgas))
394,C4H9H => C3H7 + CH3,8.87d-7*exp(-180./(R*Tgas))
395,C4H9H => C2H5 + C2H5,7.84d-6*exp(-207./(R*Tgas))
396,C4H9H + CH2 => C5H12,9.61d-13
397,H2 => H + H,1.88d-8*(Tgas/298.)**(-1.10)*exp(-437./(R*Tgas))
398,H + H => H2,5.52d-30*Tgas**(-1.00)
