Num,Reaction,Rate
76,CH4(v13) + CH^+ => H + C2H4^+,6.50d-11
77,CH4 + CH^+ => H2 + C2H3^+,1.09d-9
78,CH4(v24) + CH^+ => H2 + C2H3^+,1.09d-9
79,CH4(v13) + CH^+ => H2 + C2H3^+,1.09d-9
80,CH4 + CH^+ => H2 + H + C2H2^+,1.43d-10
81,CH4(v24) + CH^+ => H2 + H + C2H2^+,1.43d-10
82,CH4(v13) + CH^+ => H2 + H + C2H2^+,1.43d-10
83,H2 + CH^+ => H + CH2^+,1.20d-9
84,C2H4 + C2H6^+ => C2H6 + C2H4^+,1.15d-9
85,C2H4(v1) + C2H6^+ => C2H6 + C2H4^+,1.15d-9
86,C2H4(v2) + C2H6^+ => C2H6 + C2H4^+,1.15d-9
87,C2H2 + C2H6^+ => C2H3 + C2H5^+,2.47d-10
88,C2H2(v5) + C2H6^+ => C2H3 + C2H5^+,2.47d-10
89,C2H2(v2) + C2H6^+ => C2H3 + C2H5^+,2.47d-10
90,C2H2(v13) + C2H6^+ => C2H3 + C2H5^+,2.47d-10
91,H + C2H6^+ => H2 + C2H5^+,1.00d-10
92,H + C2H5^+ => H2 + C2H4^+,1.00d-11
93,C2H3 + C2H4^+ => C2H2 + C2H5^+,5.00d-10
94,C2H3 + C2H4^+ => C2H4 + C2H3^+,5.00d-10
95,H + C2H4^+ => H2 + C2H3^+,3.00d-10
96,C2H6 + C2H3^+ => C2H4 + C2H5^+,2.91d-10
97,C2H6(v24) + C2H3^+ => C2H4 + C2H5^+,2.91d-10
98,C2H6(v13) + C2H3^+ => C2H4 + C2H5^+,2.91d-10
99,C2H4 + C2H3^+ => C2H2 + C2H5^+,8.90d-10
100,C2H4(v1) + C2H3^+ => C2H2 + C2H5^+,8.90d-10
101,C2H4(v2) + C2H3^+ => C2H2 + C2H5^+,8.90d-10
102,H + C2H3^+ => H2 + C2H2^+,6.80d-11
103,CH4 + C2H2^+ => CH3 + C2H3^+,4.10d-9
104,CH4(v24) + C2H2^+ => CH3 + C2H3^+,4.10d-9
105,CH4(v13) + C2H2^+ => CH3 + C2H3^+,4.10d-9
106,C2H6 + C2H2^+ => C2H3 + C2H5^+,1.31d-10
107,C2H6(v24) + C2H2^+ => C2H3 + C2H5^+,1.31d-10
108,C2H6(v13) + C2H2^+ => C2H3 + C2H5^+,1.31d-10
109,C2H6 + C2H2^+ => C2H4 + C2H4^+,2.48d-10
110,C2H6(v24) + C2H2^+ => C2H4 + C2H4^+,2.48d-10
111,C2H6(v13) + C2H2^+ => C2H4 + C2H4^+,2.48d-10
112,C2H4 + C2H2^+ => C2H2 + C2H4^+,4.14d-10
113,C2H4(v1) + C2H2^+ => C2H2 + C2H4^+,4.14d-10
114,C2H4(v2) + C2H2^+ => C2H2 + C2H4^+,4.14d-10
115,C2H3 + C2H2^+ => C2H2 + C2H3^+,3.30d-10
116,H2 + C2H2^+ => H + C2H3^+,1.00d-11
117,CH4 + C2H^+ => CH3 + C2H2^+,3.74d-10
118,CH4(v24) + C2H^+ => CH3 + C2H2^+,3.74d-10
119,CH4(v13) + C2H^+ => CH3 + C2H2^+,3.74d-10
120,CH3 + H3^+ => H2 + CH4^+,2.10d-9
121,CH2 + H3^+ => H2 + CH3^+,1.70d-9
122,CH + H3^+ => H2 + CH2^+,1.20d-9
123,C2H6 + H3^+ => H2 + H2 + C2H5^+,2.40d-9
124,C2H6(v24) + H3^+ => H2 + H2 + C2H5^+,2.40d-9
125,C2H6(v13) + H3^+ => H2 + H2 + C2H5^+,2.40d-9
126,C2H5 + H3^+ => H2 + C2H6^+,1.40d-9
127,C2H4 + H3^+ => H2 + C2H5^+,1.15d-9
128,C2H4(v1) + H3^+ => H2 + C2H5^+,1.15d-9
129,C2H4(v2) + H3^+ => H2 + C2H5^+,1.15d-9
130,C2H4 + H3^+ => H2 + H2 + C2H3^+,1.15d-9
131,C2H4(v1) + H3^+ => H2 + H2 + C2H3^+,1.15d-9
132,C2H4(v2) + H3^+ => H2 + H2 + C2H3^+,1.15d-9
133,C2H3 + H3^+ => H2 + C2H4^+,2.00d-9
134,C2H2 + H3^+ => H2 + C2H3^+,3.50d-9
135,C2H2(v5) + H3^+ => H2 + C2H3^+,3.50d-9
136,C2H2(v2) + H3^+ => H2 + C2H3^+,3.50d-9
137,C2H2(v13) + H3^+ => H2 + C2H3^+,3.50d-9
138,CH4 + H2^+ => H2 + CH4^+,1.40d-9
139,CH4(v24) + H2^+ => H2 + CH4^+,1.40d-9
140,CH4(v13) + H2^+ => H2 + CH4^+,1.40d-9
141,CH4 + H2^+ => H2 + H + CH3^+,2.30d-9
142,CH4(v24) + H2^+ => H2 + H + CH3^+,2.30d-9
143,CH4(v13) + H2^+ => H2 + H + CH3^+,2.30d-9
144,CH2 + H2^+ => H + CH3^+,1.00d-9
145,CH2 + H2^+ => H2 + CH2^+,1.00d-9
146,CH + H2^+ => H + CH2^+,7.10d-10
147,CH + H2^+ => H2 + CH^+,7.10d-10
148,C2H6 + H2^+ => H2 + C2H6^+,2.94d-10
149,C2H6(v24) + H2^+ => H2 + C2H6^+,2.94d-10
150,C2H6(v13) + H2^+ => H2 + C2H6^+,2.94d-10
151,C2H6 + H2^+ => H2 + H + C2H5^+,1.37d-9
