CH4 flow [mL/min],Applied Voltage (kV),Discharge Power [W],mol%H2,mol%CH4,mol%C2H6,mol%C2H4,mol%C2H2,mol%C3H8,mol%C3H6,mol%C4H10,mol%C5H12,Power density [W/cm3],Residence Time [s]
30,15.0,36.79909090909091,8.706754752063272,87.66945042205343,2.366570912021157,0.16863573098492346,0.12148273635545222,0.700366942855951,0.038507004843156674,0.10932991243224338,0.11890158639042045,4.338338680931472,16.96460033
50,15.0,36.535555555555554,5.655623341186511,91.77114467806406,1.6840479956163807,0.14200741900994135,0.10518706543854306,0.4691082723974356,0.028097042517564088,0.06805026936378625,0.07673391640576815,4.30726982597362,10.178760197999999
70,15.0,36.605555555555554,4.29956241934186,93.75376862486702,1.2694248297527548,0.12521977650438176,0.09099593589336338,0.3385379888408854,0.022084007436213977,0.0459143103828387,0.05449210698067724,4.315522304504011,7.270542998571429
90,15.0,36.53111111111111,3.2934491352209285,95.1887930633963,0.9858875344232187,0.11194226860520826,0.07779478248191393,0.2523423348320504,0.017862728747667967,0.03198139413858005,0.03994675815412396,4.306745859082801,5.654866776666666
30,12.5,27.76666666666667,5.324329809509721,92.28786735236456,1.5551697148389765,0.1445250328172721,0.09810457453630167,0.4322385396680666,0.02563372944756913,0.05689078991923094,0.07524045689829871,3.2734831503886856,16.96460033
30,10.0,22.400000000000002,3.118166676804544,95.41916613478482,0.9276311113939683,0.12721124702145478,0.08987023377313025,0.23172888442533712,0.017483132750539154,0.02607829261657668,0.04266428642961778,2.6407931297253264,16.96460033
