,0
e + C2H4 => e + C2H2 + H + H,1.8113000352992856e+19
CH4(v24) + CH => C2H4 + H,1.7835145029846802e+19
CH4(v13) + CH => C2H4 + H,1.704495889301347e+19
e + C2H5 => e + e + H2 + C2H3^+,1.514900000068767e+19
e + C2H2 => e + C2H2(v13),1.4427141570199998e+19
H + C2H4^+ => H2 + C2H3^+,1.386834738081e+19
C2H6 + CH4^+ => CH4 + H2 + C2H4^+,1.3345318588248726e+19
e + C2H5 => e + e + H + C2H4^+,1.2877000002345142e+19
e + CH2 => e + C + H2,1.2708000000000098e+19
CH4(v24) + CH2^+ => CH3 + CH3^+,1.2640000093187324e+19
CH4(v13) + CH2^+ => CH3 + CH3^+,1.208200010602378e+19
e + CH4(v24) => e + CH + H2 + H,1.1569008725540385e+19
e + C2H6 => e + C2H5 + H,1.1071611922957146e+19
e + CH4(v13) => e + CH + H2 + H,1.1059009933890175e+19
C2H4 + CH4^+ => CH4 + C2H4^+,1.0973345559304626e+19
e + C2H6 => e + C2H2 + H2 + H2,9.116550640203949e+18
e + C2H6 => e + e + H2 + C2H4^+,8.715202085806247e+18
CH4 + CH^+ => H + C2H4^+,8.532300000019168e+18
e + C2H5 => e + CH4 + CH,8.095000410102474e+18
e + CH2 => e + e + H + CH^+,8.03e+18
CH4 + C2H3 => C2H4 + CH3,7.77475931e+18
e + C2H5 => e + CH3 + CH2,7.724300341956426e+18
CH4(v24) + CH3^+ => CH3 + CH4^+,7.471125865926793e+18
e + C2H4 => e + e + H + C2H3^+,7.440600000017808e+18
CH4(v13) + CH3^+ => CH3 + CH4^+,7.141826653014903e+18
CH2 + CH3^+ => H2 + C2H3^+,6.652002865388175e+18
e + C2H6 => e + CH3 + CH3,6.092558921864096e+18
CH + H2 => CH3,5.501081320591542e+18
C2H6 + C2H3^+ => C2H4 + C2H5^+,4.9883022785e+18
e + C2H3 => e + e + H + C2H2^+,4.5971000006207114e+18
e + CH3 => e + e + H2 + CH^+,4.384700000422315e+18
e + C2H6 => e + e + C2H6^+,4.277108374868887e+18
e + e + C2H6^+ => e + C2H6,4.2620629031686723e+18
C2H4 + C2H3^+ => C2H2 + C2H5^+,4.239198423864927e+18
e + C2H6 => e + CH4 + CH2,4.07952992976621e+18
C2H4(v2) + H => C2H5,3.9226103255193e+18
C2H2(v13) + H => C2H3,3.867940102e+18
e + C2H2 => e + e + C2H2^+,3.8434000053936845e+18
CH + CH3 => C2H3 + H,3.838421336526881e+18
C2H2(v2) + H => C2H3,3.755098874e+18
e + CH4^+ => CH2 + H + H,3.559590238309785e+18
H + C2H3^+ => H2 + C2H2^+,3.42281798699434e+18
C2H4 + CH4^+ => CH3 + C2H5^+,3.3635529226964567e+18
H + C2H5^+ => H2 + C2H4^+,3.036723747382e+18
e + C2H4 => e + CH3 + CH,2.4089000022721966e+18
CH4 + CH2 => CH3 + CH3,2.4075766393957356e+18
e + C2H4 => e + CH2 + CH2,2.190200001617419e+18
e + CH2^+ => C + H + H,2.1361000000000643e+18
e + CH4^+ => CH + H2 + H,2.0740190423263503e+18
e + C2H6 => e + e + H + C2H5^+,2.0033001361921375e+18
e + C2H5 => e + C2H3 + H + H,1.942100006544701e+18
C2H6 + CH3^+ => CH4 + C2H5^+,1.8137178466239967e+18
e + C2H6 => e + e + H2 + H + C2H3^+,1.7456000124429573e+18
e + CH4^+ => CH3 + H,1.7356415095362081e+18
e + C2H5 => e + e + CH2 + CH3^+,1.7028e+18
C2H6 + CH => C2H4 + CH3,1.583253337833643e+18
C2H2 + CH4^+ => CH3 + C2H3^+,1.5583573352451072e+18
C2H2 + CH4^+ => CH4 + C2H2^+,1.4316730733585231e+18
CH + CH2 => C2H2 + H,1.262654343751946e+18
e + CH3^+ => CH2 + H,1.1394000403891145e+18
e + C2H3 => e + CH2 + CH,1.0939000050609669e+18
e + C2H4^+ => C2H2 + H + H,9.918116133442999e+17
e + C2H5 => e + e + H2 + H + C2H2^+,9.520900000000069e+17
H + CH4^+ => H2 + CH3^+,8.767551790385792e+17
e + CH3^+ => C + H2 + H,8.558300303373466e+17
e + CH2^+ => CH + H,8.443300000000255e+17
C2H4 + CH3^+ => CH4 + C2H3^+,7.910516992696658e+17
e + C2H6 => e + e + H2 + H2 + C2H2^+,7.771200009223027e+17
e + C2H5^+ => C2H3 + H + H,7.3167473697e+17
e + C2H6 => e + C2H3 + H2 + H,7.305788167364826e+17
C2H3 + C2H4^+ => C2H2 + C2H5^+,7.102450560860001e+17
C2H3 + C2H4^+ => C2H4 + C2H3^+,7.102450560860001e+17
e + C2H5^+ => C2H2 + H2 + H,6.0972886718e+17
e + CH => e + C + H,5.0302000000000026e+17
e + CH4(v24) => e + e + H2 + H + CH^+,4.9725e+17
e + CH4(v13) => e + e + H2 + H + CH^+,4.7533e+17
e + CH3^+ => CH + H + H,4.557700161557046e+17
e + CH2^+ => C + H2,4.069600000000122e+17
e + CH3^+ => CH + H2,3.990500141452873e+17
e + C2H5^+ => CH3 + CH2,3.66599171648e+17
C2H6(v24) + H => C2H5 + H2,3.49501876e+17
e + C2H5^+ => C2H2 + H + H + H,3.42210007003e+17
C2H3 + CH3^+ => CH3 + C2H3^+,3.368605960626627e+17
