,0
e + C3H8(v1) => e + e + H + C3H7^+,6929.489844308975
e + C3H8(v2) => e + e + H + C3H7^+,5967.665755748704
H + H => H2,1514.575220782335
CH2 + C3H8 => C3H7 + CH3,354.7890754227001
e + C3H8(v1) => e + e + H2 + C3H6^+,231.0681989458866
e + C3H8(v2) => e + e + H2 + C3H6^+,176.6175374950499
C2H2 + H2 => C2H4,4.05363487
CH2 + C3H8(v1) => C3H7 + CH3,1.8888979094804599
CH2 + C3H8(v2) => C3H7 + CH3,1.7257562423887889
C2H2(v5) + H2 => C2H4,0.22124639372000002
C2H2(v2) + H2 => C2H4,0.07279850814
CH + C2H6 => C3H7,0.07242598918869032
C2H2(v13) + H2 => C2H4,0.049686130466999996
C3H7 => C3H6 + H,0.0074998007420000005
CH + C2H6(v24) => C3H7,2.3956925648093923e-05
CH + C2H6(v13) => C3H7,2.258523206509837e-05
C2H4 + H2 => C2H6,7.184403207290001e-06
C2H4(v1) + H2 => C2H6,1.3696923724000001e-08
C3H7 => C2H4 + CH3,1.1621633954e-08
C2H4(v2) + H2 => C2H6,2.6256537260999995e-09
C2H6 => CH3 + CH3,4.31946468e-13
C2H2 + H2 => C2H3 + H,1.8900836099999998e-13
C4H9H => C3H7 + CH3,1.7279067783e-14
C2H2(v5) + H2 => C2H3 + H,1.0316032355900001e-14
C2H6(v13) => CH3 + CH3,8.9913671563e-15
C2H6(v24) => CH3 + CH3,8.7535030214e-15
C2H2(v2) + H2 => C2H3 + H,3.3943706694000005e-15
C2H2(v13) + H2 => C2H3 + H,2.3167095376e-15
C2H4 + C2H2 => C2H3 + C2H3,4.0408959891530003e-16
C2H4 + C2H4 => C2H5 + C2H3,2.4936913666687947e-16
C3H8 => C2H5 + CH3,1.831380577396234e-16
C4H9H => C2H5 + C2H5,4.5493322769999996e-17
C2H4 => C2H2 + H2,1.9155511620580002e-17
C3H8(v1) => C2H5 + CH3,8.569300921743393e-18
C3H8(v2) => C2H5 + CH3,7.684565320965085e-18
CH4 => CH3 + H,9.263968e-19
C2H4(v1) + C2H2 => C2H3 + C2H3,8.0285592348e-19
C2H4 + C2H2(v5) => C2H3 + C2H3,6.142381681e-19
C2H4(v2) + C2H2 => C2H3 + C2H3,1.5200900214e-19
C2H4(v1) => C2H2 + H2,3.6764653112e-20
C2H4 + C2H2(v2) => C2H3 + C2H3,3.197282662000001e-20
C2H4 + C2H2(v13) => C2H3 + C2H3,2.5113508089999998e-20
CH4(v13) => CH3 + H,1.562225568e-20
CH4(v24) => CH3 + H,1.389539726e-20
C2H4(v2) => C2H2 + H2,7.030160321e-21
C2H4(v1) + C2H4(v1) => C2H5 + C2H3,5.85094002868e-22
C2H4(v2) + C2H4(v2) => C2H5 + C2H3,2.1238465241959998e-23
C2H4 + C3H6 => C2H3 + C3H7,4.7664480482573e-25
C2H4(v1) + C3H6 => C2H3 + C3H7,7.785634945584001e-28
C2H4 + C3H6(v) => C2H3 + C3H7,4.698920737311999e-28
C2H4(v2) + C3H6 => C2H3 + C3H7,1.5046888565380001e-28
CH3 => CH + H2,3.20870369e-34
CH3 => CH2 + H,2.8240918299999996e-38
CH2 => CH + H,1.5872994624085548e-38
C2H4 => C2H3 + H,4.116828433480001e-42
C3H6 => CH3 + C2H3,6.895628034000001e-43
C2H4(v1) => C2H3 + H,7.901321868e-45
C2H4(v2) => C2H3 + H,1.5108948405e-45
H2 => H + H,5.69873196e-46
CH2 + H2^+ => H + CH3^+,0.0
CH2 + H2^+ => H2 + CH2^+,0.0
CH + H2^+ => H + CH2^+,0.0
CH + H2^+ => H2 + CH^+,0.0
H2 + H2^+ => H + H3^+,0.0
e + H2^+ => H + H,0.0
e + H3^+ => H + H2,0.0
H + H2^+ => H3^+,0.0
H + H2^+ => H2 + H^+,0.0
C2H6(v13) + H2^+ => H2 + H + C2H5^+,0.0
C2H6 + H2^+ => H2 + H2 + C2H4^+,0.0
C2H6(v24) + H2^+ => H2 + H2 + C2H4^+,0.0
C2H6(v13) + H2^+ => H2 + H2 + C2H4^+,0.0
C2H6 + H2^+ => H2 + H2 + H + C2H3^+,0.0
C2H6(v24) + H2^+ => H2 + H2 + H + C2H3^+,0.0
C2H6(v13) + H2^+ => H2 + H2 + H + C2H3^+,0.0
C2H6 + H2^+ => H2 + H2 + H2 + C2H2^+,0.0
C2H6(v24) + H2^+ => H2 + H2 + H2 + C2H2^+,0.0
C2H6(v13) + H2^+ => H2 + H2 + H2 + C2H2^+,0.0
C2H4 + H2^+ => H2 + C2H4^+,0.0
C2H4(v1) + H2^+ => H2 + C2H4^+,0.0
C2H4(v2) + H2^+ => H2 + C2H4^+,0.0
C2H4 + H2^+ => H2 + H + C2H3^+,0.0
C2H4(v1) + H2^+ => H2 + H + C2H3^+,0.0
C2H4(v2) + H2^+ => H2 + H + C2H3^+,0.0
C2H4 + H2^+ => H2 + H2 + C2H2^+,0.0
C2H4(v1) + H2^+ => H2 + H2 + C2H2^+,0.0
C2H4(v2) + H2^+ => H2 + H2 + C2H2^+,0.0
C2H2 + H2^+ => H + C2H3^+,0.0
C2H2(v5) + H2^+ => H + C2H3^+,0.0
C2H2(v2) + H2^+ => H + C2H3^+,0.0
C2H2(v13) + H2^+ => H + C2H3^+,0.0
C2H2 + H2^+ => H2 + C2H2^+,0.0
C2H2(v5) + H2^+ => H2 + C2H2^+,0.0
C2H2(v2) + H2^+ => H2 + C2H2^+,0.0
C2H2(v13) + H2^+ => H2 + C2H2^+,0.0
C2H6 + H2^+ => H2 + H + C2H5^+,0.0
C2H6(v13) + H2^+ => H2 + C2H6^+,0.0
C2H6(v24) + H2^+ => H2 + C2H6^+,0.0
C2H6(v24) + H2^+ => H2 + H + C2H5^+,0.0
C2H6 + H2^+ => H2 + C2H6^+,0.0
C3H8(v1) + H => C3H7 + H2,0.0
C3H8(v2) + H => C3H7 + H2,0.0
C3H8 + H => C3H7 + H2,0.0
CH4(v13) + H2^+ => H2 + CH4^+,0.0
CH4 + H2^+ => H2 + H + CH3^+,0.0
CH4(v24) + H2^+ => H2 + H + CH3^+,0.0
CH4(v13) + H2^+ => H2 + H + CH3^+,0.0
CH + H3^+ => H2 + CH2^+,0.0
CH2 + H3^+ => H2 + CH3^+,0.0
CH3 + H3^+ => H2 + CH4^+,0.0
C2H6 + H3^+ => H2 + H2 + C2H5^+,0.0
C2H2 + H3^+ => H2 + C2H3^+,0.0
C2H3 + H3^+ => H2 + C2H4^+,0.0
C2H4(v2) + H3^+ => H2 + H2 + C2H3^+,0.0
C2H4(v1) + H3^+ => H2 + H2 + C2H3^+,0.0
C2H4 + H3^+ => H2 + H2 + C2H3^+,0.0
C2H4(v2) + H3^+ => H2 + C2H5^+,0.0
C2H4(v1) + H3^+ => H2 + C2H5^+,0.0
C2H4 + H3^+ => H2 + C2H5^+,0.0
C2H5 + H3^+ => H2 + C2H6^+,0.0
C2H6(v13) + H3^+ => H2 + H2 + C2H5^+,0.0
C2H6(v24) + H3^+ => H2 + H2 + C2H5^+,0.0
CH4 + H2^+ => H2 + CH4^+,0.0
CH4(v24) + H2^+ => H2 + CH4^+,0.0
C2H2(v13) + H3^+ => H2 + C2H3^+,0.0
C2H2(v2) + H3^+ => H2 + C2H3^+,0.0
C2H2(v5) + H3^+ => H2 + C2H3^+,0.0
