exp,V,E,t,VF,VA,VB,CF_LA,CA_LA,CF_K,CB_K,I
21,30,0.25,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.1
21,30,0.25,2.0,1.08641975308642,0.9876543209876544,1.925925925925926,0.921235935,-0.0008595285000001201,1.389,0.2549230769230768,1.0
21,30,0.25,3.0,1.044776119402985,1.0149253731343282,1.9402985074626864,0.86458547,0.09527966323529422,0.986075,0.4998057692307693,1.2
21,30,0.25,4.0,0.9950248756218907,1.0149253731343284,1.9900497512437814,0.76817617,0.2321802254901959,0.5879599999999999,0.7110199999999999,1.3
21,30,0.25,5.0,0.9045226130653264,1.085427135678392,2.0100502512562812,0.64463172,0.38410319629629636,0.31670719999999997,0.8524817600000001,1.2
21,30,0.25,6.0,0.8101265822784809,1.1139240506329113,2.075949367088607,0.49958273500000006,0.5343943745454546,0.14827519999999994,0.9055511414634149,1.0
22,30,0.25,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.1
22,30,0.25,2.0,1.0,1.0,2.0,0.44739506,0.05260493999999999,0.6031770000000001,0.19841149999999996,0.7
22,30,0.25,3.0,1.0,1.0,2.0,0.381499395,0.11850060499999998,0.30965040000000005,0.3451748,0.9
22,30,0.25,4.0,0.8999999999999999,1.05,2.05,0.23554018000000004,0.27429889333333335,0.12439920000000004,0.43319059512195124,0.8
22,30,0.25,5.0,0.8500000000000001,1.1,2.05,0.05950895000000004,0.4085612659090908,0.035998962000000044,0.4728784791707317,0.7
22,30,0.25,6.0,0.8101265822784809,1.1139240506329113,2.075949367088607,0.0,0.4488636363636364,0.001501593000000041,0.48112132956097575,0.1
23,30,0.25,0.0,1.0,1.0,3.0,3.0,0.0,6.0,0.0,0.1
23,30,0.25,2.0,1.1374876360039565,0.9891196834817013,2.873392680514342,2.5291749500000003,0.12444880749999962,4.337992,0.37084654044750415,1.2
23,30,0.25,3.0,1.1935807422266802,1.003009027081244,2.803410230692077,2.2999648,0.2540418879999992,3.848802,0.5015834060822895,1.4
23,30,0.25,4.166666667,1.2012012012012012,1.001001001001001,2.797797797797798,2.1318287000000002,0.4388055599999997,3.348,0.7071198568872987,1.6
23,30,0.25,5.0,1.1864406779661016,0.9970089730807578,2.8165503489531405,1.9081927500000002,0.7382506274999999,2.948658,0.888175922123894,1.6
23,30,0.25,6.0,1.148851148851149,1.0289710289710292,2.822177822177822,1.97823105,0.7068294101941742,2.609058,1.063923292035398,1.7
24,20,0.25,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.1
24,20,0.25,1.0,1.0198019801980196,0.99009900990099,0.99009900990099,0.48726582,0.0031162054000000742,0.942373,0.03935581000000022,0.1
24,20,0.25,3.0,1.0693069306930691,0.99009900990099,0.9405940594059404,0.471409335,-0.004122081799999932,0.7440256,0.21731826526315814,0.3
24,20,0.25,4.0,1.0728476821192052,0.9834437086092713,0.943708609271523,0.439474295,0.02899100478114479,0.572016,0.4093572491228072,0.5
24,20,0.25,5.0,1.0657894736842106,0.9671052631578947,0.9671052631578947,0.402099685,0.07387653761904758,0.36535059999999997,0.6313823319727891,0.8
24,20,0.25,6.0,1.0,1.0,1.0,0.29677302499999997,0.20322697500000003,0.18698099999999998,0.813019,0.8
24,20,0.25,7.0,0.8999999999999999,1.05,1.05,0.121462715,0.37207957761904764,0.08638144799999997,0.8783397112380952,0.7
25,20,0.25,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.1
25,20,0.25,1.0,1.0421836228287842,0.9727047146401985,1.9851116625310172,0.94727,0.013129081632653104,1.8565342,0.03281954499999998,0.2
25,20,0.25,2.0,1.0673316708229428,0.9675810473815462,1.9650872817955112,0.913084295,0.026288458092783393,1.6978592000000001,0.09557901319796933,0.3
25,20,0.25,4.0,1.1328320802005014,0.9323308270676692,1.93483709273183,0.83756078,0.05489926731182775,1.2538672,0.29954925595854914,0.6
25,20,0.25,5.0,1.1328320802005014,0.9323308270676692,1.93483709273183,0.807841485,0.09100980854838701,1.0161982,0.4387026082901552,0.8
25,20,0.25,6.0,1.111111111111111,0.9393939393939393,1.9494949494949496,0.749832575,0.17761738440860234,0.7576672,0.5940756891191711,0.9
25,20,0.25,7.0,1.057934508816121,0.9773299748110831,1.964735516372796,0.664376875,0.30402503221649485,0.5462750000000001,0.723800641025641,0.9
26,35,0.5,0.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0
26,35,0.5,1.0,1.0784313725490196,0.9607843137254901,1.9607843137254901,2.654659375,0.14272927295918367,2.96916,-0.10303800000000002,1.9
26,35,0.5,3.0,1.0918114143920596,0.9727047146401985,1.9354838709677418,2.2611456249999997,0.546163073979592,2.277,0.26553846153846133,3.0
26,35,0.5,4.0,1.0223325062034738,1.0421836228287842,1.9354838709677418,2.10694219,0.8117614707619051,1.8436902000000002,0.5761533815384616,3.4
26,35,0.5,5.0,0.8844221105527637,1.1055276381909547,2.0100502512562812,1.8444815599999997,1.2380511156363643,1.4189758000000001,0.8681506480000002,3.7
26,35,0.5,6.0,0.6799999999999999,1.22,2.1,1.4862904700000001,1.6305921970491803,1.1168550000000002,1.0669231428571426,3.6
26,35,0.5,7.0,0.428927680798005,1.3765586034912718,2.1945137157107233,0.7502584399999999,1.9455716455072465,0.8300518000000001,1.204808057272727,3.6
27,35,0.25,0.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.2
27,35,0.25,2.0,1.1055276381909547,0.9849246231155778,1.9095477386934672,2.29113906,0.47423166734693906,2.56732,0.08470947368421061,3.1
27,35,0.25,3.0,1.0483460559796438,1.0178117048346056,1.9338422391857506,2.09269578,0.7920233465999997,2.0989877999999997,0.41344345578947383,3.4
27,35,0.25,4.0,0.9160305343511449,1.099236641221374,1.984732824427481,1.871012185,1.1699898458333333,1.644255,0.7526515384615385,3.6
27,35,0.25,5.0,0.7468030690537084,1.207161125319693,2.0460358056265986,1.5499557800000001,1.526298542881356,1.2689718,1.003075293,3.6
27,35,0.25,6.0,0.5089058524173028,1.3231552162849873,2.16793893129771,1.001711875,1.882033894230769,0.9790062,1.1539891549295773,3.5
28,35,1.0,0.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.4
28,35,1.0,1.0,1.0827067669172932,0.9824561403508771,1.9348370927318295,2.5427321849999998,0.25137677571428607,2.90748,-0.07646549222797926,2.7
28,35,1.0,3.0,0.9974554707379134,1.0381679389312977,1.9643765903307888,2.088476875,0.8831300612745099,1.9545312000000001,0.5347458155440415,4.0
28,35,1.0,4.0,0.840506329113924,1.1341772151898732,2.0253164556962022,1.857594685,1.2684789387946431,1.4774,0.8681290000000002,4.1
28,35,1.0,5.0,0.6122448979591837,1.2755102040816326,2.1122448979591835,1.421264375,1.6697931,1.1237750000000002,1.0945579710144928,3.9
28,35,1.0,6.0,0.3384615384615385,1.435897435897436,2.2256410256410257,0.516971875,1.9674280580357144,0.710975,1.2398056451612902,3.7
29,35,0.5,0.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0
29,35,0.5,2.0,1.090909090909091,0.98989898989899,1.9191919191919191,2.4188475,0.36494357142857115,2.50896,0.13701221052631554,3.4
29,35,0.5,2.933333333,1.0404040404040404,1.0101010101010102,1.9494949494949496,2.22316344,0.6801416567999999,1.9898672000000002,0.47691025077720195,4.2
29,35,0.5,3.933333333,0.7938931297709924,1.1704834605597962,2.035623409669211,1.9454914049999998,1.2434927861739133,1.4382752,0.912822672,4.4
29,35,0.5,4.933333333,0.585858585858586,1.292929292929293,2.1212121212121215,1.322767345,1.720933546796875,0.9786128000000001,1.1440021790476187,4.4
29,35,0.5,5.933333333,0.2886597938144331,1.443298969072165,2.268041237113402,0.010541639999999908,2.076463100571429,0.42525580800000007,1.2686038062545455,3.5
29,35,0.5,6.933333333,0.2371134020618557,1.443298969072165,2.3195876288659796,0.0,2.0785714285714287,0.34194514200000004,1.25837894104,1.0
