exp,Voltage [V],Electrolyte [M],Ci_LA [M],Ci_K [M],Time [hr],CF_LA [M],CA_LA [M],CB_LA [M],CF_K [M],CA_K [M],CB_K [M],pH_F,pH_A,pH_B,VF_Tank [L],VA_Tank [L],VB_Tank [L],VF_Line [L],VA_Line [L],VB_Line [L],SEC [kWh/kg],Current [A]
7,30,0.25,1,2,3,0.822087,0.1348432,-0.0002144,1.0685389,0.013389572,1.05050163,13.6,2.77,13.69,0.83,0.79,1.78,0.18,0.2,-0.8,2.269550678,1.7
7,30,0.25,1,2,4,0.67462,0.33685705,0.00429807,0.6874864,0.01768545,1.34772108,13.04,2.45,13.85,0.73,0.83,1.82,0.18,0.2,-0.8,1.473741621,2
7,30,0.25,1,2,6,-0.00596448,0.8274965,0.020059005,0.004412722,0.020284938,1.619068,10.92,2.13,13.97,0.45,1.1,2.1,0.18,0.2,-0.8,0.796727348,0.3
8,30,0.25,1,2,0,0.965021,-0.006195,-0.006195,1.9981741,0.003595459,0.013451511,13.91,5.74,11.56,0.81,0.81,1.86,0.19,0.19,-0.86,0,0.1
8,30,0.25,1,2,1,0.915156,0.012955675,-0.003057245,1.7124624,0.008142143,0.710621201,13.85,3.63,13.13,0.85,0.78,1.8,0.19,0.19,-0.86,2.805584808,0.7
8,30,0.25,1,2,2,0.8565825,0.09022505,-0.001025155,1.3357261,0.0128631,1.00843675,13.6,2.94,13.43,0.81,0.78,1.81,0.19,0.19,-0.86,1.682126848,1.2
8,30,0.25,1,2,3,0.754032,0.2444703,0.00190062,0.9437869,0.017469242,1.20616947,13.21,2.57,13.61,0.73,0.78,1.85,0.19,0.19,-0.86,1.302886845,1.7
8,30,0.25,1,2,3.5,0.6406685,0.38285115,0.004782185,0.65524,0.019905272,1.33631507,12.77,2.39,13.73,0.68,0.8,1.89,0.19,0.19,-0.86,1.076356317,1.8
8,30,0.25,1,2,4,0.44065315,0.559966,0.008459675,0.450880369,0.01958,1.44887408,11.89,2.27,13.83,0.56,0.89,1.91,0.19,0.19,-0.86,0.851880249,2
8,30,0.25,1,2,4.5,0.1753536,0.73623,0.013488785,0.288603184,0.020990552,1.53552643,11.39,2.15,13.78,0.49,0.92,1.96,0.19,0.19,-0.86,0.763532366,1.9
8,30,0.25,1,2,5,-0.004823405,0.821043,0.01965593,0.004481185,0.020501978,1.56499387,11.16,2.18,13.79,0.41,0.93,2,0.19,0.19,-0.86,0.79303461,1.9
9,30,0.25,0.5,1,0,0.48327375,-0.005766865,-0.00596829,1.0902781,0.00376505,0.013965134,13.57,5.26,11.54,0.8,0.81,0.82,0.2,0.19,1.18,0,0.1
9,30,0.25,0.5,1,1,0.466157345,0.00237826,-0.00355676,1.0712556,0.00613372,0.630395601,13.56,3.74,12.98,0.79,0.79,0.84,0.2,0.19,1.18,5.232409079,0.6
9,30,0.25,0.5,1,2,0.433008125,0.04099819,-0.00060569,0.7466796,0.009161842,0.822383943,13.33,3.08,13.36,0.79,0.79,0.81,0.2,0.19,1.18,2.905477988,1
9,30,0.25,0.5,1,3,0.323587735,0.168370135,0.00037209,0.388439809,0.01416924,1.05373907,12.15,2.63,13.63,0.83,0.81,0.74,0.2,0.19,1.18,1.568251355,1.4
9,30,0.25,0.5,1,4,0.00708185,0.433770235,0.004461995,0.007571535,0.018550922,1.25005068,10.73,2.31,13.74,0.9,0.9,0.62,0.2,0.19,1.18,0.870637683,0.8
11,30,0.25,1,2,0,0.9885465,-0.006195,-0.006195,1.9230736,0.003626151,0.01261753,13.88,9.05,11.43,0.8,0.8,1.9,0.2,0.2,0.1,0,0.1
11,30,0.25,1,2,1,0.9379955,0.009873,-0.004644535,1.6793136,0.007576866,0.788422459,13.85,3.6,12.86,0.84,0.79,1.78,0.2,0.2,0.1,4.084081778,0.9
11,30,0.25,1,2,2,0.8801775,0.0714568,-0.00333441,1.2810421,0.011419964,1.15097387,13.68,2.97,13.28,0.82,0.79,1.81,0.2,0.2,0.1,2.48057891,1.4
11,30,0.25,1,2,3,0.7854075,0.1989927,0.00063691,0.9762901,0.015149048,1.53879963,13.27,2.58,13.61,0.77,0.8,1.86,0.2,0.2,0.1,1.792157549,1.8
11,30,0.25,1,2,4,0.550389,0.47321085,0.008290905,0.524936596,0.019905272,1.59448075,12.18,2.31,13.79,0.61,0.9,1.92,0.2,0.2,0.1,1.08997521,1.8
11,30,0.25,1,2,5,0.038461435,0.8034745,0.01711646,0.210183109,0.020610522,1.59448075,11.16,2.18,13.8,0.5,1.1,1.92,0.2,0.2,0.1,0.730864992,1.5
12,30,0.25,1,2,0,0.97582383,-0.006195,-0.006195,1.9175164,0.003652126,0.012656004,13.82,4.96,11.31,0.8,0.8,1.84,0.2,0.2,0.16,0,0.1
12,30,0.25,1,2,1,0.935166485,-0.004632065,-0.00541778,1.7982301,0.004603265,0.030677798,13.82,10.69,12.4,0.88,0.79,1.8,0.2,0.2,0.16,14.88898519,0.3
12,30,0.25,1,2,2,0.85757344,0.019034915,-0.003309575,1.4041936,0.00893749,0.697775025,13.75,3.6,13.13,0.95,0.74,1.74,0.2,0.2,0.16,2.769033068,0.5
12,30,0.25,1,2,3,0.81875625,0.060770725,-0.002197625,1.2018924,0.011618291,0.804836523,13.65,3.15,13.32,0.95,0.74,1.72,0.2,0.2,0.16,2.049796265,0.7
12,30,0.25,1,2,4,0.764485545,0.13008047,-0.00067562,1.0495276,0.014287608,0.92765675,13.5,2.91,13.47,0.91,0.72,1.7,0.2,0.2,0.16,1.6926432,0.8
12,30,0.25,1,2,5,0.69799875,0.23700785,0.0014383,0.7736176,0.016875,1.06021467,13.17,2.71,13.54,0.88,0.78,1.76,0.2,0.2,0.16,1.301166851,0.9
12,30,0.25,1,2,6,0.577157345,0.38974629,0.0046919,0.551441569,0.019200698,1.10395008,12.45,2.55,13.6,0.78,0.79,1.68,0.2,0.2,0.16,1.071773183,1
12,30,0.25,1,2,7,0.388549725,0.5891707,0.009179025,0.403106164,0.021153482,1.15421875,11.75,2.44,13.7,0.7,0.8,1.8,0.2,0.2,0.16,0.825400319,1
15,30,0.25,1,2,0,0.982066015,-0.00580286,-0.005775015,1.9369701,0.003784137,0.014951507,13.9,9.69,11.69,0.81,0.81,1.8,0.19,0.19,0.2,0,0.2
15,30,0.25,1,2,1,0.93744297,0.00825099,-0.00371678,1.5942662,0.006905518,0.0825735,13.85,3.62,12.85,0.88,0.79,1.78,0.19,0.19,0.2,4.249573907,0.8
15,30,0.25,1,2,3,0.868453045,0.074556125,-0.002160395,1.1287928,0.010600438,0.23167544,13.65,2.96,13.24,0.85,0.79,1.78,0.19,0.19,0.2,4.652035452,1.8
15,30,0.25,1,2,4,0.769744845,0.21767953,-0.000154385,0.5906862,0.014341418,0.45972454,13.31,2.57,13.5,0.749,0.81,1.79,0.19,0.19,0.2,2.567727015,1.8
15,30,0.25,1,2,5,0.469078985,0.5204391,0.0035109,0.2028312,0.018550922,0.70909414,11.76,2.25,13.63,0.64,0.92,1.85,0.19,0.19,0.2,1.289617545,0.8
15,30,0.25,1,2,6,0.0108308,0.8237644,0.00911553,0.014233802,0.02093625,0.86148854,10.91,2.11,13.7,0.48,1.1,1.95,0.19,0.19,0.2,0.7072098,0.6
16,10,0.25,1,2,0,0.99474461,-0.006195,-0.006195,1.94402,0.003672271,0.013364868,13.84,8.45,11.59,0.81,0.82,1.82,0.19,0.18,0.18,0,0
16,10,0.25,1,2,1,0.94515039,-0.005795525,-0.00552235,1.8053672,0.004057781,0.027443449,13.89,10.65,12.32,0.89,0.79,1.74,0.19,0.18,0.18,5.916283773,0.1
16,10,0.25,1,2,2,0.90080844,-0.00440763,-0.004741635,1.6482312,0.006213522,0.047392598,13.81,11.26,12.65,0.95,0.76,1.7,0.19,0.18,0.18,3.501741902,0.2
16,10,0.25,1,2,3,0.863724845,-0.001419455,-0.003906025,1.4849208,0.008878742,0.075578485,13.8,11.48,12.89,1,0.74,1.69,0.19,0.18,0.18,2.983329468,0.2
16,10,0.25,1,2,4,0.870966405,0.002234375,-0.003034375,1.3181742,0.010450561,0.108846,13.7,11.4,13.01,0.96,0.71,1.74,0.19,0.18,0.18,2.686671631,0.2
17,30,0.25,3,6,0,2.8289365,0.00270957,-0.004663895,5.05879,0.006969428,0.056369954,14.73,4.53,12.64,0.84,0.8,1.77,0.16,0.2,0.23,0,1
17,30,0.25,3,6,1,2.6866297,0.06995248,-0.00241775,4.1513776,0.013470188,0.29793144,14.52,3.22,13.35,0.9,0.78,1.72,0.16,0.2,0.23,2.255018596,1.7
17,30,0.25,3,6,2,2.53602735,0.217948085,0.000418485,3.5221264,0.017847648,0.61951014,14.38,2.8,13.65,0.93,0.78,1.69,0.16,0.2,0.23,1.776687008,2.3
17,30,0.25,3,6,3,2.4083578,0.421681055,0.00606283,2.7969525,0.021370778,1.41132267,14.19,2.54,13.78,0.89,0.79,1.69,0.16,0.2,0.23,1.571598935,2.7
17,30,0.25,3,6,4,2.1634496,0.67609805,0.01465566,2.1655861,0.024146912,1.74385088,14.02,2.41,13.94,0.8,0.81,1.74,0.16,0.2,0.23,1.415505539,2.9
17,30,0.25,3,6,5,2.1651541,0.93351515,0.024000655,1.6268869,0.02583945,1.96140272,13.82,2.31,14.04,0.7,0.9,1.94,0.16,0.2,0.23,1.251769471,2.9
18,20,0.25,3,6,0,2.8496455,-0.00569794,-0.005563735,4.5553221,0.005453108,0.026595973,14.7,11.1,12.23,0.86,0.8,1.79,0.14,0.2,0.21,0,0.1
18,20,0.25,3,6,3,2.33701385,0.138303595,0.000808355,3.1450429,0.013491688,0.56346774,14.32,3.26,13.61,1.04,0.69,1.64,0.14,0.2,0.21,1.738799461,1.4
18,20,0.25,3,6,4,2.29388985,0.260849045,0.0048852,2.7713916,0.025784792,0.82793976,14.24,2.99,13.72,1.045,0.67,1.62,0.14,0.2,0.21,1.435288846,1.6
18,20,0.25,3,6,5,2.17278555,0.409563435,0.01044025,2.3618101,0.029510648,1.47828428,14.07,2.86,13.78,1.03,0.68,1.61,0.14,0.2,0.21,1.237468026,1.7
18,20,0.25,3,6,6,2.04360155,0.58070746,0.018268405,2.0399596,0.033199802,1.65023123,13.99,2.73,13.86,0.99,0.69,1.68,0.14,0.2,0.21,1.107823184,1.7
18,20,0.25,3,6,7,1.9599875,0.779906565,0.02834515,1.7622396,0.036407898,1.82448675,13.85,2.7,13.94,0.95,0.69,1.69,0.14,0.2,0.21,1.006955376,1.7
23,30,0.25,3,6,0,3.1465758,-0.005463035,-0.004927605,5.318568,0.00483156,0.023376474,14.64,10.9,12.16,0.8,0.81,2.59,0.2,0.19,0.41,0,0.2
23,30,0.25,3,6,1,2.82672635,0.03173328,-0.00350529,4.491782,0.011720155,0.1504415,14.54,3.64,13.11,0.9,0.78,2.58,0.2,0.19,0.41,3.239008466,1.5
23,30,0.25,3,6,3,2.4659539,0.36224672,0.001496155,2.917638,0.02093625,0.591294,14.32,2.58,13.59,0.9,0.79,2.66,0.2,0.19,0.41,1.652260279,2.6
23,30,0.25,3,6,4,2.3397953,0.65969164,0.00677165,2.2022,0.023056992,0.85872184,14.13,2.43,13.71,0.81,0.82,2.68,0.2,0.19,0.41,1.339004259,2.8
23,30,0.25,3,6,5,2.1254424,0.949564765,0.01486921,1.573592,0.024310538,1.136784,13.84,2.28,13.72,0.7,0.91,2.6,0.2,0.19,0.41,1.157718428,2.9
23,30,0.25,3,6,6,2.09925995,1.25138586,0.024912305,1.09724768,0.024965402,1.2818016,13.45,2.12,13.91,0.58,1,2.6,0.2,0.19,0.41,1.021963132,2.7
23,30,0.25,3,6,7,1.4578088,1.56348328,0.035674895,0.74442458,0.02529305,1.4236134,12.74,2.02,13.92,0.37,1,2.69,0.2,0.19,0.41,0.975568568,2.5
25,20,0.25,1,2,0,0.94828547,-0.005637835,-0.00598971,1.7402472,0.004566108,0.015707313,,,,0.89,0.85,1.8,0.11,0.15,0.2,0,0.1
25,20,0.25,1,2,2,0.839428905,0.018852555,-0.00384429,1.2666312,0.00882,0.12962624,,,,0.99,0.8,1.79,0.11,0.15,0.2,2.679323226,0.6
25,20,0.25,1,2,4,0.745995705,0.12373867,-0.00136348,0.7437542,0.013330459,0.32888416,13.476,3,13.484,0.98,0.79,1.79,0.11,0.15,0.2,1.438265703,0.9
25,20,0.25,1,2,9,0.02503786,0.747448205,0.027613645,0.020176442,0.023438282,0.813776,11.332,2.463,13.844,0.73,0.9,2,0.11,0.15,0.2,0.635727636,0.5
27,10,0.25,3,6,0,2.96191365,-0.00579318,-0.005589475,5.159918,0.009936934,0.040716141,14.465,11.616,12.44,0.85,0.83,1.82,0.15,0.17,0.18,0,0
27,10,0.25,3,6,1,2.6751949,-0.003894505,-0.00394581,4.372472,0.022295,0.12205574,14.322,12.216,13.01,0.99,0.79,1.78,0.15,0.17,0.18,5.298429399,0.4
27,10,0.25,3,6,3,2.342917,0.01207564,-0.001480395,3.3318,0.041803232,0.32972984,14.319,12.462,13.421,1.15,0.7,1.69,0.15,0.17,0.18,2.484123823,0.4
27,10,0.25,3,6,4,2.2108656,0.02495337,0.00011754,2.78955,0.04802345,0.42973414,14.265,12.514,13.574,1.21,0.65,1.63,0.15,0.17,0.18,2.105902814,0.4
27,10,0.25,3,6,5,2.10665625,0.03887735,0.001766025,2.676782,0.053612792,0.52079936,14.281,12.507,13.625,1.29,0.6,1.6,0.15,0.17,0.18,1.958330207,0.4
27,10,0.25,3,6,7,1.9879281,0.07344678,0.00593152,2.351448,0.064909088,0.68377976,14.187,12.489,13.712,1.36,0.52,1.54,0.15,0.17,0.18,1.737015879,0.3
28,30,0.25,3,6,0,2.89305685,0.00313871,-0.005714995,5.268312,0.00921527,0.039988329,14.518,10.886,12.426,0.82,0.85,5.9,0.18,0.15,0.1,0,0.1
28,30,0.25,3,6,1,2.7389094,0.07848831,-0.005136265,4.136552,0.013755105,0.11918566,14.438,3.394,12.926,0.9,0.84,5.75,0.18,0.15,0.1,1.913116321,1.7
28,30,0.25,3,6,3,2.3721416,0.457045705,-0.001420535,2.530328,0.020610522,0.35790656,14.081,2.737,13.265,0.9,0.88,5.7,0.18,0.15,0.1,1.348034309,2.5
28,30,0.25,3,6,4,2.33523985,0.71304703,0.00193518,1.922648,0.022295,0.4837215,13.831,2.549,13.469,0.8,0.91,5.7,0.18,0.15,0.1,1.219474699,2.6
28,30,0.25,3,6,5,2.0386996,0.983713435,0.00603521,1.397192,0.0233838,0.60758214,13.577,2.428,13.56,0.7,1,5.75,0.18,0.15,0.1,1.070469176,2.6
