exp,Voltage [V],Temp_F [C],Temp_A [C],Temp_B [C],Electrolyte [M],Ci_LA [M],Ci_K [M],Time [hr],CF_LA [M],CA_LA [M],CB_LA [M],CF_K [M],CA_K [M],CB_K [M],pH_F,pH_A,pH_B,VF_Tank [L],VA_Tank [L],VB_Tank [L],VF_Line [L],VA_Line [L],VB_Line [L],SEC [kWh/kg],Current [A]
8,30,24.2,24.2,24.7,0.25,1.0,2.0,4.5,0.1753536,0.73623,0.013488785,0.288603184,0.020990552,1.53552643,11.39,2.15,13.78,0.49,0.92,1.96,0.18999999999999995,0.18999999999999995,-0.8600000000000001,0.7635323658769122,1.9
8,30,22.7,22.8,23.3,0.25,1.0,2.0,5,-0.004823404999999999,0.8210430000000001,0.019655930000000002,0.004481184500000001,0.020501978,1.5649938699999997,11.16,2.18,13.79,0.41,0.93,2,0.18999999999999995,0.18999999999999995,-0.8600000000000001,0.7930346095964014,1.9
8,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18999999999999995,0.18999999999999995,-0.8600000000000001,,
8,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18999999999999995,0.18999999999999995,-0.8600000000000001,,
9,30,21.6,21.7,22.1,0.25,0.5,1.0,0,0.48327375000000006,-0.0057668649999999995,-0.005968289999999999,1.0902781,0.00376505,0.01396513375,13.57,5.26,11.54,0.8,0.81,0.82,0.19999999999999996,0.18999999999999995,1.1800000000000002,0.0,0.1
9,30,19.5,19.7,20.1,0.25,0.5,1.0,1,0.466157345,0.002378260000000001,-0.0035567599999999995,1.0712556,0.00613372032,0.6303956011999999,13.56,3.74,12.98,0.79,0.79,0.84,0.19999999999999996,0.18999999999999995,1.1800000000000002,5.232409078533273,0.6
9,30,20.2,20.3,20.6,0.25,0.5,1.0,2,0.4330081250000001,0.040998190000000004,-0.000605689999999999,0.7466796,0.00916184192,0.8223839426999999,13.33,3.08,13.36,0.79,0.79,0.81,0.19999999999999996,0.18999999999999995,1.1800000000000002,2.905477988354267,1.0
9,30,21.3,21.3,21.7,0.25,0.5,1.0,3,0.32358773500000004,0.168370135,0.00037209000000000027,0.388439809,0.014169240080000001,1.05373907,12.15,2.63,13.63,0.83,0.81,0.74,0.19999999999999996,0.18999999999999995,1.1800000000000002,1.56825135465552,1.4
9,30,21.1,20.7,21.5,0.25,0.5,1.0,4,0.0070818500000000015,0.433770235,0.004461995000000001,0.00757153512,0.018550922,1.25005068,10.73,2.31,13.74,0.9,0.9,0.62,0.19999999999999996,0.18999999999999995,1.1800000000000002,0.8706376834559325,0.8
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
9,30,,,,0.25,0.5,1.0,,,,,,,,,,,,,,0.19999999999999996,0.18999999999999995,1.1800000000000002,,
11,30,22.8,22.3,21.7,0.25,1.0,2.0,0,0.9885465000000001,-0.006195,-0.006195,1.9230736000000002,0.0036261513288,0.01261753015,13.88,9.05,11.43,0.8,0.8,1.9,0.19999999999999996,0.19999999999999996,0.10000000000000009,0.0,0.1
11,30,21,21,22.8,0.25,1.0,2.0,1,0.9379955000000001,0.009873,-0.004644535,1.6793136,0.007576865780000001,0.7884224588,13.85,3.6,12.86,0.84,0.79,1.78,0.19999999999999996,0.19999999999999996,0.10000000000000009,4.084081778197578,0.9
11,30,22.1,22.2,23.2,0.25,1.0,2.0,2,0.8801775000000001,0.0714568,-0.00333441,1.2810421,0.01141996392,1.15097387,13.68,2.97,13.28,0.82,0.79,1.81,0.19999999999999996,0.19999999999999996,0.10000000000000009,2.4805789097534503,1.4
11,30,22.7,22.8,23.7,0.25,1.0,2.0,3,0.7854075,0.19899270000000002,0.000636910000000001,0.9762900999999999,0.015149048,1.5387996300000002,13.27,2.58,13.61,0.77,0.8,1.86,0.19999999999999996,0.19999999999999996,0.10000000000000009,1.7921575494670907,1.8
11,30,23,23.3,23.6,0.25,1.0,2.0,4,0.5503890000000001,0.47321085000000007,0.008290905000000001,0.524936596,0.019905271999999998,1.5944807500000002,12.18,2.31,13.79,0.61,0.9,1.92,0.19999999999999996,0.19999999999999996,0.10000000000000009,1.0899752095680324,1.8
11,30,23.1,23,23.6,0.25,1.0,2.0,5,0.038461435,0.8034745000000001,0.01711646,0.21018310929,0.020610522,1.5944807500000002,11.16,2.18,13.8,0.5,1.1,1.92,0.19999999999999996,0.19999999999999996,0.10000000000000009,0.7308649921411804,1.5
11,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.10000000000000009,,
11,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.10000000000000009,,
11,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.10000000000000009,,
11,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.10000000000000009,,
12,30,24.5,24,24.9,0.25,1.0,2.0,0,0.9758238300000002,-0.006195,-0.006195,1.9175164000000002,0.0036521264738,0.012656003733999999,13.82,4.96,11.31,0.8,0.8,1.84,0.19999999999999996,0.19999999999999996,0.15999999999999992,0.0,0.1
12,30,20.8,21,21.6,0.25,1.0,2.0,1,0.935166485,-0.0046320649999999994,-0.00541778,1.7982301000000003,0.00460326528,0.0306777984,13.82,10.69,12.4,0.88,0.79,1.8,0.19999999999999996,0.19999999999999996,0.15999999999999992,14.888985190486382,0.3
12,30,19.8,20,20.7,0.25,1.0,2.0,2,0.85757344,0.019034915000000003,-0.0033095749999999995,1.4041936,0.00893748968,0.6977750251999999,13.75,3.6,13.13,0.95,0.74,1.74,0.19999999999999996,0.19999999999999996,0.15999999999999992,2.7690330681556534,0.5
12,30,20,20.3,20.9,0.25,1.0,2.0,3,0.8187562500000001,0.06077072500000001,-0.002197625,1.2018924,0.01161829058,0.8048365232000001,13.65,3.15,13.32,0.95,0.74,1.72,0.19999999999999996,0.19999999999999996,0.15999999999999992,2.049796265437064,0.7
12,30,20.1,20.4,20.9,0.25,1.0,2.0,4,0.7644855450000001,0.13008046999999998,-0.0006756199999999992,1.0495276,0.014287608,0.9276567499999999,13.5,2.91,13.47,0.91,0.72,1.7000000000000002,0.19999999999999996,0.19999999999999996,0.15999999999999992,1.692643199762266,0.8
12,30,20.3,20.4,21,0.25,1.0,2.0,5,0.6979987500000001,0.23700785000000002,0.0014383,0.7736176,0.016875,1.06021467,13.17,2.71,13.54,0.88,0.78,1.76,0.19999999999999996,0.19999999999999996,0.15999999999999992,1.301166851001507,0.9
12,30,20.2,20.4,20.9,0.25,1.0,2.0,6,0.577157345,0.38974629000000005,0.0046919,0.5514415690000001,0.019200698000000002,1.1039500800000002,12.45,2.55,13.6,0.78,0.79,1.6800000000000002,0.19999999999999996,0.19999999999999996,0.15999999999999992,1.0717731828579113,1.0
12,30,20.2,20.3,20.9,0.25,1.0,2.0,7,0.388549725,0.5891707,0.009179025,0.403106164,0.021153482,1.1542187499999998,11.75,2.44,13.7,0.7,0.8,1.8,0.19999999999999996,0.19999999999999996,0.15999999999999992,0.8254003186349336,1.0
12,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.15999999999999992,,
12,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.19999999999999996,0.19999999999999996,0.15999999999999992,,
15,30,26,26.1,26.9,0.25,1.0,2.0,0,0.982066015,-0.00580286,-0.005775015,1.9369701000000004,0.0037841374592,0.014951506944,13.9,9.69,11.69,0.81,0.81,1.8,0.18999999999999995,0.18999999999999995,0.19999999999999996,0.0,0.2
15,30,23.4,23.7,24.4,0.25,1.0,2.0,1,0.9374429700000001,0.00825099,-0.00371678,1.5942662,0.006905517620000001,0.0825735,13.85,3.62,12.85,0.88,0.79,1.78,0.18999999999999995,0.18999999999999995,0.19999999999999996,4.249573907265933,0.8
15,30,22.8,22.9,23.4,0.25,1.0,2.0,3,0.8684530450000001,0.074556125,-0.002160394999999999,1.1287928,0.01060043778,0.23167544,13.65,2.96,13.24,0.85,0.79,1.78,0.18999999999999995,0.18999999999999995,0.19999999999999996,4.652035451859046,1.8
15,30,23.4,23.4,23.9,0.25,1.0,2.0,4,0.7697448450000001,0.21767953,-0.00015438499999999907,0.5906861999999999,0.014341418,0.45972454,13.31,2.57,13.5,0.749,0.81,1.79,0.18999999999999995,0.18999999999999995,0.19999999999999996,2.567727015440774,1.8
