number,value,datetime_start,datetime_complete,duration,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,state
0,0.24001257049385458,2025-09-29 17:36:28.828951,2025-09-29 17:39:54.436593,0 days 00:03:25.607642,0.30000000000000004,72,3,0.2,64,2,0.5,32,2,COMPLETE
1,0.2032266323454678,2025-09-29 17:39:54.467673,2025-09-29 17:48:02.181119,0 days 00:08:07.713446,0.4,64,3,0.30000000000000004,48,5,0.1,32,5,COMPLETE
2,0.2810646358411759,2025-09-29 17:48:02.216894,2025-09-29 17:54:42.037992,0 days 00:06:39.821098,0.2,96,5,0.30000000000000004,72,6,0.5,48,4,COMPLETE
3,0.09322947361506521,2025-09-29 17:54:42.065682,2025-09-29 17:59:47.032216,0 days 00:05:04.966534,0.30000000000000004,16,5,0.4,16,5,0.1,32,3,COMPLETE
4,0.09937270898371935,2025-09-29 17:59:47.063004,2025-09-29 18:04:45.118988,0 days 00:04:58.055984,0.4,16,6,0.1,16,3,0.30000000000000004,96,3,COMPLETE
5,0.2210056704469025,2025-09-29 18:04:45.146723,2025-09-29 18:14:31.223329,0 days 00:09:46.076606,0.2,64,4,0.2,32,6,0.5,32,6,COMPLETE
6,0.2435130254831165,2025-09-29 18:14:31.251007,2025-09-29 18:24:20.892207,0 days 00:09:49.641200,0.2,96,3,0.5,48,3,0.2,48,6,COMPLETE
7,0.025975348730571567,2025-09-29 18:24:20.919825,2025-09-29 18:32:32.922269,0 days 00:08:12.002444,0.6,48,2,0.6,48,6,0.1,48,5,COMPLETE
8,0.22893589986488222,2025-09-29 18:32:32.949830,2025-09-29 18:42:13.433365,0 days 00:09:40.483535,0.2,64,5,0.4,64,2,0.4,16,6,COMPLETE
9,0.17595500521128998,2025-09-29 18:42:13.461888,2025-09-29 18:45:41.347463,0 days 00:03:27.885575,0.2,64,5,0.4,48,5,0.2,64,2,COMPLETE
10,0.02191737436223775,2025-09-29 18:45:41.374517,2025-09-29 18:53:49.768512,0 days 00:08:08.393995,0.6,48,2,0.6,96,4,0.2,72,5,COMPLETE
11,0.022482168627902865,2025-09-29 18:53:49.797648,2025-09-29 19:01:59.961826,0 days 00:08:10.164178,0.6,48,2,0.6,96,4,0.2,72,5,COMPLETE
12,,2025-09-29 19:01:59.991979,,,0.6,48,2,0.6,96,4,0.30000000000000004,72,5,RUNNING
13,0.0816689093131572,2025-09-29 19:08:44.221089,2025-09-29 19:16:56.070235,0 days 00:08:11.849146,0.6,48,2,0.6,96,4,0.30000000000000004,72,5,COMPLETE
14,0.02085857084020972,2025-09-29 19:16:56.101910,2025-09-29 19:24:09.113477,0 days 00:07:13.011567,0.5,32,2,0.6,96,4,0.2,72,4,COMPLETE
15,0.02015695902518928,2025-09-29 19:24:09.145191,2025-09-29 19:31:07.506240,0 days 00:06:58.361049,0.5,32,2,0.5,96,3,0.2,72,4,COMPLETE
16,0.02734473315067589,2025-09-29 19:31:07.541650,2025-09-29 19:37:55.492195,0 days 00:06:47.950545,0.5,32,3,0.5,96,3,0.30000000000000004,72,4,COMPLETE
17,0.053200533823110165,2025-09-29 19:37:55.524364,2025-09-29 19:44:47.046902,0 days 00:06:51.522538,0.5,32,4,0.5,96,3,0.4,72,4,COMPLETE
18,0.03667394984513521,2025-09-29 19:44:47.077639,2025-09-29 19:49:57.182443,0 days 00:05:10.104804,0.5,32,4,0.5,32,4,0.2,96,3,COMPLETE
19,0.017774961609393358,2025-09-29 19:49:57.211543,2025-09-29 19:55:08.340239,0 days 00:05:11.128696,0.4,32,2,0.5,72,2,0.4,64,3,COMPLETE
20,0.01941157344263047,2025-09-29 19:55:08.370070,2025-09-29 20:00:20.455812,0 days 00:05:12.085742,0.4,32,3,0.5,72,2,0.4,64,3,COMPLETE
21,0.2821568480692804,2025-09-29 20:00:20.485950,2025-09-29 20:05:18.036161,0 days 00:04:57.550211,0.1,72,3,0.4,72,2,0.4,64,3,COMPLETE
22,0.01805626475252211,2025-09-29 20:05:18.067483,2025-09-29 20:10:16.090174,0 days 00:04:58.022691,0.4,32,2,0.5,72,2,0.4,64,3,COMPLETE
23,0.08256013123318554,2025-09-29 20:10:16.120173,2025-09-29 20:13:41.674046,0 days 00:03:25.553873,0.4,32,3,0.5,72,2,0.4,64,2,COMPLETE
24,0.016999375366140157,2025-09-29 20:13:41.703859,2025-09-29 20:18:38.270338,0 days 00:04:56.566479,0.30000000000000004,32,2,0.4,72,2,0.4,64,3,COMPLETE
25,0.01515727280639112,2025-09-29 20:18:38.301364,2025-09-29 20:23:47.200957,0 days 00:05:08.899593,0.30000000000000004,32,2,0.30000000000000004,72,2,0.4,64,3,COMPLETE
26,0.01529569566482678,2025-09-29 20:23:47.230588,2025-09-29 20:27:21.203490,0 days 00:03:33.972902,0.30000000000000004,32,2,0.30000000000000004,72,2,0.5,64,2,COMPLETE
27,0.016069229878485202,2025-09-29 20:27:21.234669,2025-09-29 20:30:45.361156,0 days 00:03:24.126487,0.30000000000000004,32,2,0.30000000000000004,72,3,0.5,64,2,COMPLETE
28,0.20721907829865813,2025-09-29 20:30:45.391322,2025-09-29 20:34:11.174649,0 days 00:03:25.783327,0.30000000000000004,32,6,0.2,72,3,0.5,16,2,COMPLETE
29,0.20131087851477786,2025-09-29 20:34:11.210904,2025-09-29 20:37:39.383522,0 days 00:03:28.172618,0.1,72,3,0.30000000000000004,72,3,0.5,64,2,COMPLETE
