number,value,datetime_start,datetime_complete,duration,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,state
0,0.019913131697103383,2025-10-09 23:32:51.673818,2025-10-09 23:35:15.218984,0 days 00:02:23.545166,0.30000000000000004,72,3,0.2,64,2,0.5,32,2,COMPLETE
1,0.02260777198243886,2025-10-09 23:35:15.237408,2025-10-09 23:41:05.004638,0 days 00:05:49.767230,0.4,64,3,0.30000000000000004,48,5,0.1,32,5,COMPLETE
2,0.07623667320003732,2025-10-09 23:41:05.018751,2025-10-09 23:45:42.051603,0 days 00:04:37.032852,0.2,96,5,0.30000000000000004,72,6,0.5,48,4,COMPLETE
3,0.09484804426319897,2025-10-09 23:45:42.073608,2025-10-09 23:49:15.065955,0 days 00:03:32.992347,0.30000000000000004,16,5,0.4,16,5,0.1,32,3,COMPLETE
4,0.06321743852458894,2025-10-09 23:49:15.091685,2025-10-09 23:52:42.477732,0 days 00:03:27.386047,0.4,16,6,0.1,16,3,0.30000000000000004,96,3,COMPLETE
5,0.03642082493752241,2025-10-09 23:52:42.500628,2025-10-09 23:59:17.586811,0 days 00:06:35.086183,0.2,64,4,0.2,32,6,0.5,32,6,COMPLETE
6,0.0754659479483962,2025-10-09 23:59:17.613072,2025-10-10 00:05:53.431631,0 days 00:06:35.818559,0.2,96,3,0.5,48,3,0.2,48,6,COMPLETE
7,0.028423114400357007,2025-10-10 00:05:53.457135,2025-10-10 00:11:16.010516,0 days 00:05:22.553381,0.6,48,2,0.6,48,6,0.1,48,5,COMPLETE
8,0.20203491467982532,2025-10-10 00:11:16.023639,2025-10-10 00:17:44.480794,0 days 00:06:28.457155,0.2,64,5,0.4,64,2,0.4,16,6,COMPLETE
9,0.05464674348477274,2025-10-10 00:17:44.504959,2025-10-10 00:20:00.540040,0 days 00:02:16.035081,0.2,64,5,0.4,48,5,0.2,64,2,COMPLETE
10,0.019537586160004138,2025-10-10 00:20:00.555499,2025-10-10 00:22:22.646827,0 days 00:02:22.091328,0.6,72,2,0.1,64,2,0.4,72,2,COMPLETE
11,0.020738555886782705,2025-10-10 00:22:22.662925,2025-10-10 00:24:42.120212,0 days 00:02:19.457287,0.6,72,2,0.1,64,2,0.4,72,2,COMPLETE
12,0.020465927687473594,2025-10-10 00:24:42.145909,2025-10-10 00:26:58.045750,0 days 00:02:15.899841,0.5,72,3,0.2,64,3,0.4,72,2,COMPLETE
13,0.024801072967238724,2025-10-10 00:26:58.070615,2025-10-10 00:30:19.303498,0 days 00:03:21.232883,0.5,32,2,0.2,96,2,0.5,72,3,COMPLETE
14,0.08012944562360644,2025-10-10 00:30:19.327169,2025-10-10 00:32:39.219382,0 days 00:02:19.892213,0.1,72,3,0.1,64,4,0.4,16,2,COMPLETE
15,0.08245901779737323,2025-10-10 00:32:39.243482,2025-10-10 00:36:03.284028,0 days 00:03:24.040546,0.30000000000000004,72,4,0.2,64,3,0.30000000000000004,96,3,COMPLETE
16,0.017243169341236354,2025-10-10 00:36:03.309497,2025-10-10 00:40:25.653646,0 days 00:04:22.344149,0.5,72,2,0.1,96,2,0.5,64,4,COMPLETE
17,0.02409415498841554,2025-10-10 00:40:25.678382,2025-10-10 00:44:50.247620,0 days 00:04:24.569238,0.5,32,2,0.1,96,4,0.4,64,4,COMPLETE
18,0.027769148349761963,2025-10-10 00:44:50.270132,2025-10-10 00:50:13.323551,0 days 00:05:23.053419,0.6,48,2,0.30000000000000004,96,2,0.30000000000000004,64,5,COMPLETE
19,0.031031481688842177,2025-10-10 00:50:13.348329,2025-10-10 00:54:41.369331,0 days 00:04:28.021002,0.5,72,4,0.1,72,4,0.5,64,4,COMPLETE
20,0.02473641000688076,2025-10-10 00:54:41.384677,2025-10-10 01:00:06.380840,0 days 00:05:24.996163,0.6,72,2,0.6,32,3,0.4,72,5,COMPLETE
21,0.020187967782840134,2025-10-10 01:00:06.406830,2025-10-10 01:02:31.109097,0 days 00:02:24.702267,0.4,72,3,0.2,96,2,0.5,32,2,COMPLETE
22,0.022849538549780845,2025-10-10 01:02:31.123989,2025-10-10 01:05:54.720853,0 days 00:03:23.596864,0.30000000000000004,72,3,0.1,64,2,0.5,32,3,COMPLETE
23,0.017505783098749818,2025-10-10 01:05:54.746665,2025-10-10 01:10:27.111200,0 days 00:04:32.364535,0.5,72,2,0.2,64,2,0.5,72,4,COMPLETE
24,0.01806987024610862,2025-10-10 01:10:27.136975,2025-10-10 01:14:56.013755,0 days 00:04:28.876780,0.5,72,2,0.1,96,3,0.4,72,4,COMPLETE
25,0.02005293101537973,2025-10-10 01:14:56.036411,2025-10-10 01:19:20.708350,0 days 00:04:24.671939,0.5,72,2,0.2,96,3,0.5,72,4,COMPLETE
26,0.014126383780967445,2025-10-10 01:19:20.733041,2025-10-10 01:23:47.358861,0 days 00:04:26.625820,0.4,96,2,0.30000000000000004,96,3,0.4,72,4,COMPLETE
27,0.06963636595755815,2025-10-10 01:23:47.372339,2025-10-10 01:28:13.502500,0 days 00:04:26.130161,0.4,96,6,0.30000000000000004,96,4,0.5,64,4,COMPLETE
28,0.016421660175547005,2025-10-10 01:28:13.526553,2025-10-10 01:33:41.656330,0 days 00:05:28.129777,0.4,96,3,0.30000000000000004,96,3,0.4,72,5,COMPLETE
29,0.06695467648096383,2025-10-10 01:33:41.668956,2025-10-10 01:39:12.161481,0 days 00:05:30.492525,0.4,96,3,0.5,96,3,0.2,16,5,COMPLETE
30,0.015068040089681744,2025-10-10 01:39:12.184910,2025-10-10 01:44:42.470646,0 days 00:05:30.285736,0.30000000000000004,96,3,0.5,96,3,0.30000000000000004,96,5,COMPLETE
31,0.013910780136939138,2025-10-10 01:44:42.485183,2025-10-10 01:50:16.969768,0 days 00:05:34.484585,0.30000000000000004,96,3,0.5,96,3,0.30000000000000004,96,5,COMPLETE
32,0.014836173190269619,2025-10-10 01:50:16.983563,2025-10-10 01:55:44.317730,0 days 00:05:27.334167,0.30000000000000004,96,3,0.5,96,4,0.30000000000000004,96,5,COMPLETE
33,0.08495545428013429,2025-10-10 01:55:44.332706,2025-10-10 02:01:30.779720,0 days 00:05:46.447014,0.30000000000000004,96,4,0.5,96,4,0.30000000000000004,96,5,COMPLETE
34,0.0563773411209695,2025-10-10 02:01:30.809192,2025-10-10 02:09:26.325043,0 days 00:07:55.515851,0.30000000000000004,96,3,0.5,72,5,0.30000000000000004,96,6,COMPLETE
35,0.05381861531641334,2025-10-10 02:09:26.350895,2025-10-10 02:15:58.462777,0 days 00:06:32.111882,0.30000000000000004,96,4,0.6,16,4,0.2,96,5,COMPLETE
36,0.015376304415985942,2025-10-10 02:15:58.479927,2025-10-10 02:23:53.742031,0 days 00:07:55.262104,0.30000000000000004,96,3,0.4,96,3,0.30000000000000004,96,6,COMPLETE
37,0.11773528123740107,2025-10-10 02:23:53.768737,2025-10-10 02:30:37.521228,0 days 00:06:43.752491,0.1,96,4,0.5,32,4,0.2,96,5,COMPLETE
38,0.05713206280488521,2025-10-10 02:30:37.536737,2025-10-10 02:38:35.700589,0 days 00:07:58.163852,0.2,16,3,0.4,96,5,0.30000000000000004,96,6,COMPLETE
39,0.01850024755112827,2025-10-10 02:38:35.738077,2025-10-10 02:45:16.955744,0 days 00:06:41.217667,0.4,96,4,0.5,16,3,0.30000000000000004,96,5,COMPLETE
40,0.016370690334588288,2025-10-10 02:45:16.971910,2025-10-10 02:51:52.726672,0 days 00:06:35.754762,0.30000000000000004,96,3,0.6,96,3,0.2,48,5,COMPLETE
41,0.05684002712368965,2025-10-10 02:51:52.745824,2025-10-10 03:00:03.804362,0 days 00:08:11.058538,0.30000000000000004,96,3,0.4,96,3,0.30000000000000004,96,6,COMPLETE
42,0.017006628471426664,2025-10-10 03:00:03.828934,2025-10-10 03:06:53.107434,0 days 00:06:49.278500,0.30000000000000004,96,3,0.5,96,3,0.30000000000000004,96,6,COMPLETE
43,0.050695474608801305,2025-10-10 03:06:53.120875,2025-10-10 03:13:44.169196,0 days 00:06:51.048321,0.2,96,3,0.4,48,4,0.30000000000000004,96,6,COMPLETE
44,0.060921439458616077,2025-10-10 03:13:44.187828,2025-10-10 03:20:16.380978,0 days 00:06:32.193150,0.4,48,3,0.4,96,3,0.30000000000000004,96,6,COMPLETE
45,0.02508127922192216,2025-10-10 03:20:16.413219,2025-10-10 03:24:53.532151,0 days 00:04:37.118932,0.2,16,4,0.5,72,5,0.1,96,4,COMPLETE
46,0.014080356736667455,2025-10-10 03:24:53.556274,2025-10-10 03:30:28.848721,0 days 00:05:35.292447,0.30000000000000004,96,3,0.30000000000000004,96,3,0.2,96,5,COMPLETE
47,0.023989258101209998,2025-10-10 03:30:28.861928,2025-10-10 03:35:55.122458,0 days 00:05:26.260530,0.30000000000000004,64,5,0.30000000000000004,32,4,0.1,48,5,COMPLETE
48,0.07861798752564937,2025-10-10 03:35:55.133795,2025-10-10 03:41:34.739631,0 days 00:05:39.605836,0.2,32,4,0.30000000000000004,96,3,0.2,96,5,COMPLETE
49,0.027244634088128807,2025-10-10 03:41:34.753979,2025-10-10 03:46:57.230631,0 days 00:05:22.476652,0.4,96,2,0.6,48,4,0.2,16,5,COMPLETE
50,0.014043116068933159,2025-10-10 03:46:57.256645,2025-10-10 03:51:33.437372,0 days 00:04:36.180727,0.30000000000000004,96,3,0.30000000000000004,16,3,0.2,96,4,COMPLETE
51,0.015348013932816684,2025-10-10 03:51:33.449339,2025-10-10 03:56:00.356759,0 days 00:04:26.907420,0.30000000000000004,96,3,0.30000000000000004,16,3,0.2,96,4,COMPLETE
52,0.014318390423431993,2025-10-10 03:56:00.381053,2025-10-10 04:00:34.550367,0 days 00:04:34.169314,0.30000000000000004,96,3,0.30000000000000004,16,3,0.2,96,4,COMPLETE
53,0.01610900752712041,2025-10-10 04:00:34.574187,2025-10-10 04:04:00.009838,0 days 00:03:25.435651,0.4,96,2,0.30000000000000004,16,6,0.1,96,3,COMPLETE
54,0.14339394122362137,2025-10-10 04:04:00.036374,2025-10-10 04:08:38.171498,0 days 00:04:38.135124,0.30000000000000004,96,5,0.30000000000000004,16,3,0.2,96,4,COMPLETE
55,0.09481996302492916,2025-10-10 04:08:38.197715,2025-10-10 04:11:57.371144,0 days 00:03:19.173429,0.2,64,3,0.30000000000000004,16,2,0.2,32,3,COMPLETE
56,0.019466557702980936,2025-10-10 04:11:57.383333,2025-10-10 04:16:22.681512,0 days 00:04:25.298179,0.4,48,2,0.30000000000000004,16,3,0.1,96,4,COMPLETE
57,0.08205506387166679,2025-10-10 04:16:22.696088,2025-10-10 04:20:54.350705,0 days 00:04:31.654617,0.30000000000000004,32,3,0.2,16,2,0.2,48,4,COMPLETE
58,0.014896432845853269,2025-10-10 04:20:54.372342,2025-10-10 04:25:29.649970,0 days 00:04:35.277628,0.2,96,4,0.4,16,5,0.2,96,4,COMPLETE
59,0.028123172605410217,2025-10-10 04:25:29.665525,2025-10-10 04:28:55.615614,0 days 00:03:25.950089,0.30000000000000004,16,2,0.30000000000000004,72,3,0.4,16,3,COMPLETE
60,0.019061443046666682,2025-10-10 04:28:55.630268,2025-10-10 04:33:24.517473,0 days 00:04:28.887205,0.4,96,3,0.2,16,4,0.1,72,4,COMPLETE
61,0.055371083074714986,2025-10-10 04:33:24.529775,2025-10-10 04:37:57.948225,0 days 00:04:33.418450,0.2,96,4,0.4,16,5,0.2,96,4,COMPLETE
