EXCITATION	
C2H5 -> CH4 CH	
6.5	
SPECIES: e / C2H5	
PROCESS: E + C2H5 -> E + CH4 + CH, Excitation	
PARAM.:  E =6.5 eV, complete set	
COLUMNS: Energy (eV) | Cross section (m2)	
-----------------------------	
6.5	0
6.6	3.20471E-26
6.7	2.42154E-25
6.8	7.726E-25
7	3.20456E-24
7.5	1.97429E-23
8	5.22107E-23
8.5	9.84572E-23
8.6	1.09062E-22
8.8	1.31397E-22
9	1.55053E-22
9.5	2.18634E-22
10	2.86351E-22
11	4.25773E-22
12	5.61445E-22
13	6.87409E-22
14	8.01206E-22
15	9.02298E-22
16	9.91137E-22
17	1.06864E-21
18	1.1359E-21
19	1.19402E-21
20	1.24409E-21
30	1.46942E-21
40	1.47551E-21
50	1.42024E-21
60	1.34927E-21
70	1.27739E-21
80	1.20952E-21
90	1.14709E-21
100	1.09023E-21	
-----------------------------
