Reaction	Value
e + e + CH^+ => e + CH	1.00d-16
e + e + CH2^+ => e + CH2	1.00d-16
e + e + CH3^+ => e + CH3	1.00d-16
e + e + CH4^+ => e + CH4	1.00d-16
e + e + C2H2^+ => e + C2H2	1.00d-16
e + e + C2H3^+ => e + C2H3	1.00d-16
e + e + C2H4^+ => e + C2H4	1.00d-16
e + e + C2H5^+ => e + C2H5	1.00d-16
e + e + C2H6^+ => e + C2H6	1.00d-16
e + e + C3H6^+ => e + C3H6	1.00d-16
e + e + C3H7^+ => e + C3H7	1.00d-16
e + e + C3H8^+ => e + C3H8	1.00d-16
