Reaction	Value
C3H8(v2) + H => C3H7 + H2	2.19d-180*Tgas**2.54*exp(-3400.10/Tgas)
C3H8 => C2H5 + CH3	1.10d17*exp(-42470./Tgas)
C3H8(v1) => C2H5 + CH3	1.10d17*exp(-42470./Tgas)
C3H8(v2) => C2H5 + CH3	1.10d17*exp(-42470./Tgas)
C3H8 + CH2 => C4H9H	4.42d-12
C3H8(v1) + CH2 => C4H9H	4.42d-12
C3H8(v2) + CH2 => C4H9H	4.42d-12
C3H7 + C3H7 => C3H6 + C3H8	2.81d-12
C3H7 + H2 => C3H8 + H	3.19d-14*(Tgas/298.)**2.84*exp(-38.25/(R*Tgas))
C3H7 + H => C3H6 + H2	3.01d-12
C3H7 + H => C3H8	6.00d-11
C3H7 + H => CH3 + C2H5	6.74d-18*Tgas**2.19*exp(-447.91/Tgas)
C3H7 => C3H6 + H	1.25d17*exp(-237./(R*Tgas))
C3H7 => C2H4 + CH3	16.0*(Tgas/298.)**-(10.00)*exp(-150./(R*Tgas))
C3H6 + H => C3H7	1.29d-11*(Tgas/298.)**0.51*exp(-5.15/(R*Tgas))
C3H6(v) + H => C3H7	1.29d-11*(Tgas/298.)**0.51*exp(-5.15/(R*Tgas))
C3H6 => CH3 + C2H3	1.28d13*(Tgas/298.)**(-15.70)*exp(-502./(R*Tgas))
C4H9H + CH3 => CH4 + C4H9	8.32d-13*exp(-56.87/(R*Tgas))
C4H9H => C3H7 + CH3	8.87d-7*exp(-180./(R*Tgas))
C4H9H => C2H5 + C2H5	7.84d-6*exp(-207./(R*Tgas))
C4H9H + CH2 => C5H12	9.61d-13
H2 => H + H	1.88d-8*(Tgas/298.)**(-1.10)*exp(-437./(R*Tgas))
H + H => H2	5.52d-30*Tgas**(-1.00)
