Reaction	Value
C2H3 + C2H4^+ => C2H2 + C2H5^+	5.00d-10
C2H3 + C2H4^+ => C2H4 + C2H3^+	5.00d-10
H + C2H4^+ => H2 + C2H3^+	3.00d-10
C2H6 + C2H3^+ => C2H4 + C2H5^+	2.91d-10
C2H6(v24) + C2H3^+ => C2H4 + C2H5^+	2.91d-10
C2H6(v13) + C2H3^+ => C2H4 + C2H5^+	2.91d-10
C2H4 + C2H3^+ => C2H2 + C2H5^+	8.90d-10
C2H4(v1) + C2H3^+ => C2H2 + C2H5^+	8.90d-10
C2H4(v2) + C2H3^+ => C2H2 + C2H5^+	8.90d-10
H + C2H3^+ => H2 + C2H2^+	6.80d-11
CH4 + C2H2^+ => CH3 + C2H3^+	4.10d-9
CH4(v24) + C2H2^+ => CH3 + C2H3^+	4.10d-9
CH4(v13) + C2H2^+ => CH3 + C2H3^+	4.10d-9
C2H6 + C2H2^+ => C2H3 + C2H5^+	1.31d-10
C2H6(v24) + C2H2^+ => C2H3 + C2H5^+	1.31d-10
C2H6(v13) + C2H2^+ => C2H3 + C2H5^+	1.31d-10
C2H6 + C2H2^+ => C2H4 + C2H4^+	2.48d-10
C2H6(v24) + C2H2^+ => C2H4 + C2H4^+	2.48d-10
C2H6(v13) + C2H2^+ => C2H4 + C2H4^+	2.48d-10
C2H4 + C2H2^+ => C2H2 + C2H4^+	4.14d-10
C2H4(v1) + C2H2^+ => C2H2 + C2H4^+	4.14d-10
C2H4(v2) + C2H2^+ => C2H2 + C2H4^+	4.14d-10
C2H3 + C2H2^+ => C2H2 + C2H3^+	3.30d-10
H2 + C2H2^+ => H + C2H3^+	1.00d-11
CH3 + H3^+ => H2 + CH4^+	2.10d-9
CH2 + H3^+ => H2 + CH3^+	1.70d-9
CH + H3^+ => H2 + CH2^+	1.20d-9
C2H6 + H3^+ => H2 + H2 + C2H5^+	2.40d-9
C2H6(v24) + H3^+ => H2 + H2 + C2H5^+	2.40d-9
C2H6(v13) + H3^+ => H2 + H2 + C2H5^+	2.40d-9
C2H5 + H3^+ => H2 + C2H6^+	1.40d-9
C2H4 + H3^+ => H2 + C2H5^+	1.15d-9
C2H4(v1) + H3^+ => H2 + C2H5^+	1.15d-9
C2H4(v2) + H3^+ => H2 + C2H5^+	1.15d-9
C2H4 + H3^+ => H2 + H2 + C2H3^+	1.15d-9
C2H4(v1) + H3^+ => H2 + H2 + C2H3^+	1.15d-9
C2H4(v2) + H3^+ => H2 + H2 + C2H3^+	1.15d-9
C2H3 + H3^+ => H2 + C2H4^+	2.00d-9
C2H2 + H3^+ => H2 + C2H3^+	3.50d-9
C2H2(v5) + H3^+ => H2 + C2H3^+	3.50d-9
C2H2(v2) + H3^+ => H2 + C2H3^+	3.50d-9
C2H2(v13) + H3^+ => H2 + C2H3^+	3.50d-9
CH4 + H2^+ => H2 + CH4^+	1.40d-9
CH4(v24) + H2^+ => H2 + CH4^+	1.40d-9
CH4(v13) + H2^+ => H2 + CH4^+	1.40d-9
CH4 + H2^+ => H2 + H + CH3^+	2.30d-9
CH4(v24) + H2^+ => H2 + H + CH3^+	2.30d-9
CH4(v13) + H2^+ => H2 + H + CH3^+	2.30d-9
CH2 + H2^+ => H + CH3^+	1.00d-9
CH2 + H2^+ => H2 + CH2^+	1.00d-9
CH + H2^+ => H + CH2^+	7.10d-10
CH + H2^+ => H2 + CH^+	7.10d-10
C2H6 + H2^+ => H2 + C2H6^+	2.94d-10
C2H6(v24) + H2^+ => H2 + C2H6^+	2.94d-10
C2H6(v13) + H2^+ => H2 + C2H6^+	2.94d-10
C2H6 + H2^+ => H2 + H + C2H5^+	1.37d-9
C2H6(v24) + H2^+ => H2 + H + C2H5^+	1.37d-9
C2H6(v13) + H2^+ => H2 + H + C2H5^+	1.37d-9
C2H6 + H2^+ => H2 + H2 + C2H4^+	2.35d-9
C2H6(v24) + H2^+ => H2 + H2 + C2H4^+	2.35d-9
C2H6(v13) + H2^+ => H2 + H2 + C2H4^+	2.35d-9
C2H6 + H2^+ => H2 + H2 + H + C2H3^+	6.86d-10
C2H6(v24) + H2^+ => H2 + H2 + H + C2H3^+	6.86d-10
C2H6(v13) + H2^+ => H2 + H2 + H + C2H3^+	6.86d-10
C2H6 + H2^+ => H2 + H2 + H2 + C2H2^+	1.96d-10
C2H6(v24) + H2^+ => H2 + H2 + H2 + C2H2^+	1.96d-10
C2H6(v13) + H2^+ => H2 + H2 + H2 + C2H2^+	1.96d-10
C2H4 + H2^+ => H2 + C2H4^+	2.21d-9
C2H4(v1) + H2^+ => H2 + C2H4^+	2.21d-9
C2H4(v2) + H2^+ => H2 + C2H4^+	2.21d-9
C2H4 + H2^+ => H2 + H + C2H3^+	1.81d-9
C2H4(v1) + H2^+ => H2 + H + C2H3^+	1.81d-9
C2H4(v2) + H2^+ => H2 + H + C2H3^+	1.81d-9
C2H4 + H2^+ => H2 + H2 + C2H2^+	8.82d-10
C2H4(v1) + H2^+ => H2 + H2 + C2H2^+	8.82d-10
C2H4(v2) + H2^+ => H2 + H2 + C2H2^+	8.82d-10
C2H2 + H2^+ => H + C2H3^+	4.80d-10
C2H2(v5) + H2^+ => H + C2H3^+	4.80d-10
C2H2(v2) + H2^+ => H + C2H3^+	4.80d-10
C2H2(v13) + H2^+ => H + C2H3^+	4.80d-10
C2H2 + H2^+ => H2 + C2H2^+	4.82d-9
C2H2(v5) + H2^+ => H2 + C2H2^+	4.82d-9
C2H2(v2) + H2^+ => H2 + C2H2^+	4.82d-9
C2H2(v13) + H2^+ => H2 + C2H2^+	4.82d-9
H + H2^+ => H3^+	2.10d-9
H + H2^+ => H2 + H^+	6.39d-10
CH4 + H^+ => H + CH4^+	1.50d-9
CH4(v24) + H^+ => H + CH4^+	1.50d-9
CH4(v13) + H^+ => H + CH4^+	1.50d-9
CH4 + H^+ => H2 + CH3^+	2.30d-9
CH4(v24) + H^+ => H2 + CH3^+	2.30d-9
CH4(v13) + H^+ => H2 + CH3^+	2.30d-9
CH3 + H^+ => H + CH3^+	3.40d-9
CH2 + H^+ => H + CH2^+	1.40d-9
CH2 + H^+ => H2 + CH^+	1.40d-9
CH + H^+ => H + CH^+	1.90d-9
C2H6 + H^+ => H2 + C2H5^+	1.30d-9
C2H6(v24) + H^+ => H2 + C2H5^+	1.30d-9
C2H6(v13) + H^+ => H2 + C2H5^+	1.30d-9
C2H6 + H^+ => H2 + H + C2H4^+	1.40d-9
C2H6(v24) + H^+ => H2 + H + C2H4^+	1.40d-9
C2H6(v13) + H^+ => H2 + H + C2H4^+	1.40d-9
C2H6 + H^+ => H2 + H2 + C2H3^+	2.80d-9
C2H6(v24) + H^+ => H2 + H2 + C2H3^+	2.80d-9
C2H6(v13) + H^+ => H2 + H2 + C2H3^+	2.80d-9
C2H5 + H^+ => H2 + C2H4^+	1.65d-9
C2H5 + H^+ => H2 + H + C2H3^+	3.06d-9
C2H4 + H^+ => H + C2H4^+	1.00d-9
C2H4(v1) + H^+ => H + C2H4^+	1.00d-9
C2H4(v2) + H^+ => H + C2H4^+	1.00d-9
C2H4 + H^+ => H2 + C2H3^+	3.00d-9
C2H4(v1) + H^+ => H2 + C2H3^+	3.00d-9
C2H4(v2) + H^+ => H2 + C2H3^+	3.00d-9
C2H4 + H^+ => H2 + H + C2H2^+	1.00d-9
C2H3 + H^+ => H + C2H3^+	2.00d-9
C2H3 + H^+ => H2 + C2H2^+	2.00d-9
C2H2 + H^+ => H + C2H2^+	5.40d-10
C2H2(v5) + H^+ => H + C2H2^+	5.40d-10
C2H2(v2) + H^+ => H + C2H2^+	5.40d-10
C2H2(v13) + H^+ => H + C2H2^+	5.40d-10
CH4 + CH2 => CH3 + CH3	4.08d-18 * Tgas**2 * exp(-4163./Tgas)
CH4(v24) + CH2 => CH3 + CH3	4.08d-18 * Tgas**2 * exp(-4163./Tgas)
CH4(v13) + CH2 => CH3 + CH3	4.08d-18 * Tgas**2 * exp(-4163./Tgas)
CH4 + CH => C2H4 + H	9.97d-11
CH4(v24) + CH => C2H4 + H	9.97d-11
CH4(v13) + CH => C2H4 + H	9.97d-11
CH4 + C2H5 => C2H6 + CH3	2.51d-15 * (Tgas/298.)**4.14 * exp(-52.55/(R*Tgas))
CH4(v24) + C2H5 => C2H6 + CH3	2.51d-15 * (Tgas/298.)**4.14 * exp(-52.55/(R*Tgas))
CH4(v13) + C2H5 => C2H6 + CH3	2.51d-15 * (Tgas/298.)**4.14 * exp(-52.55/(R*Tgas))
CH4 + C2H3 => C2H4 + CH3	4.26d-15 * (Tgas/298.)**4.02 * exp(-22.86/(R*Tgas))
CH4(v24) + C2H3 => C2H4 + CH3	4.26d-15 * (Tgas/298.)**4.02 * exp(-22.86/(R*Tgas))
CH4(v13) + C2H3 => C2H4 + CH3	4.26d-15 * (Tgas/298.)**4.02 * exp(-22.86/(R*Tgas))
CH4 + C3H7 => C3H8 + CH3	3.54d-16 * (Tgas/298.)**4.02 * exp(-45.48/(R*Tgas))
CH4(v24) + C3H7 => C3H8 + CH3	3.54d-16 * (Tgas/298.)**4.02 * exp(-45.48/(R*Tgas))
CH4(v13) + C3H7 => C3H8 + CH3	3.54d-16 * (Tgas/298.)**4.02 * exp(-45.48/(R*Tgas))
CH4 + H => CH3 + H2	9.86d-13 * (Tgas/298.)**3.00 * exp(-36.67/(R*Tgas))
CH4(v24) + H => CH3 + H2	9.86d-13 * (Tgas/298.)**3.00 * exp(-36.67/(R*Tgas))
CH4(v13) + H => CH3 + H2	9.86d-13 * (Tgas/298.)**3.00 * exp(-36.67/(R*Tgas))
CH4 + CH3 => H + C2H6	1.33d-10 * exp(-167.00/(R*Tgas))
CH4(v24) + CH3 => H + C2H6	1.33d-10 * exp(-167.00/(R*Tgas))
CH4(v13) + CH3 => H + C2H6	1.33d-10 * exp(-167.00/(R*Tgas))
CH4 + CH2 => C2H6	1.90d-12
CH4(v24) + CH2 => C2H6	1.90d-12
CH4(v13) + CH2 => C2H6	1.90d-12
CH4 => CH3 + H	2.40d16 * exp(-52800./Tgas)
CH4(v24) => CH3 + H	2.40d16 * exp(-52800./Tgas)
CH4(v13) => CH3 + H	2.40d16 * exp(-52800./Tgas)
CH3 => CH2 + H	1.69d-8 * exp(-379./(R*Tgas))
CH3 => CH + H2	6.97d-9 * exp(-345./(R*Tgas))
CH3 + C2H5 => C2H6 + CH2	3.00d-44 * Tgas**9.10
