f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
1.3785e-06,7.6561e-16,319420.0,0.00025556,0.010883,0.00089408,0.03572,0.83043,1.1252,10.661,0.0047865,0.0018009,0.011785,0.0032107,0.0087704,0.0048305,1656900000.0,0.013935,143170000000000.0,0.00010795,0.18623,0.042419,0.0050244,0.0087574,0.0024129,0.011512,0.0042213,0.014909,0.011677,0.0098052,0.0047242,13.032,0.0083097,4.9061e-14,4.3288,1024900000.0,0.7741,635.8250507004775,LH pre-train 10
1.3798e-06,8.353e-16,393400.0,0.00031157,0.011698,0.0011694,0.03162,0.81181,1.2857,7.1224,0.0052142,0.0013255,0.012861,0.0031913,0.0077169,0.0046764,1695600000.0,0.011451,102670000000000.0,0.00010776,0.2083,0.055761,0.0050484,0.010091,0.002472,0.015579,0.0047137,0.015625,0.015311,0.0096344,0.0049912,9.1603,0.0085438,3.7944e-14,6.1382,1074000000.0,0.70552,641.0944825878623,LH pre-train 11
1.9476e-06,8.3049e-16,311580.0,0.00035298,0.0098379,0.001159,0.034224,0.90277,1.2325,7.204,0.0059177,0.0015014,0.017489,0.0040547,0.010909,0.0045524,2565900000.0,0.014595,143660000000000.0,0.00011409,0.22152,0.050586,0.0051276,0.011745,0.0033698,0.014844,0.0046131,0.014049,0.010837,0.0088591,0.0055194,9.8622,0.007599,4.9498e-14,4.9067,1351000000.0,0.71009,743.286557299748,LH pre-train 12
1.8561e-06,8.8491e-16,361930.0,0.00035139,0.010647,0.0007825,0.035126,0.72402,1.3133,8.4813,0.0047555,0.0015081,0.017157,0.0043855,0.0085342,0.004432,1882800000.0,0.011346,107800000000000.0,9.6157e-05,0.26143,0.044794,0.0051335,0.0096515,0.0032778,0.011897,0.0043174,0.016561,0.013134,0.0071927,0.0047529,10.928,0.0083305,4.1343e-14,5.3021,956800000.0,0.56234,449.48832015712605,LH pre-train 13
1.6664e-06,7.7219e-16,398640.0,0.00037955,0.01127,0.00090968,0.04701,0.83851,1.3961,8.526,0.0049865,0.0016029,0.014091,0.0046898,0.0079794,0.0037432,1663600000.0,0.013926,149520000000000.0,0.00011505,0.23745,0.055069,0.003747,0.010293,0.0025048,0.013412,0.0053114,0.012835,0.011994,0.009702,0.0046899,9.4775,0.0090304,5.113e-14,4.4984,1113800000.0,0.65198,811.5444132190754,LH pre-train 14
1.6928e-06,9.878e-16,408760.0,0.00036928,0.012904,0.00079719,0.04531,0.72337,1.1538,9.2849,0.0041648,0.0012363,0.012276,0.0044149,0.0077935,0.00453,1788100000.0,0.014623,106070000000000.0,0.00013423,0.21147,0.053363,0.0036095,0.011342,0.002522,0.015711,0.0039244,0.012237,0.014242,0.0073674,0.0048783,12.09,0.010794,3.4624e-14,4.9401,1212900000.0,0.68462,403.61639074736894,LH pre-train 15
1.411e-06,1.1212e-15,369480.0,0.00031996,0.012106,0.00092868,0.030912,0.80662,1.6014,7.3426,0.0051321,0.0016837,0.013099,0.004065,0.011785,0.0050415,2044200000.0,0.015937,116960000000000.0,9.764e-05,0.20843,0.038813,0.0043893,0.0091557,0.0027876,0.017543,0.0056985,0.012484,0.014571,0.0068961,0.0047759,12.72,0.011389,4.3479e-14,5.4238,1202500000.0,0.51737,484.1699484367669,LH pre-train 16
1.8848e-06,1.1301e-15,340070.0,0.00027443,0.011677,0.0010454,0.042552,1.026,1.0709,8.4938,0.0049041,0.0016324,0.017377,0.0036208,0.0099406,0.0044662,1867800000.0,0.014065,146160000000000.0,0.00011749,0.26611,0.045073,0.00336,0.011421,0.0029991,0.014837,0.0042007,0.010975,0.010654,0.0099413,0.0039822,9.984,0.011295,3.7065e-14,5.1708,1363000000.0,0.5688,910.0038579693996,LH pre-train 17
1.9352e-06,7.6286e-16,289900.0,0.00028888,0.0091264,0.00093847,0.041711,0.75624,1.2099,8.2155,0.0042874,0.0015561,0.012992,0.0044778,0.010782,0.0042557,2047500000.0,0.012049,114850000000000.0,0.00012658,0.19126,0.043687,0.0037894,0.011664,0.0023262,0.012931,0.0050387,0.015294,0.011839,0.0082496,0.0041505,8.7475,0.0092959,5.2643e-14,6.0894,1089800000.0,0.54805,286.57285353237205,LH pre-train 18
1.7288e-06,8.4559e-16,309840.0,0.000332,0.0090145,0.0010401,0.031738,0.88031,1.0669,10.544,0.0054341,0.0018657,0.01126,0.0038422,0.0098695,0.0047931,2152600000.0,0.01293,149500000000000.0,0.000119,0.21896,0.054075,0.0047711,0.0098542,0.0030233,0.013646,0.0037105,0.016221,0.010922,0.0086289,0.0044112,11.053,0.0092248,4.182e-14,4.5709,1136000000.0,0.71928,692.0741536131559,LH pre-train 19
1.357274819228809e-06,8.86481132611958e-16,302927.9145326404,0.0003206982979363,0.01134584676604,0.0008320500750303,0.0330671165968726,0.6935593907044314,1.4779831184831544,7.04532127767951,0.0038866982489114,0.0014468877095789,0.0164957554429043,0.0031228087910544,0.011841779769072,0.0037196192398979,2344040314.5241504,0.0137062728164411,112317863560846.92,8.965104857436605e-05,0.2124801223699255,0.0576532213426636,0.0041882922197245,0.0110922899701941,0.0025095137449643,0.016646624219301,0.0051049375120157,0.0125692593184483,0.0160564902734231,0.008364043609907,0.0037717722198291,12.717639972109689,0.0088306461174837,3.64291919101175e-14,5.217884942837192,1103684533.4348843,0.8084998576466893,219.01069525627173,Bayesian_Opt 0
1.3465912664962095e-06,8.865643725640084e-16,299183.24609698524,0.0003209203752589,0.011383803611551,0.0008388295526832,0.0328816585910605,0.6817581792354204,1.4740314475673624,7.0278198030529255,0.0038491397129324,0.001442538554016,0.0166666602971921,0.0031932802621101,0.0119965259573599,0.0037382759287137,2347184411.546611,0.0137171427299988,112060131331009.84,9.150307060199744e-05,0.2118849351425166,0.0583470000562234,0.0041892828061302,0.0111574275863618,0.0024860062960458,0.0164586008448885,0.0051272531963553,0.0125226383410359,0.0161713786734849,0.008365183238683,0.0037100352863212,12.77010975846833,0.0088383843945485,3.68364728675778e-14,5.2163800107449285,1107342130.0312767,0.8251350758911993,202.5322430835137,Bayesian_Opt 1
1.3593925124493662e-06,8.883672182224088e-16,296215.1517813477,0.0003215410230762,0.0113286304177729,0.0008357839800311,0.0325085201826165,0.6718347319253642,1.4664541154291793,6.887724615994884,0.0037863446254704,0.0014443485117,0.0168563960084385,0.0032426539639713,0.0122424229917581,0.0037575812076746,2377669340.950784,0.0136928719897278,111531780401522.95,9.13226980375306e-05,0.2116738794066386,0.0589759268102734,0.0041973584206126,0.0110907171784474,0.0024674186339826,0.0163781472129947,0.0050815149333961,0.0125013615806613,0.0164603571898403,0.0083602738775266,0.0036447500757118,12.65836980603511,0.0088570594837217,3.6772290401822043e-14,5.215539625822774,1113984065.4817336,0.8335164370848813,184.7733737234712,Bayesian_Opt 2
1.3660187754151217e-06,8.875849342536674e-16,291336.8211752787,0.0003222064503389,0.0112810346985308,0.0008316557128595,0.0321190562509457,0.6596673411381716,1.4674166137527862,6.964109332421889,0.0037641210347876,0.0014451777650089,0.0167747388331392,0.0032781345334261,0.012205771599802,0.0037459967103786,2357032730.458536,0.0136598487426784,111283170100324.12,9.24643504288804e-05,0.2119088493039106,0.0587626314647358,0.0042039670763428,0.0110505126875811,0.0024343855764542,0.0165773429596435,0.0050465720240398,0.0124381508409788,0.0165174531967097,0.0083554581949375,0.0036339397828681,12.47415325159012,0.0088388801357227,3.6559147623176575e-14,5.215449924247866,1108963065.632895,0.8265581863023121,176.03055156159218,Bayesian_Opt 3
1.3746427657793831e-06,8.891007018722707e-16,290953.76901232713,0.0003230000739837,0.0112109922771294,0.0008249625235291,0.0316660583455905,0.673878778136781,1.463876477957844,7.105744919303554,0.0037340046587624,0.0014483629214066,0.0169597233887696,0.003264774793199,0.0124380100417549,0.0037995128494486,2364526605.5828133,0.0136313511224771,111484250636959.5,9.307356680327052e-05,0.2113529336434735,0.0583835983558912,0.0042006339489741,0.0110375044259479,0.002427662388841,0.0168410160541043,0.0050349755917162,0.0125208263033046,0.0166003191509225,0.0083509187812509,0.0036721506626906,12.443872302220658,0.0088582633733325,3.6759389419493954e-14,5.215439305788332,1110911662.4489918,0.8367489716785086,178.16121395025243,Bayesian_Opt 4
1.3624450622817912e-06,8.901146653878655e-16,294653.9051582635,0.0003224701774324,0.0113821372361726,0.0008374566337924,0.031923254418505,0.6566520579324047,1.453936855461444,7.017863105325068,0.0037117319150587,0.0014425651465122,0.0168430770709676,0.0032508553020445,0.0124280689118087,0.0038253919571867,2356639262.4897866,0.013631008217494,111236099453761.69,9.11729346941191e-05,0.211508498667699,0.0584382605556291,0.0042012426625003,0.0110394864102808,0.0024440291793052,0.0164578017818601,0.0050358117324779,0.0124160376342703,0.0161836565256106,0.0083559760563189,0.0036551849877016,12.399568821680528,0.0088116297725521,3.6949628031633935e-14,5.2163057222497535,1116088284.9423175,0.8404673260400084,166.1677674547186,Bayesian_Opt 5
1.351709325465282e-06,8.901516653890772e-16,289784.0760107119,0.0003233893353125,0.0113184754222288,0.0008425369558686,0.0318083123318241,0.6431828245263165,1.464298820956068,7.0999258803345136,0.0036245928023301,0.0014484695847702,0.0167390534709424,0.0032362311307473,0.0127586201060401,0.0037871138819837,2385722305.3796124,0.0136072050525493,111506569056972.06,9.0785844578486e-05,0.2112692818822795,0.0586627902279244,0.004201437461802,0.0110945901046832,0.0024270606970443,0.0166750346621253,0.0050095573917164,0.0125143607526823,0.016218960296791,0.0083514368160436,0.0036245501535598,12.430687816631814,0.0088215910913164,3.6768061126926325e-14,5.215439096399703,1123292165.236173,0.8527308344689534,150.80342979582187,Bayesian_Opt 6
1.3668702904143573e-06,8.880134518434894e-16,284255.3469074038,0.0003231467992913,0.011354224318669,0.0008437033757649,0.0312859354041072,0.6385657245462777,1.4618930163589194,6.9628072267013446,0.0035818712798985,0.0014527438437173,0.0169007127518441,0.0032599690124538,0.0125381651277193,0.0037714793066858,2416043985.524269,0.0136100971261473,110508975938193.2,8.917509939954457e-05,0.2111093443882895,0.0594472833690219,0.0042104539482647,0.0111203957947127,0.002465432984497,0.0165914783581184,0.0050546933572569,0.012558297840425,0.0159685038587365,0.0083472577058246,0.0036131507353804,12.226064264881474,0.0088326304522277,3.6276688161276725e-14,5.216549716337081,1125792176.7770443,0.8573880589027855,149.06173806271386,Bayesian_Opt 7
1.3569871194303898e-06,8.863711643378115e-16,290255.2902929816,0.0003230002860178,0.0114304069947753,0.0008388368217543,0.0311696053763014,0.6331913557937687,1.456910173770062,6.940660361455878,0.0035299274780132,0.0014491364566014,0.0167951151382994,0.0032631882244399,0.0122181919059175,0.0037200226488794,2442847462.732556,0.0136001997032114,111429459482263.44,8.800937686259991e-05,0.2104130349843502,0.0605417564526204,0.0042206887060335,0.0111348183243485,0.0024598734298296,0.0166471159253198,0.005077842941644,0.0126128918221806,0.0161566654201927,0.008347658446165,0.0036809573862969,12.199027783004912,0.0088320059507259,3.5935032852510274e-14,5.217011491710061,1128318692.0296888,0.8657417252443523,148.1037112173611,Bayesian_Opt 8
