mol%H2,mol%CH4,mol%C2H6,mol%C2H4,mol%C2H2,mol%C3H8,mol%C3H6,mol%C4H10,mol%C5H12,mol%C,Residence Time [s]
3.773562378,93.89844337,1.122359353,0.120711278,0.087558917,0.294980076,0.020351022,0.038547842,0.046737724,0.596748039,5.654866777
4.773593692,92.29125051,1.398965052,0.13267534,0.101157029,0.38171095,0.024549293,0.053086551,0.061727133,0.781284454,7.270542999
6.436624621,89.62846481,1.836288814,0.148623886,0.119454828,0.52548646,0.031230952,0.078469696,0.086968409,1.108387525,10.1787602
9.803913953,84.30380366,2.551079674,0.174029532,0.141542641,0.76753265,0.042723216,0.124364888,0.130899053,1.960110735,16.96460033
