V,E,time,CFLA,CALA,CFK,CBK,VF,VA,VB,I,exp
20,0.25,0.0,0.46657664,0.0001795649999999996,1.0321567070000002,0.007676338,1.0,1.0,1.0,0.0,1
20,0.25,1.0,0.4572452506534939,0.00036974680145071494,0.9997976174792068,0.020241894112332483,1.02,0.9899999999999999,0.9899999999999999,0.1,1
20,0.25,2.0,0.42985364299529316,0.0009983505712673948,0.6400089803702146,0.36332340636859856,1.0836120401337792,0.963210702341137,0.9531772575250834,0.2,1
20,0.25,3.0,0.4227878941743538,0.002953360333285186,0.6018801238997661,0.4009058400523989,1.0973154362416109,0.9563758389261744,0.9463087248322147,0.3,1
20,0.25,4.0,0.4099820464889321,0.013330785082990813,0.5224522018512933,0.4926918308210509,1.1073825503355708,0.9563758389261745,0.9362416107382552,0.4,1
20,0.25,6.5,0.30504324310278763,0.13707276986567526,0.276346716165409,0.7324326518597798,1.1386138613861385,0.8712871287128714,0.99009900990099,0.8,1
20,0.25,0.0,0.49514725,0.0005181399999999994,1.0837626070000002,0.011514245000000001,1.0,1.0,1.0,0.0,2
20,0.25,1.0,0.4750128424477707,0.009596033067279975,0.6886338737667284,0.39716263052850737,1.0234113712374584,0.9933110367892977,0.9832775919732442,0.4,2
20,0.25,2.0,0.45271130504075807,0.032573374638141375,0.5759689201372167,0.5144261536939174,1.0234113712374584,0.9933110367892977,0.9832775919732442,0.6,2
20,0.25,3.0,0.40822372363381415,0.09395392287219545,0.4378751164083148,0.6559488268117344,0.983277591973244,1.0033444816053512,1.0133779264214047,0.8,2
20,0.25,4.0,0.30014611526109314,0.20784220885199672,0.2963981979886282,0.7892380750103686,0.9425675675675675,1.0236486486486487,1.0337837837837838,0.9,2
10,0.25,0.0,0.43435735,4.999999999999796e-06,1.018588207,0.008364998,1.0,1.0,1.0,0.0,3
10,0.25,1.0,0.4154610979728267,0.0008519730696532187,0.9626921231215038,0.023020844952202284,1.0434782608695652,0.983277591973244,0.9732441471571907,0.1,3
10,0.25,2.0,0.4007208596296522,0.001959425003754053,0.6297050946329635,0.3654626915625727,1.0792079207920793,0.9702970297029702,0.9504950495049503,0.1,3
10,0.25,3.0,0.395444384625058,0.003430897689367785,0.5935628108042845,0.40422312896098933,1.09,0.9700000000000001,0.94,0.2,3
10,0.25,4.0,0.38033329060326904,0.005284558981724967,0.5493288798528213,0.44672588480193887,1.1287128712871288,0.9603960396039605,0.9108910891089109,0.2,3
20,0.25,0.0,0.4247546,0.0003305499999999997,1.067458207,0.010970891,1.0,1.0,1.0,0.0,4
20,0.25,1.0,0.40740634316650143,0.006696778970168521,0.6733283859399677,0.400463142730451,1.0268456375838926,1.0067114093959733,0.9664429530201342,0.4,4
20,0.25,3.0,0.3366770206764923,0.0816065733502452,0.4265944503692888,0.6564787754092971,1.0202020202020203,1.0,0.9797979797979799,0.7,4
20,0.25,4.0,0.2544637820534164,0.17703410135622624,0.2827781457264348,0.7946438227171513,0.9559322033898304,1.0271186440677966,1.0169491525423728,0.8,4
20,0.25,5.0,0.08638573753135281,0.32878547910162553,0.1656483534666524,0.8780379875698231,0.8729096989966556,1.0635451505016722,1.0635451505016722,0.8,4
20,0.25,6.0,0.0006829521940529159,0.3872324897679614,0.0005262801887290839,0.974416970728844,0.7973421926910299,1.0963455149501662,1.106312292358804,0.2,4
30,0.25,0.0,0.5042800000000001,4.999999999999796e-06,1.018588207,0.007420235000000001,1.0,1.0,1.0,0.0,5
30,0.25,1.0,0.4842864327119863,0.018317617288013878,0.6110312999635983,0.4157142564610121,1.0033444816053512,1.0033444816053512,0.9933110367892976,0.8,5
30,0.25,2.0,0.40015545722588636,0.11395337729024674,0.388355136706254,0.6429274263419965,0.9696969696969697,1.02020202020202,1.01010101010101,1.5,5
30,0.25,4.0,0.0001963185897404365,0.4537190769871818,0.0001028276158755348,0.9233356184688872,0.7777777777777778,1.1111111111111112,1.1111111111111112,0.2,5
30,0.25,5.0,5.169702371196219e-06,0.4645500237429719,5.524185083785011e-05,0.8592134115775939,0.7203947368421054,1.0855263157894737,1.194078947368421,0.2,5
30,0.25,0.0,0.9927815,0.0012092600000000002,1.9359526070000002,0.014723461,1.0,1.0,1.0,0.0,6
30,0.25,1.0,0.9488631476702127,0.032196365855003684,1.3135930501835433,0.6299731995633575,1.0135135135135136,1.0033783783783783,0.9831081081081081,1.1,6
30,0.25,1.666666667,0.8999287608790082,0.08162503938147311,1.120808994005756,0.828719649231179,1.0135135135135136,1.0033783783783783,0.9831081081081081,1.4,6
30,0.25,4.0,0.47244914308838476,0.5753378518880314,0.005459282921901846,1.7075756128401691,0.7399999999999999,1.12,1.14,1.9,6
30,0.25,5.0,0.0018684775931602658,0.8204542271674794,0.0010963017221416317,1.62502452983149,0.5898305084745763,1.2101694915254235,1.2,1.0,6
30,0.25,0.0,0.920709,4.999999999999796e-06,1.8859450070000001,0.009237026,1.0,1.0,1.0,0.0,7
30,0.25,1.0,0.8796562601019197,0.009030844606737769,1.3175630237198963,0.542075267116981,1.0365448504983388,0.9867109634551493,0.9767441860465116,0.7,7
30,0.25,2.0,0.8310149932990144,0.043782809969093235,1.1575574626019385,0.6953488619435861,1.0564784053156147,0.9767441860465117,0.9667774086378739,1.2,7
30,0.25,3.0,0.7759980402810726,0.13213927877048823,0.9539622543821568,0.9378016420279136,1.016778523489933,0.9966442953020134,0.9865771812080537,1.7,7
30,0.25,4.0,0.6357136757292171,0.3203285130288796,0.6414777322633155,1.2609492184971078,0.9222972972972971,1.0439189189189189,1.0337837837837838,2.0,7
