exp,T,V,E,Ci,Ki,t,SEC,JLA,CF_LA,CA_LA,CB_LA,CF_K,CA_K,CB_K,VF,VA,VB,,,,,
6,22.7,30,0.25,1,2,5,0.79303461,335.2707501,-0.004823405,0.821043,0.01965593,0.004481185,0.020501978,1.56499387,0.6,1.12,2.14,,,,,
7,21.6,30,0.25,0.5,1,0,,,0.48327375,-0.005766865,-0.00596829,1.0902781,0.00376505,0.013965134,1,1,2,,,,,
7,19.5,30,0.25,0.5,1,1,5.232409079,13.26233067,0.466157345,0.00237826,-0.00355676,1.0712556,0.00613372,0.630395601,0.99,0.98,2.02,,,,,
7,20.2,30,0.25,0.5,1,2,2.905477988,61.98737506,0.433008125,0.04099819,-0.00060569,0.7466796,0.009161842,0.822383943,0.99,0.98,1.99,,,,,
7,21.3,30,0.25,0.5,1,3,1.568251355,209.955039,0.323587735,0.168370135,0.00037209,0.388439809,0.01416924,1.05373907,1.03,1,1.92,,,,,
7,21.1,30,0.25,0.5,1,4,0.870637683,498.6164192,0.00708185,0.433770235,0.004461995,0.007571535,0.018550922,1.25005068,1.1,1.09,1.8,,,,,
8,22.8,30,0.25,1,2,0,,,0.9885465,-0.006195,-0.006195,1.9230736,0.003626151,0.01261753,1,1,2,,,,,
8,21.0,30,0.25,1,2,1,4.084081778,26.15476076,0.9379955,0.009873,-0.004644535,1.6793136,0.007576866,0.788422459,1.04,0.99,1.88,,,,,
8,22.1,30,0.25,1,2,2,2.48057891,99.85443667,0.8801775,0.0714568,-0.00333441,1.2810421,0.011419964,1.15097387,1.02,0.99,1.91,,,,,
8,22.7,30,0.25,1,2,3,1.792157549,210.0509483,0.7854075,0.1989927,0.00063691,0.9762901,0.015149048,1.53879963,0.97,1,1.96,,,,,
8,23.0,30,0.25,1,2,4,1.08997521,526.6228053,0.550389,0.47321085,0.008290905,0.524936596,0.019905272,1.59448075,0.81,1.1,2.02,,,,,
8,23.1,30,0.25,1,2,5,0.730864992,858.1920208,0.038461435,0.8034745,0.01711646,0.210183109,0.020610522,1.59448075,0.7,1.3,2.02,,,,,
9,24.5,30,0.25,1.5,1.5,0,,,0.97582383,-0.006195,-0.006195,1.9175164,0.003652126,0.012656004,1,1,2,,,,,
9,20.8,30,0.25,1.5,1.5,1,14.88898519,2.635668163,0.935166485,-0.004632065,-0.00541778,1.7982301,0.004603265,0.030677798,1.08,0.99,1.96,,,,,
9,19.8,30,0.25,1.5,1.5,2,2.769033068,36.81580156,0.85757344,0.019034915,-0.003309575,1.4041936,0.00893749,0.697775025,1.15,0.94,1.9,,,,,
9,20.0,30,0.25,1.5,1.5,3,2.049796265,64.25432834,0.81875625,0.060770725,-0.002197625,1.2018924,0.011618291,0.804836523,1.15,0.94,1.88,,,,,
9,20.1,30,0.25,1.5,1.5,4,1.6926432,102.4447917,0.764485545,0.13008047,-0.00067562,1.0495276,0.014287608,0.92765675,1.11,0.92,1.86,,,,,
9,20.3,30,0.25,1.5,1.5,5,1.301166851,184.4079445,0.69799875,0.23700785,0.0014383,0.7736176,0.016875,1.06021467,1.08,0.98,1.92,,,,,
9,20.2,30,0.25,1.5,1.5,6,1.071773183,251.5379738,0.577157345,0.38974629,0.0046919,0.551441569,0.019200698,1.10395008,0.98,0.99,1.84,,,,,
9,20.2,30,0.25,1.5,1.5,7,0.825400319,333.0042602,0.388549725,0.5891707,0.009179025,0.403106164,0.021153482,1.15421875,0.9,1,1.96,,,,,
10,21.8,30,0.25,1,2,0,,,0.97871656,-0.00462933,-0.006195,1.8869661,0.00880932,0.013011966,1,1,2,,,,,
10,19.8,30,0.25,1,2,1,5.893694638,5.887133933,0.929270315,-0.001045285,-0.005027685,1.7871525,0.010670034,0.58841728,1.08,0.99,1.96,,,,,
10,19.1,30,0.25,1,2,3,6.429151414,6.259306455,0.866674065,0.007030465,-0.003380345,1.3630981,0.013061825,0.670489651,1.15,0.94,1.9,,,,,
10,19.1,30,0.25,1,2,5,6.250935044,7.970314923,0.813216485,0.017384555,-0.00176472,1.1610189,0.015149048,0.749986503,1.15,0.94,1.88,,,,,
10,19.6,30,0.25,1,2,7,4.94027255,12.6527946,0.771524455,0.03455682,-0.00020552,0.95191,0.018118058,0.813367864,1.11,0.92,1.86,,,,,
10,21.2,30,0.25,1,2,24,12.75300948,1.033695564,0.40900824,0.043389475,0.042796325,0.447141529,0.038906208,1.10557075,1.08,0.98,1.92,,,,,
10,20,30,0.25,1,2,27,1.193500224,279.7853376,0.36356379,0.56061205,0.05482691,0.430054681,0.043088058,1.12015948,0.98,0.99,1.84,,,,,
11,24.7,30,0.25,3,6,0,,,2.907528125,-0.004343355,-0.005105665,5.1745322,0.01013485,0.58217212,1,1,2,,,,,
11,23.7,30,0.25,3,6,1,2.82037931,81.49559317,2.64040094,0.04634212,-0.003267865,4.577625,0.012261889,1.338733015,1.07,0.98,2.1,,,,,
11,25.2,30,0.25,3,6,3,1.776434704,245.4058865,2.35583625,0.36325203,0.005028675,3.0885098,0.020067962,1.9522135,1.05,0.95,1.97,,,,,
11,26.0,30,0.25,3,6,4,1.045547831,871.766678,2.234660625,0.8773626,0.012711805,2.55662,0.022621472,2.25328984,1.05,1,2.07,,,,,
11,26.2,30,0.25,3,6,5,1.125872065,1258.433329,2.105076565,0.59563795,0.023230085,2.0284938,0.024692472,2.519616,0.88,1.02,2.07,,,,,
11,26.2,30,0.25,3,6,6,0.938503748,966.6472148,1.91542531,1.19644375,0.036425385,1.5580152,0.025784792,2.75412864,0.75,1.15,2.16,,,,,
