exp,T,V,E,Ci,Ki,t,SEC,JLA,CF_LA,CA_LA,CB_LA,CF_K,CA_K,CB_K,VF,VA,VB,,,,,
27,22.60,30,0.25,3,6,3.0,2.150664035,132.1190176,2.44994295,0.15752332,-0.002210585,3.361352,0.012514122,0.36395064,1.19,1,2.795,,,,,
27,23.00,30,0.25,3,6,4.2,1.778896306,199.6289413,2.28180685,0.29972496,0.001112345,2.86055,0.015149048,0.54849784,1.2,1,2.795,,,,,
27,23.30,30,0.25,3,6,5.0,1.7040364,195.3270153,2.0581709,0.39910871,0.00382338,2.461208,0.016713018,0.67199686,1.19,1,2.825,,,,,
27,23.30,30,0.25,3,6,6.0,1.5306939,276.2007391,2.1282092,0.551211795,0.008545295,2.121608,0.018821592,0.84713446,1.15,1.03,2.825,,,,,
28,20.80,20,0.25,0.5,1,0,,,0.472668205,-0.00582212,-0.00557912,0.9590022,0.003744903,0.011733115,1,1,1,,,,,
28,20.40,20,0.25,0.5,1,1,25.645675,0.472641571,0.459934025,-0.00553354,-0.00414238,0.9013752,0.003908749,0.026400517,1.03,1,1,,,,,
28,21.30,20,0.25,0.5,1,3.0,5.33068418,5.865194785,0.44407754,0.001628665,-0.00129704,0.7030278,0.005830554,0.1070735,1.08,1,0.95,,,,,
28,21.70,20,0.25,0.5,1,4.0,2.287255454,39.29002687,0.4121425,0.02587668,4.0765E-05,0.5310182,0.008718547,0.21211744,1.08,0.99,0.95,,,,,
28,21.80,20,0.25,0.5,1,5.0,1.36926825,93.68512657,0.37476789,0.084509275,0.001142765,0.3243528,0.013728221,0.38178646,1.08,0.98,0.98,,,,,
28,21.80,20,0.25,0.5,1,6.0,0.885120775,188.9655665,0.26944123,0.19819549,0.003058725,0.1459832,0.018118058,0.58442336,1,1,1,,,,,
28,21.60,20,0.25,0.5,1,7,0.610049852,308.4598008,0.09413092,0.36812504,0.00634667,0.045383648,0.020990552,0.75104294,0.9,1.05,1.05,,,,,
29,21.20,20,0.25,1,2,0,,,0.959983205,-0.00592411,-0.00611255,1.89018,0.003639404,0.01243801,1,1,2,,,,,
29,20.30,20,0.25,1,2,1,14.22296534,1.257036592,0.907253205,-0.00526184,-0.005556825,1.7467142,0.00426839,0.028879485,1.05,0.98,2,,,,,
29,19.70,20,0.25,1,2,2,9.834289138,3.734774042,0.8730675,-0.002965225,-0.004893225,1.5880392,0.005059929,0.05542799,1.07,0.97,1.97,,,,,
29,20.00,20,0.25,1,2,4.0,2.566240578,28.46161485,0.797543985,0.03427877,-0.0034654,1.1440472,0.009006925,0.17390144,1.13,0.93,1.93,,,,,
29,20.30,20,0.25,1,2,5.0,1.781617485,73.75783771,0.76782469,0.082702645,-0.002655405,0.9063782,0.011232408,0.26359224,1.13,0.93,1.93,,,,,
29,20.60,20,0.25,1,2,6.0,1.294346349,128.5687621,0.70981578,0.16711127,-0.001247935,0.6478472,0.013749728,0.38266166,1.1,0.93,1.93,,,,,
29,20.60,20,0.25,1,2,7,0.981053449,195.581534,0.62436008,0.28332926,0.00082851,0.436455,0.016227288,0.50804294,1.05,0.97,1.95,,,,,
30,17.70,20,0.25,3,6,0,,,3.0155842,-0.00543871,-0.006086845,5.285048,0.004031791,0.016334973,1,1,2,,,,,
30,20.40,20,0.25,3,6,4.0,1.843062739,66.09726783,2.08511365,0.13702414,-0.000645045,2.9678,0.018442682,0.57221286,1.25,0.88,1.9,,,,,
30,20.70,20,0.25,3,6,5.0,1.497267212,145.4891088,1.9842334,0.237968515,0.00240141,2.641752,0.021316448,0.77497664,1.25,0.88,1.9,,,,,
30,20.90,20,0.25,3,6,6.0,1.328641175,163.2593145,1.8904457,0.36363914,0.006652365,2.344622,0.023765258,0.993744,1.25,0.85,1.9,,,,,
30,21.00,20,0.25,3,6,7.0,1.186650716,199.9638612,1.855701,0.50727633,0.012078565,1.948968,0.02583945,1.198424,1.23,0.85,1.88,,,,,
30,21.20,20,0.25,3,6,8,1.107583153,204.2636514,1.87084,0.6317066,0.01738726,1.4776632,0.02748105,1.357774,1.2,0.88,1.9,,,,,
31,25.20,35,0.5,3,6,0,,,3.177671875,-0.0062,-0.0062,2.64002,0.004146367,0.018972902,1,1,2,,,,,
31,33.70,35,0.5,3,6,3.0,0.602383518,523.6191564,2.4388175,0.39271215,0.00416275,1.91702,0.0157958,0.924816,1.1,0.98,1.95,,,,,
31,34.40,35,0.5,3,6,4.0,0.565789701,724.8307321,2.284614065,0.67101258,0.01284281,1.4837102,0.019417418,1.34475,1.03,1.05,1.95,,,,,
31,34.70,35,0.5,3,6,5.0,0.510711491,1009.432288,2.022153435,1.042838125,0.025504155,1.0589958,0.021968672,1.749136,0.88,1.1,2,,,,,
31,34.80,35,0.5,3,6,6.0,0.46104652,1272.438444,1.663962345,1.44545031,0.040709315,0.756875,0.02311145,2.062456,0.68,1.22,2.1,,,,,
31,34.70,35,0.5,3,6,7.0,234.7818769,594.3782712,0.927930315,1.840840625,0.056433485,0.4700718,0.023601752,2.29115,0.43,1.38,2.2,,,,,
32,27.40,35,0.25,3,6,0.0,,,3.362294065,-0.00603599,-0.0062,2.6555,0.006559436,0.020589282,1,1,2,,,,,
32,34.90,35,0.25,3,6,2.0,2.329187836,222.0660193,2.653433125,0.27054795,-0.000524815,2.22282,0.016875,0.66587446,1.1,0.98,1.9,,,,,
32,35.40,35,0.25,3,6,3.0,2.725264004,484.7910519,2.454989845,0.56113508,0.007936995,1.7544878,0.018659178,1.136784,1.03,1,1.9,,,,,
32,35.60,35,0.25,3,6,4.0,2.623303358,705.6141316,2.23330625,0.918482185,0.020204805,1.299755,0.020556248,1.572686,0.9,1.08,1.95,,,,,
32,35.20,35,0.25,3,6,5.0,2.452406622,936.8217196,1.912249845,1.325385155,0.03488984,0.9244718,0.022349402,1.948126,0.73,1.18,2,,,,,
32,34.80,35,0.25,3,6,6.0,2.274020376,1087.384756,1.36400594,1.71375172,0.05354381,0.6345062,0.023329322,2.219096,0.5,1.3,2.13,,,,,
33,26.70,35,1,3,6,0.0,,,3.328815,-0.0046714,-0.00524526,2.67102,0.006256087,0.020071714,1,1,2,,,,,
33,36.3,35,1,3,6,3,0.450477537,482.790479,2.417291875,0.662669455,0.01320422,1.6255512,0.01985105,1.261264,0.98,1.02,1.93,,,,,
33,36.9,35,1,3,6,4,0.477242581,838.7929071,2.186409685,1.06077078,0.02668625,1.14842,0.021533792,1.713246,0.83,1.12,2,,,,,
33,35.8,35,1,3,6,5,0.498921396,1094.329021,1.750079375,1.48498078,0.04331799,0.794795,0.022893642,2.077904,0.6,1.25,2.07,,,,,
33,35.3,35,1,3,6,6,0.527209777,1259.662383,0.845786875,1.87524,0.060602545,0.381995,0.023710752,2.323486,0.33,1.4,2.17,,,,,
34,26.9,35,0.5,3,6,0,,,3.247750625,-0.005919605,-0.0062,2.67102,0.005713578,0.01968374,1,1,2,,,,,
34,35.4,35,0.5,3,6,2,9.960608151,223.6081064,2.666598125,0.27258824,-7.291E-05,2.17998,0.017253098,0.686864,1.08,0.98,1.9,,,,,
34,31.80,35,0.5,3,6,2.9,7.339164174,543.9931898,2.470914065,0.577138515,0.010599145,1.6608872,0.0272072,1.179806,1.03,1,1.93,,,,,
34,34.30,35,0.5,3,6,3.9,4.875268467,1056.942907,2.19324203,1.06302125,0.02307463,1.1092952,0.041412618,1.734744,0.78,1.15,2,,,,,
34,35.90,35,0.5,3,6,4.9,3.764499228,1337.426543,1.57051797,1.593019375,0.03952944,0.6496328,0.034028192,2.124536,0.58,1.28,2.1,,,,,
34,35.00,35,0.5,3,6,5.9,3.102596047,1432.411229,0.258292265,2.081178435,0.055639375,0.096275808,0.030335018,2.37235,0.28,1.4,2.2,,,,,
34,29.80,35,0.5,3,6,6.9,3.098637008,211.4783593,0.0483009,2.173408435,0.07061623,0.012965142,0.031490648,2.364176,0.23,1.4,2.25,,,,,
