exp,V,E,t,VF,VA,VB,CF_LA,CA_LA,CF_K,CB_K,I
0,20,0.25,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0
0,20,0.25,0.25,1.0016985,0.9988944179461842,0.9991747767857143,0.49666723390293044,0.0020327888762626096,1.02177015625,-0.02425056633964613,0.025000000000000005
0,20,0.25,0.5,1.006196,0.9966197856491336,0.9969660714285714,0.4933534212411479,0.0030766534343434093,1.03700525,-0.045456960673222614,0.05
0,20,0.25,0.75,1.0125955,0.993535260527516,0.9937743303571428,0.49005872795879135,0.0034612351136363356,1.0459597187499998,-0.06157774335705644,0.075
0,20,0.25,1.0,1.02,0.99,0.99,0.48678332,0.0035161753535353246,1.0488879999999998,-0.07057147474747463,0.1
0,20,0.25,1.25,1.0331618870774308,0.9842766787922428,0.9825773121762117,0.4834778577521171,0.0007781158798926454,1.0433693414923513,-0.07495835875618098,0.125
0,20,0.25,1.5,1.0527913688842967,0.9761462777319845,0.971069746787464,0.48015841898794126,-0.005245614962121249,1.0296452439796042,-0.07843485995410313,0.15000000000000002
0,20,0.25,1.75,1.0719281762824593,0.9682454133910183,0.9598216223862555,0.47692329572979486,-0.011269345804135142,1.0119635244770546,-0.08072392968640375,0.17500000000000004
0,20,0.25,2.0,1.0836120401337794,0.963210702341137,0.9531772575250835,0.47387078,-0.014007405277777822,0.9945719999999998,-0.0815485192982456,0.2
0,20,0.25,2.25,1.0883800943303403,0.9606112011873198,0.9508587316477893,0.471120910438711,-0.01350755179437799,0.9787981560136818,-0.0751593795964787,0.225
0,20,0.25,2.5,1.0918314986350752,0.9584318895267853,0.949316523034881,0.4685730166280744,-0.012223765692171642,0.9620132373290273,-0.05842524769338459,0.25
0,20,0.25,2.75,1.0945990227161198,0.9569332684196858,0.9479875484938566,0.4659943270034006,-0.010479708493148507,0.9425306999798589,-0.034996054392273074,0.275
0,20,0.25,3.0,1.0973154362416109,0.9563758389261745,0.9463087248322148,0.46315206999999997,-0.008599041719298308,0.9186639999999999,-0.00852173049645399,0.3
0,20,0.25,3.25,1.1000059504030175,0.9563758389261745,0.9435874267815925,0.46019401341885807,-0.006596024791601979,0.8835576905224758,0.029481387627759592,0.32410239361702126
0,20,0.25,3.5,1.1024272853760986,0.9563758389261745,0.9402544464755095,0.45713438824794866,-0.004137360018673507,0.8368093373438655,0.08278378538742909,0.3476063829787234
0,20,0.25,3.75,1.1048094743054262,0.9563758389261745,0.9374318268242893,0.45354011770306496,-0.0010253732539521959,0.7864119154933226,0.14066576463930636,0.37230718085106385
0,20,0.25,4.0,1.1073825503355708,0.9563758389261745,0.9362416107382551,0.448978125,0.002937609649122651,0.7403583999999999,0.19240762724014335,0.4
0,20,0.25,4.25,1.1101605752459989,0.955306152283493,0.9367568822797908,0.4428308837829325,0.0087740294104785,0.6993983105818112,0.23715630569553506,0.4307633738601824
0,20,0.25,4.5,1.1130064623935503,0.9521943365956922,0.9383130535488833,0.4348191625423412,0.017284589892138654,0.6590054844633207,0.28112032986147206,0.4634990881458967
0,20,0.25,4.75,1.115923522288856,0.9471862582231377,0.9409256595122599,0.42501732676347,0.028334359953807575,0.6192593729336574,0.3241723976202992,0.4982372340425532
0,20,0.25,5.0,1.1189150654425473,0.9404277835261954,0.9446102351366488,0.4134997419315624,0.041788408455189704,0.5802394272819501,0.36618520685436173,0.5350079027355624
0,20,0.25,5.25,1.121984402365255,0.9320647788652308,0.9493823153887776,0.40034077353186226,0.05751180425598949,0.5420250987973277,0.4070314554460046,0.5738411854103344
0,20,0.25,5.5,1.1251348435676107,0.9222431106006095,0.9552574352353739,0.38561478704961305,0.07536961621591141,0.5046958387689191,0.4465838412775729,0.6147671732522796
0,20,0.25,5.75,1.1283696995602457,0.9111086450926972,0.9622511296431656,0.3693961479700586,0.09522691319465988,0.4683310984858531,0.4847150622314115,0.6578159574468087
0,20,0.25,6.0,1.131692280853791,0.8988072487018597,0.9703789335788803,0.3517592217784425,0.11694876405193938,0.43301032923725863,0.5212978161898656,0.7030176291793313
0,20,0.25,6.25,1.1351058979588784,0.8854847877884624,0.9796563820092459,0.33277837396000837,0.14040023764745435,0.39881298231226464,0.5562048010352802,0.7504022796352584
0,20,0.25,6.5,1.1386138613861383,0.8712871287128713,0.99009900990099,0.31252797,0.16544640284090928,0.3658185089999999,0.5893087146500002,0.8
1,20,0.25,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.1
1,20,0.25,0.25,1.008596362876254,0.9975438963210703,0.9938597408026756,0.4964499319591258,0.0005056562551176537,0.9994601781534312,-0.008858981813350224,0.18484375000000003
1,20,0.25,0.5,1.0160953177257526,0.9954013377926422,0.9885033444816054,0.49227194980766864,0.0018763045871599863,0.9978810500758166,-0.013408188690476015,0.26375000000000004
1,20,0.25,0.75,1.021399456521739,0.9938858695652173,0.9847146739130435,0.48756143025237725,0.003892464346161055,0.9953231219602937,-0.015084212276785518,0.33578125000000003
1,20,0.25,1.0,1.0234113712374582,0.9933110367892977,0.9832775919732442,0.48241375,0.006334654882154917,0.9918468999999999,-0.015323644217686876,0.4
1,20,0.25,1.25,1.0234113712374582,0.9933110367892977,0.9832775919732442,0.47681541116739135,0.010311480201681945,0.9688479573821015,0.006149968211670277,0.455625
1,20,0.25,1.5,1.0234113712374582,0.9933110367892977,0.9832775919732442,0.47055896481171444,0.01668632214760417,0.9179451448372378,0.05909867991366008,0.505
1,20,0.25,1.75,1.0234113712374582,0.9933110367892977,0.9832775919732442,0.4634488610501803,0.024871866824438132,0.854533884873755,0.12631430250916006,0.5518750000000001
1,20,0.25,2.0,1.0234113712374582,0.9933110367892977,0.9832775919732442,0.45528955,0.03428080033670038,0.7940095999999999,0.19058864761904773,0.6
1,20,0.25,2.25,1.0190351486085694,0.994249219932363,0.9868406433076699,0.44579574447752346,0.04628149869873024,0.7376676720402013,0.2513913521432846,0.653125
