,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,15.28,0.0
1,1,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,16.0,1.48491e-24
2,2,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,16.5,6.4356800000000015e-24
3,3,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,17.0,1.61231e-23
4,4,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,17.5,3.1097e-23
5,5,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,18.0,5.14666e-23
6,6,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,18.5,7.70607e-23
7,7,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,19.0,1.07537e-22
8,8,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,20.0,1.81335e-22
9,9,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,21.0,2.68986e-22
10,10,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,22.0,3.66691e-22
11,11,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,23.0,4.71104e-22
12,12,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,24.0,5.79448e-22
13,13,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,26.0,7.994999999999999e-22
14,14,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,30.0,1.21732e-21
15,15,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,40.0,1.99009e-21
16,16,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,50.0,2.42169e-21
17,17,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,60.0,2.64386e-21
18,18,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,70.0,2.7457399999999997e-21
19,19,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,80.0,2.7781599999999997e-21
20,20,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,90.0,2.7700000000000004e-21
21,21,127,IONIZATION,C3H6 -> CH C2H5^+,15.28,e / C3H6,E + C3H6 -> E + E + CH + C2H5^+,100.0,2.738e-21
