,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,5.82,0.0
1,1,1,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,6.0,1.6386800000000002e-24
2,2,2,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,6.5,6.516730000000001e-23
3,3,3,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,7.0,2.57064e-22
4,4,4,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,7.5,5.71314e-22
5,5,5,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,8.0,9.78119e-22
6,6,6,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,9.0,1.94751e-21
7,7,7,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,10.0,2.97687e-21
8,8,8,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,11.0,3.96339e-21
9,9,9,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,13.0,5.65439e-21
10,10,10,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,15.0,6.93679e-21
11,11,11,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,17.0,7.87273e-21
12,12,12,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,18.0,8.236129999999999e-21
13,13,13,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,19.0,8.54212e-21
14,14,14,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,20.0,8.79862e-21
15,15,15,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,30.0,9.76895e-21
16,16,16,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,40.0,9.56446e-21
17,17,17,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,50.0,9.080469999999999e-21
18,18,18,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,60.0,8.552479999999999e-21
19,19,19,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,70.0,8.048919999999999e-21
20,20,20,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,80.0,7.58836e-21
21,21,21,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,90.0,7.173009999999999e-21
22,22,22,58,EXCITATION,C3H8(v1) -> C3H7 H,5.82,e / C3H8(v1),E + C3H8(v1) -> E + C3H7 + H,100.0,6.799779999999999e-21
