Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.0,7.25e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.001,7.25e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.0012,7.26e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.0015,7.26e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.0018,7.27e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.002,7.28e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.0025,7.3e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.003,7.35e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.004,7.38e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.005,7.45e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.006,7.48e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.007,7.54e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.008,7.59e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.009,7.64e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.01,7.7e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.012,7.78e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.015,7.9e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.018,8.04e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.02,8.14e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.025,8.33e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.03,8.56e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.04,8.93e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.05,9.27e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.06,9.54e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.07,9.79e-20
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.08,1e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.09,1.03e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.1,1.05e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.12,1.09e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.15,1.14e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.18,1.18e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.2,1.2e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.25,1.25e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.3,1.3e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.4,1.38e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.5,1.45e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.6,1.52e-19
247,ELASTIC,H2,0.000272,e / H2,E + H2 -> E + H2,0.7,1.57e-19
