,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,15.83,0.0
1,1,1,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,16.0,1.14124e-26
2,2,2,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,16.3,2.24916e-25
3,3,3,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,16.6,9.23558e-25
4,4,4,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,16.9,2.31715e-24
5,5,5,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,17.2,4.55305e-24
6,6,6,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,17.5,7.729230000000001e-24
7,7,7,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,17.8,1.1904800000000001e-23
8,8,8,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,18.0,1.5259e-23
9,9,9,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,18.3,2.1152100000000002e-23
10,10,10,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,18.6,2.80717e-23
11,11,11,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,19.0,3.8853800000000003e-23
12,12,12,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,20.0,7.30115e-23
13,13,13,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,25.0,3.38038e-22
14,14,14,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,30.0,6.34042e-22
15,15,15,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,40.0,1.08614e-21
16,16,16,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,50.0,1.34785e-21
17,17,17,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,60.0,1.48745e-21
18,18,18,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,70.0,1.5553299999999998e-21
19,19,19,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,80.0,1.58112e-21
20,20,20,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,90.0,1.58191e-21
21,21,21,145,IONIZATION,C3H4 -> CH2 C2H2^+,15.83,e / C3H4,E + C3H4 -> E + E + CH2 + C2H2^+,100.0,1.56774e-21
