,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,21.5,0.0
1,1,1,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,22.0,1.44915e-23
2,2,2,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,23.0,3.4484e-23
3,3,3,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,24.0,5.29826e-23
4,4,4,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,25.0,7.542260000000001e-23
5,5,5,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,26.0,1.03085e-22
6,6,6,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,27.0,1.35472e-22
7,7,7,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,28.0,1.71456e-22
8,8,8,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,29.0,2.0981e-22
9,9,9,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,29.5,2.29524e-22
10,10,10,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,30.0,2.49432e-22
11,11,11,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,40.0,5.98128e-22
12,12,12,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,50.0,8.02505e-22
13,13,13,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,60.0,9.1358e-22
14,14,14,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,70.0,9.72596e-22
15,15,15,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,80.0,1.00097e-21
16,16,16,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,90.0,1.01044e-21
17,17,17,94,IONIZATION,C2H4(v2) -> CH CH3^+,21.5,e / C2H4(v2),E + C2H4(v2) -> E + E + CH + CH3^+,100.0,1.00793e-21
