,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,14.19,0.0
1,1,1,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,15.3,3.44489e-24
2,2,2,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,15.4,2.82154e-23
3,3,3,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,15.6,8.424530000000001e-23
4,4,4,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,15.8,1.47189e-22
5,5,5,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,16.0,2.15298e-22
6,6,6,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,17.0,5.91893e-22
7,7,7,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,18.0,9.68985e-22
8,8,8,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,19.0,1.31354e-21
9,9,9,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,20.0,1.6195999999999998e-21
10,10,10,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,30.0,3.3947799999999995e-21
11,11,11,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,40.0,4.1449e-21
12,12,12,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,50.0,4.47044e-21
13,13,13,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,60.0,4.59549e-21
14,14,14,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,70.0,4.62171e-21
15,15,15,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,80.0,4.59692e-21
16,16,16,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,90.0,4.54493e-21
17,17,17,110,IONIZATION,C3H8(v1) -> CH4 C2H4^+,14.19,e / C3H8(v1),E + C3H8(v1) -> E + E + CH4 + C2H4^+,100.0,4.47831e-21
