,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,16.2,0.0
1,1,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,17.0,3.08575e-21
2,2,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,18.0,6.35831e-21
3,3,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,19.0,9.11883e-21
4,4,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,20.0,1.1472499999999999e-20
5,5,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,30.0,2.32349e-20
6,6,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,40.0,2.6274499999999997e-20
7,7,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,50.0,2.66194e-20
8,8,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,60.0,2.5996899999999997e-20
9,9,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,70.0,2.5027499999999998e-20
10,10,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,80.0,2.3958699999999997e-20
11,11,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,90.0,2.2894299999999997e-20
12,12,30,IONIZATION,CH4(v24) -> H2 CH2+,16.2,e / CH4(v24),E + CH4(v24) -> E + E + H2 + CH2+,100.0,2.1877799999999997e-20
