,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),0.407,0.0
1,1,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),0.425,9.6e-22
2,2,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),0.484,1.9300000000000007e-21
3,3,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),0.671,2.9700000000000006e-21
4,4,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),0.807,3.14e-21
5,5,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),1.103,2.9700000000000006e-21
6,6,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),1.444,2.8e-21
7,7,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),1.865,3.58e-21
8,8,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),2.061,4.64e-21
9,9,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),2.151,5.360000000000001e-21
10,10,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),2.444,5.680000000000001e-21
11,11,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),2.816,5.360000000000001e-21
12,12,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),3.531,2.5600000000000007e-21
13,13,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),5.1,7.500000000000003e-22
14,14,18,EXCITATION,C2H2 -> C2H2(v13),0.407,e / C2H2,E + C2H2 -> E + C2H2(v13),9.108,1.3e-22
