,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,16.25,0.0
1,1,1,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,16.3,2.47869e-24
2,2,2,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,16.35,4.82872e-24
3,3,3,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,16.4,7.057140000000001e-24
4,4,4,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,16.6,1.48847e-23
5,5,5,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,16.7,1.823e-23
6,6,6,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,17.0,2.6484400000000004e-23
7,7,7,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,18.0,4.3425e-23
8,8,8,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,19.0,5.68253e-23
9,9,9,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,20.0,7.36174e-23
10,10,10,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,30.0,3.44729e-22
11,11,11,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,40.0,5.02582e-22
12,12,12,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,50.0,5.63418e-22
13,13,13,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,60.0,5.82315e-22
14,14,14,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,70.0,5.82988e-22
15,15,15,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,80.0,5.7538e-22
16,16,16,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,90.0,5.63957e-22
17,17,17,108,IONIZATION,C3H8(v1) -> H2 H2 C3H4^+,16.25,e / C3H8(v1),E + C3H8(v1) -> E + E + H2 + H2 + C3H4^+,100.0,5.50865e-22
