,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,3.16,0.0
1,1,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,4.0,1.0853699999999999e-21
2,2,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,4.5,2.80198e-21
3,3,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,5.0,4.8448e-21
4,4,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,6.0,8.88365e-21
5,5,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,7.0,1.2227799999999995e-20
6,6,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,8.0,1.47747e-20
7,7,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,9.0,1.6649299999999994e-20
8,8,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,10.0,1.8003599999999994e-20
9,9,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,12.0,1.9636899999999998e-20
10,10,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,15.0,2.0542099999999997e-20
11,11,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,17.0,2.06142e-20
12,12,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,18.0,2.05609e-20
13,13,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,19.0,2.04665e-20
14,14,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,20.0,2.0340899999999998e-20
15,15,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,30.0,1.8441099999999997e-20
16,16,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,40.0,1.65296e-20
17,17,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,50.0,1.49362e-20
18,18,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,60.0,1.363e-20
19,19,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,70.0,1.25489e-20
20,20,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,80.0,1.1641499999999995e-20
21,21,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,90.0,1.0869099999999999e-20
22,22,64,EXCITATION,C3H7 -> C3H6 H,3.16,e / C3H7,E + C3H7 -> E + C3H6 + H,100.0,1.0203299999999995e-20
