,Reaction,Value,Number
88,CH + H2^+ => H2 + CH^+,7.10d-10,42
89,C2H6 + H2^+ => H2 + C2H6^+,2.94d-10,42
90,C2H6 + H2^+ => H2 + H + C2H5^+,1.37d-9,42
91,C2H6 + H2^+ => H2 + H2 + C2H4^+,2.35d-9,42
92,C2H6 + H2^+ => H2 + H2 + H + C2H3^+,6.86d-10,43
93,C2H6 + H2^+ => H2 + H2 + H2 + C2H2^+,1.96d-10,43
94,C2H4 + H2^+ => H2 + C2H4^+,2.21d-9,42
95,C2H4 + H2^+ => H2 + H + C2H3^+,1.81d-9,42
96,C2H4 + H2^+ => H2 + H2 + C2H2^+,8.82d-10,42
97,C2H2 + H2^+ => H + C2H3^+,4.80d-10,42
98,C2H2 + H2^+ => H2 + C2H2^+,4.82d-9,42
99,H + H2^+ => H3^+,2.10d-9,20
100,H + H2^+ => H2 + H^+,6.39d-10,20
101,CH4 + H^+ => H + CH4^+,1.50d-9,42
102,CH4 + H^+ => H2 + CH3^+,2.30d-9,42
103,CH3 + H^+ => H + CH3^+,3.40d-9,42
104,CH2 + H^+ => H + CH2^+,1.40d-9,42
105,CH2 + H^+ => H2 + CH^+,1.40d-9,42
106,CH + H^+ => H + CH^+,1.90d-9,42
107,C2H6 + H^+ => H2 + C2H5^+,1.30d-9,43
108,C2H6 + H^+ => H2 + H + C2H4^+,1.40d-9,42
109,C2H6 + H^+ => H2 + H2 + C2H3^+,2.80d-9,42
110,C2H5 + H^+ => H2 + C2H4^+,1.65d-9,42
111,C2H5 + H^+ => H2 + H + C2H3^+,3.06d-9,42
112,C2H4 + H^+ => H + C2H4^+,1.00d-9,42
113,C2H4 + H^+ => H2 + C2H3^+,3.00d-9,42
114,C2H4 + H^+ => H2 + H + C2H2^+,1.00d-9,42
115,C2H3 + H^+ => H + C2H3^+,2.00d-9,42
116,C2H3 + H^+ => H2 + C2H2^+,2.00d-9,42
117,C2H2 + H^+ => H + C2H2^+,5.40d-10,42
118,CH4 + CH2 => CH3 + CH3,4.08d-18 * Tgas**2 * exp(-4163./Tgas),52
119,CH4 + CH => C2H4 + H,9.97d-11,53
120,CH4 + C2H5 => C2H6 + CH3,2.51d-15 * (Tgas/298.)**4.14 * exp(-52.55/(R*Tgas)),54
121,CH4 + C2H3 => C2H4 + CH3,4.26d-15 * (Tgas/298.)**4.02 * exp(-22.86/(R*Tgas)),54
122,CH4 + C2H => C2H2 + CH3,3.01d-12 * exp(-2.08/(R*Tgas)),55
123,CH4 + C3H7 => C3H8 + CH3,3.54d-16 * (Tgas/298.)**4.02 * exp(-45.48/(R*Tgas)),56
124,CH4 + C3H5 => C3H6 + CH3,1.71d-14 * (Tgas/298.)**3.40 * exp(-97.28/(R*Tgas)),57
125,CH4 + H => CH3 + H2,9.86d-13 * (Tgas/298.)**3.00 * exp(-36.67/(R*Tgas)),55
126,CH4 + CH3 => H + C2H6,1.33d-10 * exp(-167.00/(R*Tgas)),58
127,CH4 + C4H9 => C4H9H + CH3,5.68d-17 * (Tgas/298.)**3.72 * exp(-33.42/(R*Tgas)),59
128,CH4 + CH2 => C2H6,1.90d-12,60
129,CH4 => CH3 + H,2.40d16 * exp(-52800./Tgas),61
