,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,14.83,0.0
1,1,1,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,15.0,1.13143e-26
2,2,2,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,16.0,2.89363e-24
3,3,3,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,16.3,5.3522300000000016e-24
4,4,4,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,16.6,8.72504e-24
5,5,5,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,17.2,1.83333e-23
6,6,6,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,17.5,2.4568300000000002e-23
7,7,7,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,17.8,3.17284e-23
8,8,8,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,18.0,3.69981e-23
9,9,9,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,18.3,4.5615e-23
10,10,10,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,18.6,5.50439e-23
11,11,11,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,19.0,6.87891e-23
12,12,12,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,20.0,1.08221e-22
13,13,13,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,25.0,3.58654e-22
14,14,14,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,30.0,6.05092e-22
15,15,15,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,40.0,9.54025e-22
16,16,16,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,50.0,1.14309e-21
17,17,17,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,60.0,1.23727e-21
18,18,18,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,70.0,1.27794e-21
19,19,19,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,80.0,1.28815e-21
20,20,20,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,90.0,1.28081e-21
21,21,21,146,IONIZATION,C3H4 -> C2H2 CH2^+,14.83,e / C3H4,E + C3H4 -> E + E + C2H2 + CH2^+,100.0,1.26333e-21
