          TIME           E/N             E             N            N2         N2(A)         N2(B)        N2(A')         N2(C)           N^+          N2^+          N3^+          N4^+
   3.88700E-03   1.55735E+02   1.07524E+07   6.01256E+12   2.44746E+19   2.72209E+13   6.99929E+08   4.41222E+10   7.64499E+08   1.18064E+06   1.78782E+12   1.26968E+13   1.76674E+05
   3.89871E-03   1.51246E+02   5.09814E+06   6.07263E+12   2.44746E+19   2.27911E+13   4.18715E+08   2.49176E+10   4.40153E+08   9.52000E+05   1.68161E+12   1.28203E+13   7.32219E+05
   3.91042E-03   1.43513E+02   1.54091E+06   6.10067E+12   2.44746E+19   1.88360E+13   2.35406E+08   1.28854E+10   2.35245E+08   6.78121E+05   1.59628E+12   1.29093E+13   8.19782E+06
   3.92330E-03   1.31956E+02   3.18094E+05   6.10347E+12   2.44746E+19   1.53946E+13   1.41350E+08   7.34668E+09   1.37418E+08   4.10246E+05   1.52835E+12   1.29775E+13   2.55736E+08
   3.93852E-03   1.14450E+02   7.90941E+04   6.07868E+12   2.44746E+19   1.23770E+13   8.89111E+07   4.56002E+09   8.59369E+07   1.89857E+05   1.44775E+12   1.30285E+13   2.98830E+10
   3.95726E-03   8.77751E+01   1.18131E+05   5.98351E+12   2.44746E+19   9.77195E+12   5.52814E+07   2.82705E+09   5.33466E+07   1.65567E+05   1.29484E+11   1.29454E+13   1.43126E+12
   3.97248E-03   5.66951E+01   4.07495E+05   5.90489E+12   2.44746E+19   8.18790E+12   3.86437E+07   1.97389E+09   3.73053E+07   5.38332E+04   4.82158E+08   1.28698E+13   1.63586E+12
   3.99239E-03   2.11452E+01   1.68002E+06   5.80418E+12   2.44746E+19   6.59532E+12   2.50269E+07   1.27892E+09   2.41904E+07   1.39544E+04   7.86109E+06   1.27731E+13   1.73296E+12
   4.00000E-03   7.85506E+00   1.33046E+06   5.76630E+12   2.44746E+19   6.09423E+12   2.13680E+07   1.09185E+09   2.06541E+07   1.05449E+04   4.07192E+06   1.27368E+13   1.76926E+12
   4.00703E-03   2.28291E+01   9.72588E+05   5.73162E+12   2.44746E+19   5.67430E+12   1.85244E+07   9.46477E+08   1.79057E+07   1.50990E+04   9.26025E+06   1.27036E+13   1.80243E+12
   4.01522E-03   3.93613E+01   1.67992E+06   5.69153E+12   2.44746E+19   5.22970E+12   1.57452E+07   8.04075E+08   1.52108E+07   2.83246E+04   4.91176E+07   1.26653E+13   1.84072E+12
   4.02459E-03   5.80379E+01   2.70986E+06   5.64617E+12   2.44746E+19   4.77859E+12   1.36845E+07   6.88480E+08   1.28829E+07   6.26689E+04   6.85304E+08   1.26220E+13   1.88337E+12
   4.03279E-03   7.61879E+01   3.29341E+06   5.60684E+12   2.44746E+19   4.45199E+12   1.56709E+07   7.75648E+08   1.35102E+07   1.30741E+05   1.66414E+10   1.25849E+13   1.90447E+12
   4.04098E-03   9.24698E+01   1.40914E+06   5.56685E+12   2.44746E+19   4.15759E+12   1.50995E+07   7.95410E+08   1.36439E+07   2.08660E+05   3.89186E+11   1.25570E+13   1.55986E+12
   4.04918E-03   1.07939E+02   1.19630E+06   5.52385E+12   2.44746E+19   3.90396E+12   1.76310E+07   1.01564E+09   1.68289E+07   1.87135E+05   1.75785E+12   1.25595E+13   1.88988E+11
   4.05504E-03   1.20367E+02   4.99630E+06   5.49346E+12   2.44746E+19   3.99083E+12   6.55917E+07   4.39916E+09   6.82371E+07   2.88382E+05   1.93645E+12   1.25632E+13   8.34992E+09
   4.05972E-03   1.28880E+02   1.12512E+07   5.47040E+12   2.44746E+19   4.50526E+12   1.72959E+08   1.23734E+10   1.91686E+08   4.12204E+05   1.94548E+12   1.25669E+13   7.89651E+08
   4.06440E-03   1.35620E+02   1.98994E+07   5.45005E+12   2.44746E+19   5.74180E+12   3.56186E+08   2.64046E+10   4.11662E+08   5.43283E+05   1.95325E+12   1.25729E+13   1.11189E+08
   4.06674E-03   1.40151E+02   2.95123E+07   5.44154E+12   2.44746E+19   6.79500E+12   5.81594E+08   4.40561E+10   6.89720E+08   6.51961E+05   1.96094E+12   1.25774E+13   2.84497E+07
   4.07026E-03   1.43312E+02   3.75940E+07   5.43225E+12   2.44746E+19   8.96526E+12   8.02757E+08   6.13198E+10   9.65175E+08   7.42248E+05   1.97765E+12   1.25877E+13   1.08153E+07
   4.07377E-03   1.46620E+02   4.35645E+07   5.42813E+12   2.44746E+19   1.15912E+13   1.01492E+09   7.79685E+10   1.23488E+09   8.50513E+05   1.99844E+12   1.26033E+13   3.85845E+06
   4.07963E-03   1.50183E+02   4.79358E+07   5.43499E+12   2.44746E+19   1.64418E+13   1.25834E+09   9.61316E+10   1.53822E+09   9.91704E+05   2.03606E+12   1.26432E+13   1.25266E+06
   4.08548E-03   1.53732E+02   5.03961E+07   5.45994E+12   2.44746E+19   2.13384E+13   1.49838E+09   1.13473E+11   1.83443E+09   1.15524E+06   2.07182E+12   1.27018E+13   3.98625E+05
   4.09251E-03   1.56468E+02   4.97976E+07   5.51265E+12   2.44746E+19   2.64897E+13   1.68435E+09   1.25239E+11   2.04744E+09   1.30691E+06   2.10249E+12   1.27957E+13   1.62537E+05
   4.09719E-03   1.58225E+02   4.69384E+07   5.55927E+12   2.44746E+19   2.91731E+13   1.73356E+09   1.27200E+11   2.09444E+09   1.40969E+06   2.11173E+12   1.28703E+13   9.02199E+04
   4.10656E-03   1.59262E+02   4.12108E+07   5.66875E+12   2.44746E+19   3.23639E+13   1.71405E+09   1.22401E+11   2.03684E+09   1.48227E+06   2.09875E+12   1.30363E+13   6.30151E+04
   4.11475E-03   1.59664E+02   3.31100E+07   5.77027E+12   2.44746E+19   3.29651E+13   1.52439E+09   1.06175E+11   1.78255E+09   1.49980E+06   2.05672E+12   1.31876E+13   5.38410E+04
   4.12178E-03   1.59109E+02   2.50752E+07   5.85231E+12   2.44746E+19   3.20633E+13   1.26639E+09   8.58604E+10   1.45384E+09   1.45167E+06   2.00175E+12   1.33121E+13   6.33364E+04
   4.12881E-03   1.57888E+02   1.75190E+07   5.92377E+12   2.44746E+19   3.01497E+13   9.85109E+08   6.46911E+10   1.10636E+09   1.35999E+06   1.93488E+12   1.34253E+13   9.26583E+04
   4.13700E-03   1.55735E+02   1.07524E+07   5.98966E+12   2.44746E+19   2.72045E+13   6.99422E+08   4.40967E+10   7.64005E+08   1.21837E+06   1.85201E+12   1.35387E+13   1.83017E+05
   4.14871E-03   1.51246E+02   5.09814E+06   6.05038E+12   2.44746E+19   2.27753E+13   4.18300E+08   2.48964E+10   4.39752E+08   9.83191E+05   1.74309E+12   1.36649E+13   7.58990E+05
   4.16042E-03   1.43513E+02   1.54091E+06   6.07799E+12   2.44746E+19   1.88208E+13   2.35077E+08   1.28686E+10   2.34926E+08   7.00948E+05   1.65618E+12   1.37555E+13   8.50540E+06
   4.17330E-03   1.31956E+02   3.18094E+05   6.07937E+12   2.44746E+19   1.53801E+13   1.41093E+08   7.33358E+09   1.37170E+08   4.24420E+05   1.58742E+12   1.38245E+13   2.65621E+08
   4.18852E-03   1.14450E+02   7.90941E+04   6.05197E+12   2.44746E+19   1.23634E+13   8.87172E+07   4.55011E+09   8.57494E+07   1.96576E+05   1.50561E+12   1.38756E+13   3.10771E+10
   4.20726E-03   8.77751E+01   1.18131E+05   5.95111E+12   2.44746E+19   9.76191E+12   5.51684E+07   2.82127E+09   5.32376E+07   1.71456E+05   1.34820E+11   1.37872E+13   1.49024E+12
   4.22248E-03   5.66951E+01   4.07495E+05   5.86790E+12   2.44746E+19   8.18002E+12   3.85695E+07   1.97010E+09   3.72336E+07   5.57452E+04   5.02446E+08   1.37071E+13   1.70463E+12
   4.24239E-03   2.11452E+01   1.68002E+06   5.76143E+12   2.44746E+19   6.58941E+12   2.49820E+07   1.27663E+09   2.41471E+07   1.44465E+04   8.20196E+06   1.36048E+13   1.80740E+12
   4.25000E-03   7.85506E+00   1.33046E+06   5.72140E+12   2.44746E+19   6.08890E+12   2.13305E+07   1.08994E+09   2.06179E+07   1.09153E+04   4.25026E+06   1.35664E+13   1.84577E+12
   4.25703E-03   2.28291E+01   9.72588E+05   5.68478E+12   2.44746E+19   5.66944E+12   1.84927E+07   9.44861E+08   1.78751E+07   1.56271E+04   9.66614E+06   1.35313E+13   1.88085E+12
   4.26522E-03   3.93613E+01   1.67992E+06   5.64246E+12   2.44746E+19   5.22534E+12   1.57189E+07   8.02735E+08   1.51855E+07   2.93097E+04   5.12734E+07   1.34908E+13   1.92131E+12
   4.27459E-03   5.80379E+01   2.70986E+06   5.59460E+12   2.44746E+19   4.77470E+12   1.36631E+07   6.87390E+08   1.28623E+07   6.48327E+04   7.15514E+08   1.34451E+13   1.96636E+12
   4.28279E-03   7.61879E+01   3.29342E+06   5.55311E+12   2.44746E+19   4.44846E+12   1.56527E+07   7.74721E+08   1.34927E+07   1.35224E+05   1.73786E+10   1.34059E+13   1.98883E+12
   4.29098E-03   9.24698E+01   1.40914E+06   5.51101E+12   2.44746E+19   4.15420E+12   1.50833E+07   7.94584E+08   1.36283E+07   2.15766E+05   4.06516E+11   1.33763E+13   1.62932E+12
   4.29918E-03   1.07939E+02   1.19630E+06   5.46596E+12   2.44746E+19   3.90015E+12   1.76139E+07   1.01479E+09   1.68124E+07   1.93478E+05   1.83667E+12   1.33783E+13   1.97463E+11
   4.30504E-03   1.20367E+02   4.99630E+06   5.43415E+12   2.44746E+19   3.98669E+12   6.55729E+07   4.39822E+09   6.82188E+07   2.98114E+05   2.02365E+12   1.33817E+13   8.72592E+09
   4.30972E-03   1.28880E+02   1.12512E+07   5.41001E+12   2.44746E+19   4.50084E+12   1.72936E+08   1.23723E+10   1.91664E+08   4.26034E+05   2.03320E+12   1.33852E+13   8.25255E+08
   4.31440E-03   1.35620E+02   1.98994E+07   5.38871E+12   2.44746E+19   5.73702E+12   3.56155E+08   2.64031E+10   4.11632E+08   5.61321E+05   2.04107E+12   1.33911E+13   1.16188E+08
   4.31674E-03   1.40151E+02   2.95123E+07   5.37981E+12   2.44746E+19   6.79000E+12   5.81555E+08   4.40541E+10   6.89682E+08   6.73422E+05   2.04872E+12   1.33957E+13   2.97234E+07
   4.32026E-03   1.43312E+02   3.75940E+07   5.37008E+12   2.44746E+19   8.95982E+12   8.02701E+08   6.13170E+10   9.65121E+08   7.66253E+05   2.06524E+12   1.34062E+13   1.12943E+07
   4.32377E-03   1.46620E+02   4.35645E+07   5.36574E+12   2.44746E+19   1.15852E+13   1.01485E+09   7.79652E+10   1.23480E+09   8.77415E+05   2.08562E+12   1.34222E+13   4.02677E+06
   4.32963E-03   1.50183E+02   4.79358E+07   5.37282E+12   2.44746E+19   1.64345E+13   1.25821E+09   9.61247E+10   1.53809E+09   1.02174E+06   2.12200E+12   1.34633E+13   1.30554E+06
   4.33548E-03   1.53732E+02   5.03961E+07   5.39867E+12   2.44746E+19   2.13296E+13   1.49816E+09   1.13462E+11   1.83422E+09   1.18862E+06   2.15587E+12   1.35238E+13   4.14797E+05
   4.34251E-03   1.56468E+02   4.97976E+07   5.45323E+12   2.44746E+19   2.64789E+13   1.68403E+09   1.25223E+11   2.04712E+09   1.34266E+06   2.18354E+12   1.36207E+13   1.68803E+05
   4.34719E-03   1.58225E+02   4.69384E+07   5.50140E+12   2.44746E+19   2.91610E+13   1.73315E+09   1.27179E+11   2.09404E+09   1.44704E+06   2.19048E+12   1.36976E+13   9.35843E+04
   4.35656E-03   1.59262E+02   4.12108E+07   5.61428E+12   2.44746E+19   3.23499E+13   1.71353E+09   1.22374E+11   2.03634E+09   1.51971E+06   2.17263E+12   1.38685E+13   6.52333E+04
   4.36475E-03   1.59664E+02   3.31100E+07   5.71870E+12   2.44746E+19   3.29500E+13   1.52382E+09   1.06146E+11   1.78200E+09   1.53681E+06   2.12647E+12   1.40239E+13   5.56668E+04
   4.37178E-03   1.59109E+02   2.50752E+07   5.80290E+12   2.44746E+19   3.20478E+13   1.26582E+09   8.58313E+10   1.45329E+09   1.48727E+06   2.06830E+12   1.41516E+13   6.54420E+04
   4.37881E-03   1.57888E+02   1.75190E+07   5.87607E+12   2.44746E+19   3.01340E+13   9.84568E+08   6.46636E+10   1.10583E+09   1.39353E+06   1.99869E+12   1.42675E+13   9.57141E+04
   4.38700E-03   1.55735E+02   1.07524E+07   5.94334E+12   2.44746E+19   2.71890E+13   6.98930E+08   4.40709E+10   7.63536E+08   1.24893E+06   1.91326E+12   1.43835E+13   1.89070E+05
   4.39871E-03   1.51246E+02   5.09814E+06   6.00493E+12   2.44746E+19   2.27603E+13   4.17908E+08   2.48764E+10   4.39373E+08   1.00867E+06   1.80181E+12   1.45122E+13   7.84556E+05
   4.41042E-03   1.43513E+02   1.54091E+06   6.03237E+12   2.44746E+19   1.88064E+13   2.34765E+08   1.28527E+10   2.34625E+08   7.19725E+05   1.71341E+12   1.46043E+13   8.79931E+06
   4.42330E-03   1.31956E+02   3.18094E+05   6.03265E+12   2.44746E+19   1.53664E+13   1.40850E+08   7.32115E+09   1.36935E+08   4.36142E+05   1.64389E+12   1.46741E+13   2.75071E+08
   4.43852E-03   1.14450E+02   7.90941E+04   6.00307E+12   2.44746E+19   1.23505E+13   8.85331E+07   4.54071E+09   8.55714E+07   2.02154E+05   1.56094E+12   1.47251E+13   3.22193E+10
   4.45726E-03   8.77751E+01   1.18131E+05   5.89698E+12   2.44746E+19   9.75241E+12   5.50616E+07   2.81581E+09   5.31344E+07   1.76311E+05   1.39910E+11   1.46319E+13   1.54651E+12
   4.47248E-03   5.66951E+01   4.07495E+05   5.80955E+12   2.44746E+19   8.17257E+12   3.84993E+07   1.96651E+09   3.71659E+07   5.73107E+04   5.21758E+08   1.45477E+13   1.77011E+12
   4.49239E-03   2.11452E+01   1.68002E+06   5.69778E+12   2.44746E+19   6.58383E+12   2.49397E+07   1.27447E+09   2.41062E+07   1.48456E+04   8.52520E+06   1.44402E+13   1.87807E+12
   4.50000E-03   7.85506E+00   1.33046E+06   5.65580E+12   2.44746E+19   6.08386E+12   2.12952E+07   1.08813E+09   2.05838E+07   1.12145E+04   4.41914E+06   1.43999E+13   1.91837E+12
   4.50703E-03   2.28291E+01   9.72588E+05   5.61740E+12   2.44746E+19   5.66485E+12   1.84627E+07   9.43329E+08   1.78462E+07   1.60522E+04   1.00505E+07   1.43630E+13   1.95518E+12
   4.51522E-03   3.93613E+01   1.67992E+06   5.57304E+12   2.44746E+19   5.22118E+12   1.56938E+07   8.01454E+08   1.51612E+07   3.00991E+04   5.33141E+07   1.43205E+13   1.99762E+12
   4.52459E-03   5.80379E+01   2.70986E+06   5.52290E+12   2.44746E+19   4.77100E+12   1.36427E+07   6.86352E+08   1.28426E+07   6.65575E+04   7.44092E+08   1.42726E+13   2.04488E+12
   4.53279E-03   7.61879E+01   3.29342E+06   5.47946E+12   2.44746E+19   4.44509E+12   1.56354E+07   7.73841E+08   1.34760E+07   1.38780E+05   1.80754E+10   1.42315E+13   2.06857E+12
   4.54098E-03   9.24698E+01   1.40914E+06   5.43548E+12   2.44746E+19   4.15098E+12   1.50678E+07   7.93799E+08   1.36134E+07   2.21380E+05   4.22890E+11   1.42004E+13   1.69495E+12
   4.54918E-03   1.07939E+02   1.19630E+06   5.38868E+12   2.44746E+19   3.89653E+12   1.75976E+07   1.01396E+09   1.67967E+07   1.98482E+05   1.91120E+12   1.42018E+13   2.05475E+11
   4.55504E-03   1.20367E+02   4.99630E+06   5.35566E+12   2.44746E+19   3.98276E+12   6.55549E+07   4.39732E+09   6.82014E+07   3.05782E+05   2.10612E+12   1.42050E+13   9.08154E+09
   4.55972E-03   1.28880E+02   1.12512E+07   5.33062E+12   2.44746E+19   4.49665E+12   1.72914E+08   1.23712E+10   1.91643E+08   4.36917E+05   2.11619E+12   1.42082E+13   8.58940E+08
   4.56440E-03   1.35620E+02   1.98994E+07   5.30854E+12   2.44746E+19   5.73250E+12   3.56125E+08   2.64016E+10   4.11603E+08   5.75487E+05   2.12418E+12   1.42141E+13   1.20919E+08
   4.56674E-03   1.40151E+02   2.95123E+07   5.29932E+12   2.44746E+19   6.78527E+12   5.81518E+08   4.40523E+10   6.89647E+08   6.90252E+05   2.13182E+12   1.42187E+13   3.09289E+07
   4.57026E-03   1.43312E+02   3.75940E+07   5.28926E+12   2.44746E+19   8.95468E+12   8.02649E+08   6.13143E+10   9.65070E+08   7.85026E+05   2.14816E+12   1.42293E+13   1.17478E+07
   4.57377E-03   1.46620E+02   4.35645E+07   5.28481E+12   2.44746E+19   1.15795E+13   1.01477E+09   7.79615E+10   1.23473E+09   8.98388E+05   2.16817E+12   1.42457E+13   4.18615E+06
   4.57963E-03   1.50183E+02   4.79358E+07   5.29223E+12   2.44746E+19   1.64276E+13   1.25808E+09   9.61182E+10   1.53796E+09   1.04503E+06   2.20342E+12   1.42880E+13   1.35563E+06
   4.58548E-03   1.53732E+02   5.03961E+07   5.31907E+12   2.44746E+19   2.13212E+13   1.49796E+09   1.13452E+11   1.83402E+09   1.21437E+06   2.23552E+12   1.43502E+13   4.30123E+05
   4.59251E-03   1.56468E+02   4.97976E+07   5.37555E+12   2.44746E+19   2.64686E+13   1.68372E+09   1.25208E+11   2.04682E+09   1.37012E+06   2.26039E+12   1.44499E+13   1.74744E+05
   4.59719E-03   1.58225E+02   4.69384E+07   5.42531E+12   2.44746E+19   2.91495E+13   1.73277E+09   1.27160E+11   2.09367E+09   1.47569E+06   2.26517E+12   1.45289E+13   9.67751E+04
   4.60656E-03   1.59262E+02   4.12108E+07   5.54165E+12   2.44746E+19   3.23365E+13   1.71303E+09   1.22349E+11   2.03586E+09   1.54846E+06   2.24275E+12   1.47044E+13   6.73386E+04
   4.61475E-03   1.59664E+02   3.31100E+07   5.64899E+12   2.44746E+19   3.29357E+13   1.52328E+09   1.06119E+11   1.78148E+09   1.56536E+06   2.19270E+12   1.48637E+13   5.74007E+04
   4.62178E-03   1.59109E+02   2.50752E+07   5.73538E+12   2.44746E+19   3.20331E+13   1.26527E+09   8.58037E+10   1.45277E+09   1.51491E+06   2.13154E+12   1.49943E+13   6.74430E+04
   4.62881E-03   1.57888E+02   1.75190E+07   5.81032E+12   2.44746E+19   3.01192E+13   9.84053E+08   6.46373E+10   1.10534E+09   1.41977E+06   2.05936E+12   1.51128E+13   9.86196E+04
   4.63700E-03   1.55735E+02   1.07524E+07   5.87906E+12   2.44746E+19   2.71744E+13   6.98472E+08   4.40476E+10   7.63092E+08   1.27305E+06   1.97154E+12   1.52312E+13   1.94829E+05
   4.64871E-03   1.51246E+02   5.09814E+06   5.94170E+12   2.44746E+19   2.27460E+13   4.17533E+08   2.48572E+10   4.39010E+08   1.02902E+06   1.85771E+12   1.53623E+13   8.08897E+05
   4.66042E-03   1.43513E+02   1.54091E+06   5.96919E+12   2.44746E+19   1.87927E+13   2.34468E+08   1.28375E+10   2.34338E+08   7.34850E+05   1.76793E+12   1.54558E+13   9.07932E+06
   4.67330E-03   1.31956E+02   3.18094E+05   5.96867E+12   2.44746E+19   1.53533E+13   1.40618E+08   7.30932E+09   1.36711E+08   4.45649E+05   1.69774E+12   1.55262E+13   2.84080E+08
   4.68852E-03   1.14450E+02   7.90941E+04   5.93727E+12   2.44746E+19   1.23381E+13   8.83575E+07   4.53174E+09   8.54017E+07   2.06700E+05   1.61373E+12   1.55772E+13   3.33088E+10
   4.70726E-03   8.77751E+01   1.18131E+05   5.82638E+12   2.44746E+19   9.74334E+12   5.49599E+07   2.81061E+09   5.30361E+07   1.80233E+05   1.44755E+11   1.54795E+13   1.60006E+12
   4.72248E-03   5.66951E+01   4.07495E+05   5.73507E+12   2.44746E+19   8.16546E+12   3.84324E+07   1.96309E+09   3.71013E+07   5.85638E+04   5.40100E+08   1.53914E+13   1.83230E+12
   4.74239E-03   2.11452E+01   1.68002E+06   5.61846E+12   2.44746E+19   6.57851E+12   2.48993E+07   1.27241E+09   2.40672E+07   1.51610E+04   8.83115E+06   1.52792E+13   1.94504E+12
   4.75000E-03   7.85506E+00   1.33046E+06   5.57468E+12   2.44746E+19   6.07906E+12   2.12615E+07   1.08642E+09   2.05514E+07   1.14497E+04   4.57877E+06   1.52371E+13   1.98710E+12
   4.75703E-03   2.28291E+01   9.72588E+05   5.53466E+12   2.44746E+19   5.66047E+12   1.84341E+07   9.41871E+08   1.78186E+07   1.63846E+04   1.04137E+07   1.51987E+13   2.02550E+12
   4.76522E-03   3.93613E+01   1.67992E+06   5.48845E+12   2.44746E+19   5.21724E+12   1.56701E+07   8.00245E+08   1.51384E+07   3.07127E+04   5.52424E+07   1.51544E+13   2.06977E+12
   4.77459E-03   5.80379E+01   2.70986E+06   5.43623E+12   2.44746E+19   4.76749E+12   1.36234E+07   6.85367E+08   1.28240E+07   6.78886E+04   7.71080E+08   1.51044E+13   2.11903E+12
   4.78279E-03   7.61879E+01   3.29342E+06   5.39102E+12   2.44746E+19   4.44190E+12   1.56191E+07   7.73008E+08   1.34602E+07   1.41507E+05   1.87329E+10   1.50616E+13   2.14382E+12
   4.79098E-03   9.24698E+01   1.40914E+06   5.34535E+12   2.44746E+19   4.14793E+12   1.50532E+07   7.93056E+08   1.35993E+07   2.25660E+05   4.38334E+11   1.50290E+13   1.75685E+12
   4.79918E-03   1.07939E+02   1.19630E+06   5.29708E+12   2.44746E+19   3.89310E+12   1.75821E+07   1.01316E+09   1.67818E+07   2.02287E+05   1.98152E+12   1.50299E+13   2.13036E+11
   4.80504E-03   1.20367E+02   4.99630E+06   5.26306E+12   2.44746E+19   3.97905E+12   6.55377E+07   4.39642E+09   6.81849E+07   3.11605E+05   2.18399E+12   1.50327E+13   9.41730E+09
   4.80972E-03   1.28880E+02   1.12512E+07   5.23727E+12   2.44746E+19   4.49269E+12   1.72894E+08   1.23701E+10   1.91623E+08   4.45166E+05   2.19457E+12   1.50358E+13   8.90754E+08
   4.81440E-03   1.35620E+02   1.98994E+07   5.21456E+12   2.44746E+19   5.72823E+12   3.56097E+08   2.64002E+10   4.11576E+08   5.86195E+05   2.20270E+12   1.50415E+13   1.25389E+08
   4.81674E-03   1.40151E+02   2.95123E+07   5.20509E+12   2.44746E+19   6.78080E+12   5.81483E+08   4.40505E+10   6.89613E+08   7.02950E+05   2.21034E+12   1.50461E+13   3.20681E+07
   4.82026E-03   1.43312E+02   3.75940E+07   5.19480E+12   2.44746E+19   8.94982E+12   8.02599E+08   6.13118E+10   9.65021E+08   7.99137E+05   2.22654E+12   1.50569E+13   1.21764E+07
   4.82377E-03   1.46620E+02   4.35645E+07   5.19032E+12   2.44746E+19   1.15741E+13   1.01470E+09   7.79579E+10   1.23466E+09   9.14085E+05   2.24621E+12   1.50736E+13   4.33683E+06
   4.82963E-03   1.50183E+02   4.79358E+07   5.19819E+12   2.44746E+19   1.64210E+13   1.25795E+09   9.61120E+10   1.53785E+09   1.06234E+06   2.28041E+12   1.51169E+13   1.40300E+06
   4.83548E-03   1.53732E+02   5.03961E+07   5.22611E+12   2.44746E+19   2.13132E+13   1.49776E+09   1.13442E+11   1.83383E+09   1.23337E+06   2.31088E+12   1.51808E+13   4.44622E+05
   4.84251E-03   1.56468E+02   4.97976E+07   5.28456E+12   2.44746E+19   2.64588E+13   1.68342E+09   1.25192E+11   2.04653E+09   1.39028E+06   2.33312E+12   1.52831E+13   1.80367E+05
   4.84719E-03   1.58225E+02   4.69384E+07   5.33592E+12   2.44746E+19   2.91387E+13   1.73241E+09   1.27142E+11   2.09332E+09   1.49668E+06   2.33589E+12   1.53641E+13   9.97964E+04
   4.85656E-03   1.59262E+02   4.12108E+07   5.45571E+12   2.44746E+19   3.23239E+13   1.71257E+09   1.22325E+11   2.03541E+09   1.56961E+06   2.30919E+12   1.55439E+13   6.93335E+04
   4.86475E-03   1.59664E+02   3.31100E+07   5.56599E+12   2.44746E+19   3.29222E+13   1.52277E+09   1.06093E+11   1.78098E+09   1.58654E+06   2.25551E+12   1.57068E+13   5.90448E+04
   4.87178E-03   1.59109E+02   2.50752E+07   5.65459E+12   2.44746E+19   3.20192E+13   1.26476E+09   8.57776E+10   1.45227E+09   1.53561E+06   2.19153E+12   1.58403E+13   6.93413E+04
   4.87881E-03   1.57888E+02   1.75190E+07   5.73133E+12   2.44746E+19   3.01052E+13   9.83568E+08   6.46125E+10   1.10487E+09   1.43963E+06   2.11696E+12   1.59612E+13   1.01378E+05
   4.88700E-03   1.55735E+02   1.07524E+07   5.80161E+12   2.44746E+19   2.71604E+13   6.98038E+08   4.40254E+10   7.62672E+08   1.29155E+06   2.02689E+12   1.60818E+13   2.00299E+05
   4.89871E-03   1.51246E+02   5.09814E+06   5.86543E+12   2.44746E+19   2.27325E+13   4.17181E+08   2.48393E+10   4.38670E+08   1.04487E+06   1.91085E+12   1.62151E+13   8.32036E+05
   4.91042E-03   1.43513E+02   1.54091E+06   5.89315E+12   2.44746E+19   1.87797E+13   2.34188E+08   1.28232E+10   2.34068E+08   7.46776E+05   1.81980E+12   1.63099E+13   9.34571E+06
   4.92330E-03   1.31956E+02   3.18094E+05   5.89206E+12   2.44746E+19   1.53409E+13   1.40400E+08   7.29818E+09   1.36500E+08   4.53212E+05   1.74899E+12   1.63809E+13   2.92657E+08
   4.93852E-03   1.14450E+02   7.90941E+04   5.85918E+12   2.44746E+19   1.23265E+13   8.81926E+07   4.52332E+09   8.52423E+07   2.10338E+05   1.66402E+12   1.64318E+13   3.43469E+10
   4.95726E-03   8.77751E+01   1.18131E+05   5.74387E+12   2.44746E+19   9.73482E+12   5.48643E+07   2.80572E+09   5.29439E+07   1.83335E+05   1.49362E+11   1.63299E+13   1.65098E+12
   4.97248E-03   5.66951E+01   4.07495E+05   5.64899E+12   2.44746E+19   8.15879E+12   3.83696E+07   1.95989E+09   3.70407E+07   5.95432E+04   5.57508E+08   1.62383E+13   1.89133E+12
   4.99239E-03   2.11452E+01   1.68002E+06   5.52792E+12   2.44746E+19   6.57351E+12   2.48614E+07   1.27048E+09   2.40307E+07   1.54032E+04   9.12061E+06   1.61217E+13   2.00848E+12
   5.00000E-03   7.85506E+00   1.33046E+06   5.48251E+12   2.44746E+19   6.07456E+12   2.12300E+07   1.08481E+09   2.05210E+07   1.16290E+04   4.72961E+06   1.60780E+13   2.05214E+12
