mol%H2,mol%CH4,mol%C2H6,mol%C2H4,mol%C2H2,mol%C3H8,mol%C3H6,mol%C4H10,mol%C5H12,mol%C,Power density [W/cm3]
9.498212877,84.91956908,2.574999407,0.176055912,0.136863114,0.769791645,0.042372753,0.122806241,0.130879434,1.800937149,4.322726849
6.589786264,89.5138181,1.84788932,0.147363193,0.109703344,0.529730812,0.030921085,0.079793632,0.08834985,1.186527675,3.271518275
3.716799806,94.05208465,1.129639315,0.119020105,0.082874524,0.292595201,0.01960896,0.037305145,0.046338504,0.579604987,2.64079313
