          Time         dTime           E/N             E            AR           AR*          AR^+          E(W)        AR(W)*       AR(W)^+             1             2             3             4             5             6             7             8             9             V             J           MuN
  1.000000E-09  1.000000E-09  5.034602E-02  1.000000E+00  1.834734E+19  0.000000E+00  1.000000E+00  1.137018E-02  0.000000E+00  1.137018E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  1.143529E+07  0.000000E+00  1.143529E+07  2.916667E+02  0.000000E+00  1.652109E+24
  1.010000E-07  1.000000E-09  5.084095E+00  1.000000E+00  1.834734E+19  1.467760E-01  1.000000E+00  1.148180E+00  1.752225E-02  1.148180E+00  1.227223E+07  3.102613E-09  0.000000E+00  7.843270E-09  1.206418E-11  8.078844E+03  1.143529E+07  1.678426E+06  1.143529E+07  2.916667E+02  6.590298E-12  1.041872E+22
  2.010000E-07  1.000000E-09  1.011283E+01  1.000000E+00  1.834734E+19  4.672245E+00  1.000000E+00  2.284966E+00  2.081862E+00  2.284966E+00  1.357321E+08  1.060623E-07  6.134575E+02  2.829207E-07  1.222473E-08  2.571698E+05  1.143529E+07  5.342848E+07  1.143529E+07  2.916667E+02  1.345992E-11  1.064476E+22
  3.010000E-07  1.000000E-09  1.513158E+01  1.000000E+00  1.834734E+19  1.637978E+01  1.000000E+00  3.421405E+00  1.347189E+01  3.421405E+00  3.398433E+08  3.821331E-07  6.370589E+04  1.034427E-06  1.502464E-07  9.015760E+05  1.143529E+07  1.873075E+08  1.143529E+07  2.916667E+02  1.978293E-11  1.043879E+22
  4.010000E-07  1.000000E-09  2.013540E+01  1.000000E+00  1.834734E+19  3.450437E+01  1.000000E+00  4.557808E+00  4.200788E+01  4.557808E+00  6.094765E+08  8.239422E-07  7.507784E+05  2.255773E-06  6.667089E-07  1.899190E+06  1.143529E+07  3.945675E+08  1.143529E+07  2.916667E+02  2.556292E-11  1.012819E+22
  5.010000E-07  1.000000E-09  2.511935E+01  1.000000E+00  1.834734E+19  5.826715E+01  1.000000E+00  5.695044E+00  9.456921E+01  5.695044E+00  9.360518E+08  1.420681E-06  3.628654E+06  3.926865E-06  1.901234E-06  3.207141E+06  1.143529E+07  6.663018E+08  1.143529E+07  2.916667E+02  3.097212E-11  9.831645E+21
  6.010000E-07  1.000000E-09  3.007850E+01  1.000000E+00  1.834734E+19  8.707328E+01  1.000000E+00  6.835302E+00  1.772615E+02  6.835302E+00  1.311910E+09  2.163308E-06  1.103972E+07  6.029019E-06  4.245783E-06  4.792688E+06  1.143529E+07  9.957081E+08  1.143529E+07  2.916667E+02  3.612950E-11  9.574658E+21
  7.010000E-07  1.000000E-09  3.500798E+01  1.849115E+00  1.834734E+19  1.497746E+02  1.849115E+00  8.238255E+00  3.027144E+02  8.238255E+00  3.197606E+09  6.998836E-06  4.724130E+07  1.964605E-05  1.256216E-05  8.243894E+06  2.114517E+07  1.712716E+09  2.114517E+07  2.916667E+02  7.599284E-11  9.355232E+21
  8.010000E-07  1.000000E-09  3.990290E+01  2.305310E+01  1.834734E+19  1.123512E+03  2.305310E+01  1.626349E+01  7.622082E+02  1.626349E+01  5.029308E+10  6.647080E-04  1.141162E+09  1.877633E-03  7.068766E-04  6.184037E+07  2.636188E+08  1.284769E+10  2.636188E+08  2.916667E+02  1.058678E-09  9.169891E+21
  9.010000E-07  1.000000E-09  4.475845E+01  5.526740E+03  1.834734E+19  1.804133E+05  5.526740E+03  9.533201E+02  3.319582E+04  9.533201E+02  1.471786E+13  2.595223E+01  4.687400E+11  7.371698E+01  1.822742E+01  9.930310E+09  6.319987E+10  2.063078E+12  6.319987E+10  2.916667E+02  2.798560E-07  9.012864E+21
  1.001000E-06  1.000000E-09  4.956982E+01  8.499521E+07  1.834734E+19  2.066472E+09  8.499521E+07  8.329106E+06  2.074668E+08  8.329106E+06  2.693201E+17  4.630671E+09  1.129045E+16  1.321818E+10  2.391372E+09  1.137428E+14  9.719448E+14  2.363071E+16  9.719448E+14  2.916667E+02  4.696288E-03  8.879030E+21
  1.101000E-06  1.000000E-09  5.433228E+01  1.000000E+13  1.834626E+19  8.698225E+14  1.000000E+13  3.254128E+12  1.371502E+14  3.254128E+12  3.671755E+22  2.314042E+20  1.999869E+21  6.625135E+20  4.236910E+20  4.787397E+19  1.143529E+20  9.946672E+21  1.143529E+20  2.916667E+02  6.014503E+02  8.817055E+21
  1.201000E-06  1.000000E-09  5.904111E+01  1.000000E+13  1.834087E+19  3.059150E+15  1.000000E+13  1.901193E+13  2.513219E+15  1.901193E+13  4.154714E+22  8.178296E+20  2.888040E+21  2.343767E+21  5.240703E+21  1.683224E+20  1.143529E+20  3.498226E+22  1.143529E+20  2.916667E+02  6.543166E+02  8.826343E+21
  1.301000E-06  1.000000E-09  6.369168E+01  1.000000E+13  1.833282E+19  4.652807E+15  1.000000E+13  4.087915E+13  6.909920E+15  4.087915E+13  4.667526E+22  1.252675E+21  3.868697E+21  3.597637E+21  1.212323E+22  2.558972E+20  1.143529E+20  5.320620E+22  1.143529E+20  2.916667E+02  7.032293E+02  8.792903E+21
  1.401000E-06  1.000000E-09  6.827940E+01  1.000000E+13  1.831981E+19  6.878617E+15  1.000000E+13  7.328877E+13  1.335775E+16  7.328877E+13  5.172421E+22  1.862339E+21  5.007732E+21  5.356597E+21  2.649661E+22  3.780449E+20  1.143529E+20  7.865897E+22  1.143529E+20  2.916667E+02  7.525907E+02  8.777320E+21
