          Time         dTime           E/N             E            AR           AR*          AR^+          E(W)             1             2             3             4             5             6             7             V             J           MuN
  1.000000E-09  1.000000E-09  1.070180E-01  1.000000E+00  1.834734E+19  0.000000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  6.250000E+02  2.076075E-15  1.652137E+24
  1.010000E-07  1.000000E-09  1.080700E+01  1.000009E+00  1.834734E+19  3.498022E+00  1.000009E+00  0.000000E+00  1.576786E+08  7.971868E-08  1.385507E+03  2.131282E-07  6.852249E-09  1.925382E+05  0.000000E+00  6.250000E+02  1.430202E-11  1.063681E+22
  2.010000E-07  1.000000E-09  2.149632E+01  1.027345E+00  1.834734E+19  4.350305E+01  1.027345E+00  0.000000E+00  7.083892E+08  1.073288E-06  1.237405E+06  2.946209E-06  1.059809E-06  2.394495E+06  0.000000E+00  6.250000E+02  2.774151E-11  1.004652E+22
  3.010000E-07  1.000000E-09  3.216443E+01  1.974062E+00  1.834734E+19  1.855849E+02  1.974062E+00  0.000000E+00  2.918611E+09  9.167690E-06  3.158297E+07  2.562846E-05  1.928738E-05  1.021497E+07  0.000000E+00  6.250000E+02  7.537798E-11  9.478765E+21
  4.010000E-07  1.000000E-09  4.280079E+01  9.059236E+01  1.834734E+19  3.825208E+03  9.059236E+01  0.000000E+00  2.228338E+11  8.968420E-03  6.220271E+09  2.541819E-02  8.194039E-03  2.105471E+08  0.000000E+00  6.250000E+02  4.411250E-09  9.076114E+21
  5.010000E-07  1.000000E-09  5.339491E+01  1.379151E+07  1.834734E+19  2.813234E+08  1.379151E+07  0.000000E+00  4.941437E+16  1.032554E+08  2.488758E+15  2.957684E+08  4.432001E+07  1.548461E+13  0.000000E+00  6.250000E+02  8.116228E-04  8.788324E+21
