          Time         dTime           E/N             E            AR           AR*          AR^+          E(W)             1             2             3             4             5             6             7             V             J
  1.000000E-09  1.000000E-09  1.069752E-01  1.000000E+00  1.834734E+19  0.000000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  6.247500E+02  0.000000E+00
  1.010000E-07  1.000000E-09  1.080268E+01  1.000009E+00  1.834734E+19  3.494562E+00  1.000009E+00  0.000000E+00  1.575270E+08  7.963780E-08  1.378367E+03  2.129089E-07  6.838700E-09  1.923477E+05  0.000000E+00  6.247500E+02  1.429640E-11
  2.010000E-07  1.000000E-09  2.148772E+01  1.027250E+00  1.834734E+19  4.346779E+01  1.027250E+00  0.000000E+00  7.077697E+08  1.072280E-06  1.233677E+06  2.943391E-06  1.058092E-06  2.392555E+06  0.000000E+00  6.247500E+02  2.772925E-11
  3.010000E-07  1.000000E-09  3.215156E+01  1.970976E+00  1.834734E+19  1.853393E+02  1.970976E+00  0.000000E+00  2.911919E+09  9.140835E-06  3.146364E+07  2.555291E-05  1.923636E-05  1.020144E+07  0.000000E+00  6.247500E+02  7.523447E-11
  4.010000E-07  1.000000E-09  4.278367E+01  8.983519E+01  1.834734E+19  3.798935E+03  8.983519E+01  0.000000E+00  2.208186E+11  8.831947E-03  6.156839E+09  2.503091E-02  8.081869E-03  2.091010E+08  0.000000E+00  6.247500E+02  4.372898E-09
  5.010000E-07  1.000000E-09  5.337356E+01  1.341628E+07  1.834734E+19  2.740443E+08  1.341628E+07  0.000000E+00  4.803803E+16  9.784205E+07  2.417127E+15  2.802570E+08  4.205616E+07  1.508395E+13  0.000000E+00  6.247500E+02  7.892714E-04
