f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
7.8845e-07,6.7116e-16,423890.0,0.00023629,0.010378,0.0012006,0.030604,0.61804,1.4377,5.786,0.003912,0.0015358,0.0126,0.0027166,0.0096101,0.0040741,2026700000.0,0.01482,109330000000000.0,0.00012827,0.23298,0.063147,0.0030931,0.010168,0.0037495,0.011746,0.0035539,0.018567,0.018121,0.0093069,0.0042344,10.368,0.007773,3.871e-14,5.0339,1531800000.0,0.60891,2.024543680458674,LH pre-train 10
1.0966e-06,6.734e-16,311380.0,0.00026758,0.013653,0.0012832,0.027425,0.65211,1.2022,4.6309,0.0040018,0.0021412,0.012474,0.0028484,0.010556,0.0046597,1715400000.0,0.010478,139960000000000.0,0.00010416,0.17682,0.058218,0.0030352,0.0094361,0.0033427,0.0093573,0.0029809,0.017594,0.021188,0.0072646,0.0036241,8.3268,0.0066224,4.0459e-14,4.2256,1786300000.0,0.56651,0.7457943808457161,LH pre-train 11
1.1414e-06,5.3566e-16,392360.0,0.00021509,0.014536,0.0017398,0.025686,0.62991,1.0894,5.0929,0.0042153,0.0019372,0.013436,0.002297,0.0072266,0.0046767,1505700000.0,0.014856,126970000000000.0,0.00014501,0.19399,0.085369,0.0031717,0.0092494,0.0035329,0.010159,0.0026863,0.019085,0.021302,0.007601,0.0043268,9.4136,0.0063079,4.5278e-14,4.8569,1857400000.0,0.56124,0.2862635364848513,LH pre-train 12
1.1187e-06,7.1296e-16,306730.0,0.00026261,0.010447,0.0012715,0.024673,0.55025,1.2028,5.0308,0.0043008,0.0015928,0.010589,0.0030653,0.0078296,0.0045003,2042300000.0,0.015589,105450000000000.0,0.00010923,0.18202,0.088192,0.0039262,0.010794,0.0033277,0.010298,0.0036613,0.019957,0.016816,0.0083334,0.0035014,8.1964,0.007636,4.0544e-14,4.516,1584900000.0,0.68867,0.3636667417334852,LH pre-train 13
8.1568e-07,5.0112e-16,445310.0,0.00027423,0.0096789,0.0012649,0.026615,0.79868,1.3463,6.31,0.0037384,0.0017543,0.010635,0.0031276,0.009085,0.0050415,2051600000.0,0.014132,151070000000000.0,0.00010539,0.2234,0.064158,0.0028274,0.011192,0.0026761,0.011233,0.0027471,0.018693,0.025379,0.0082673,0.0038198,9.7076,0.0069174,5.4018e-14,5.029,1279500000.0,0.80835,0.55485658735859,LH pre-train 14
1.0567e-06,7.2627e-16,424420.0,0.00022742,0.012587,0.0011705,0.024285,0.71437,1.3976,6.4564,0.0039781,0.0018968,0.013599,0.0028446,0.010082,0.0046431,2172300000.0,0.014208,134550000000000.0,0.00013907,0.20128,0.059794,0.0037948,0.0086526,0.0026931,0.0097382,0.0031831,0.0238,0.022868,0.010248,0.0041578,10.251,0.0089275,4.9878e-14,4.2445,1424500000.0,0.76866,0.2289875349956976,LH pre-train 15
8.2454e-07,6.4488e-16,419660.0,0.00020989,0.012807,0.0014611,0.031356,0.5604,0.97391,4.2281,0.0047173,0.001762,0.011464,0.0026236,0.0079108,0.004316,1437400000.0,0.014667,148520000000000.0,0.00010457,0.16273,0.059287,0.0033066,0.010464,0.0031136,0.012298,0.0028618,0.027038,0.017369,0.011113,0.003309,8.6516,0.0084619,3.8968e-14,3.9421,1943900000.0,0.59202,0.1348216771567827,LH pre-train 16
8.6663e-07,6.9485e-16,349730.0,0.00024126,0.010126,0.0012086,0.031824,0.68716,1.2452,5.1854,0.0047331,0.0018559,0.012256,0.0029195,0.0074101,0.004281,2060900000.0,0.015462,110530000000000.0,0.00011136,0.22648,0.08888,0.0032084,0.01086,0.0036718,0.013618,0.0034233,0.023401,0.017866,0.0099277,0.0031621,9.0546,0.0069915,4.3684e-14,4.4408,1911900000.0,0.68477,0.2935878392422154,LH pre-train 17
9.1323e-07,6.635e-16,440920.0,0.00024326,0.01293,0.0018097,0.03014,0.85751,1.4283,6.2726,0.0044567,0.001819,0.015352,0.0023611,0.0089425,0.0043086,2253800000.0,0.013943,147820000000000.0,0.0001086,0.22981,0.060276,0.0034119,0.0074773,0.0025937,0.010285,0.0030555,0.018857,0.017399,0.0084825,0.004069,10.987,0.0091392,4.2908e-14,4.9647,1615900000.0,0.5269,0.2190801007824361,LH pre-train 18
1.1277e-06,7.4139e-16,297900.0,0.00022707,0.010457,0.0011953,0.025466,0.65934,1.3168,4.8615,0.004106,0.0019537,0.011859,0.003138,0.0081974,0.0058842,1585100000.0,0.015685,156340000000000.0,0.00011278,0.18871,0.080298,0.0033038,0.0091678,0.0034562,0.0090941,0.0026515,0.019455,0.018713,0.008288,0.004364,10.916,0.0068201,4.654e-14,4.4455,1307100000.0,0.69763,0.4029309981515698,LH pre-train 19
1.108894913282649e-06,7.187224433646573e-16,292075.49167936895,0.0002707599768253,0.0139954326207548,0.0016623905822564,0.0248624291841613,0.5459234823196835,1.2287697147641226,6.072026787873585,0.005797086365915,0.001554256638549,0.0105125320663442,0.0021053775195074,0.0076512844991073,0.0051477434866528,2176778686.0840626,0.014107041211318,116035036427370.48,0.0001544483518688,0.2312790040546814,0.0893945042598766,0.0042111697493394,0.0091788050815112,0.0025240066398093,0.0136782953312719,0.0027113010017118,0.024888799539382,0.0198798637863091,0.009050900620862,0.0046676291398765,8.569231980140446,0.0091679924586083,4.2971920286755616e-14,3.782386488834312,1351200894.999177,0.6258773351714582,0.7442713763525554,Bayesian_Opt 0
7.347659294986644e-07,6.73626915026357e-16,442918.7433428389,0.0003220110414358,0.0131481449544473,0.0011596232165856,0.0357730717041098,0.5922513588196145,0.9833974034654902,4.330020355708804,0.0037587915340338,0.0019110839662227,0.0157733740848812,0.0032072108114556,0.0106475802053328,0.0040747377630605,1655822472.9942102,0.0117317637691138,141945567274049.66,0.0001297703916221,0.205435698479571,0.0721990835949959,0.004219576974175,0.0088981677644451,0.0037578439572387,0.0089828370056442,0.0034451592543107,0.0244956382955548,0.0163971261495436,0.0082782830109198,0.0030181551278741,8.555532648950825,0.0066578208093081,4.805170845376376e-14,5.248453971922888,1693170426.152068,0.8026910256120944,4.383461365283277,Bayesian_Opt 1
1.0290144286008196e-06,5.49369529880823e-16,292595.33148814354,0.0003087375014483,0.0103603072336695,0.0012820971725129,0.0322548369648693,0.8399573540898447,1.2622052439185747,4.266712594779686,0.0037615889664209,0.0021628147194665,0.0149917917413572,0.0022177924306723,0.0072273463965463,0.0048036479828953,1457611001.1736264,0.0112304913757567,104219635424072.66,0.0001538925849069,0.2346584510284944,0.0718559738382678,0.0027946466006317,0.0103727325854401,0.0030334030299947,0.0114520788854989,0.0030190995520908,0.025962974554598,0.0211489741817205,0.0109725059035066,0.0039604293486647,11.99724846806207,0.006378025206871,3.469641694223542e-14,3.4909465611666155,1785148139.3773491,0.5306938740246365,2.192395737705021,Bayesian_Opt 2
7.546357655510242e-07,5.322224825262574e-16,454576.8419458053,0.0002282440112901,0.0095720578008718,0.0013346579322479,0.0230261833165,0.8113507925546681,1.0315235790894537,4.198713412175251,0.0041409937544609,0.0014432033207954,0.0127916451591777,0.0026859759314446,0.0080807281297272,0.0041826506141304,1973393003.5391333,0.0152914498291368,125661081676925.42,0.0001032890061839,0.1584187743440706,0.0602670286528637,0.0036046046214737,0.0097235190052001,0.0025668684315242,0.0105097743966738,0.0024012531142067,0.0202278816073063,0.0249145911307946,0.0099645467433166,0.0039033828071719,9.942631663579585,0.009599537001724,5.3349612302246094e-14,4.518172924343983,1436749156.8908358,0.5568327597769145,0.336857430922083,Bayesian_Opt 3
1.150407306450116e-06,6.02580305060352e-16,422336.4247694665,0.0002615919245773,0.0138921304346172,0.0014571237913465,0.025217156074837,0.8057496966606609,1.381824081605059,6.527600710979803,0.0054365184915855,0.0016500678707293,0.0158882155593057,0.0031278231172527,0.0105067700326104,0.0055139989946696,2078623600.589122,0.0143493942732541,115551624376418.92,9.802396411331812e-05,0.2183647802317027,0.0831268131158486,0.0029639397743577,0.0105614303077124,0.0032782268751415,0.0127814336360477,0.0030117808350034,0.0204309217275712,0.0229425696353473,0.0104555295671299,0.0046775377155009,11.906789328139071,0.0061431016006457,4.4807865368968376e-14,5.408713530742588,1368646494.4578362,0.8097942731190003,1.198482822148491,Bayesian_Opt 4
8.941526554776714e-07,5.102376923265273e-16,413597.7448252458,0.0002139701535888,0.0097706666879524,0.0017779894891078,0.035974332883545,0.7390375416518087,0.9302584094615568,6.128995879229875,0.0058188193479779,0.0015064290689016,0.0110905947950172,0.0026836160553765,0.0109400054469295,0.0045707974034885,1653390905.0086577,0.0103369847817891,102812229280235.22,0.0001026555607182,0.1704038783846584,0.0721036108412907,0.0027261370871791,0.0104196467465809,0.0036380497695743,0.0117460195173984,0.0030737038146015,0.0220716537948285,0.0188215809366433,0.0082475839639168,0.0032423460335048,10.597522939716107,0.0080478894517085,3.66087064057326e-14,3.921612091505028,1839174828.8866432,0.5443067677207808,0.6631905097590693,Bayesian_Opt 5
