EXCITATION	
C2H3 -> C2H2 H	
4.6	
SPECIES: e / C2H3	
PROCESS: E + C2H3 -> E + C2H2 H, Excitation	
PARAM.:  E = 4.6 eV, complete set	
COLUMNS: Energy (eV) | Cross section (m2)	
-----------------------------	
4.6	0
5	4.06127E-23
5.5	3.21401E-22
6	8.68322E-22
6.5	1.60097E-21
7	2.43584E-21
7.5	3.30948E-21
8	4.17906E-21
8.5	5.01773E-21
9	5.80998E-21
9.5	6.54784E-21
9.9	7.09678E-21
10	7.22823E-21
11	8.41854E-21
12	9.39876E-21
13	1.01969E-20
14	1.08418E-20
15	1.13592E-20
16	1.17715E-20
17	1.20972E-20
18	1.23514E-20
19	1.25466E-20
20	1.26931E-20
30	1.27526E-20
40	1.19667E-20
50	1.10973E-20
60	1.02973E-20
70	9.5916E-21
80	8.97471E-21
90	8.43466E-21
100	7.95945E-21
-----------------------------
