EXCITATION	
C2H6(v13) -> C2H2 H2 H2	
6.2	
SPECIES: e / C2H6(v13)	
PROCESS: E + C2H6(v13) -> E + C2H2 + H2 + H2, Excitation	
PARAM.:  E = 6.2 eV, complete set	
COLUMNS: Energy (eV) | Cross section (m2)	
-----------------------------	
6.2	0
6.5	1.81414E-24
7	2.59699E-23
7.5	8.58186E-23
8	1.78502E-22
8.5	2.96266E-22
9	4.30999E-22
9.5	5.75754E-22
10	7.25081E-22
11	1.02236E-21
12	1.3027E-21
13	1.5572E-21
14	1.78314E-21
15	1.98099E-21
16	2.15269E-21
17	2.30078E-21
18	2.42791E-21
19	2.53661E-21
20	2.62922E-21
30	3.02005E-21
40	2.99846E-21
50	2.86852E-21
60	2.71473E-21
70	2.56333E-21
80	2.42248E-21
90	2.29409E-21
100	2.17787E-21
-----------------------------
