number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
29,0.020964401243254542,2025-08-15 03:39:57.383451,2025-08-15 03:53:03.609769,0 days 00:13:06.226318,4,0.5,96,2,0.1,128,6,0.1,48,4,0.7,0.15000000000000002,COMPLETE
30,0.017952631739899517,2025-08-15 03:53:03.633094,2025-08-15 04:01:17.175902,0 days 00:08:13.542808,16,0.4,96,4,0.2,64,2,0.5,128,5,0.9,0.2,COMPLETE
31,0.013895663098664954,2025-08-15 04:01:17.200067,2025-08-15 04:07:48.888380,0 days 00:06:31.688313,4,0.2,96,2,0.2,48,6,0.2,32,2,1.1,0.25,COMPLETE
32,0.017468682387843725,2025-08-15 04:07:48.900228,2025-08-15 04:13:10.357234,0 days 00:05:21.457006,4,0.2,96,2,0.2,48,6,0.1,32,2,1.0,0.25,COMPLETE
33,0.013668129215948285,2025-08-15 04:13:10.381736,2025-08-15 04:20:25.583586,0 days 00:07:15.201850,4,0.1,96,2,0.30000000000000004,48,5,0.1,32,2,0.7,0.3,COMPLETE
34,0.016438611187040805,2025-08-15 04:20:25.595429,2025-08-15 04:28:14.037098,0 days 00:07:48.441669,4,0.30000000000000004,96,2,0.30000000000000004,48,6,0.1,32,2,0.5,0.3,COMPLETE
35,0.011897485381923614,2025-08-15 04:28:14.049060,2025-08-15 04:37:03.034076,0 days 00:08:48.985016,4,0.1,96,2,0.2,48,5,0.1,32,2,0.7,0.25,COMPLETE
36,0.015547786466777324,2025-08-15 04:37:03.056428,2025-08-15 04:43:07.189117,0 days 00:06:04.132689,4,0.2,96,3,0.2,48,5,0.1,32,2,0.7,0.3,COMPLETE
37,0.01642420089803636,2025-08-15 04:43:07.199490,2025-08-15 04:49:02.652874,0 days 00:05:55.453384,4,0.1,96,2,0.1,48,5,0.1,32,2,0.6,0.25,COMPLETE
38,0.016273473165929316,2025-08-15 04:49:02.676471,2025-08-15 04:57:35.079303,0 days 00:08:32.402832,4,0.4,96,2,0.2,48,6,0.1,32,2,0.7,0.3,COMPLETE
39,0.013313579633831975,2025-08-15 04:57:35.104344,2025-08-15 05:05:52.422508,0 days 00:08:17.318164,4,0.1,96,2,0.2,48,5,0.2,64,2,0.8,0.25,COMPLETE
40,0.013134316370512048,2025-08-15 05:05:52.435343,2025-08-15 05:10:11.763887,0 days 00:04:19.328544,8,0.1,96,3,0.1,48,5,0.1,64,2,0.8,0.3,COMPLETE
41,0.01391432792879641,2025-08-15 05:10:11.776005,2025-08-15 05:14:15.416771,0 days 00:04:03.640766,8,0.1,96,3,0.1,48,5,0.1,64,2,0.8,0.3,COMPLETE
42,0.015370316314511,2025-08-15 05:14:15.431016,2025-08-15 05:19:13.689646,0 days 00:04:58.258630,8,0.1,96,3,0.1,48,5,0.1,64,2,0.6,0.3,COMPLETE
43,0.013453163773131865,2025-08-15 05:19:13.709338,2025-08-15 05:27:14.229373,0 days 00:08:00.520035,8,0.1,96,2,0.1,48,5,0.2,64,3,0.8,0.25,COMPLETE
44,0.013172442962725957,2025-08-15 05:27:14.252975,2025-08-15 05:34:33.200975,0 days 00:07:18.948000,8,0.1,96,3,0.1,48,5,0.2,64,3,0.8,0.25,COMPLETE
45,0.020263344515115023,2025-08-15 05:34:33.222503,2025-08-15 05:40:27.991790,0 days 00:05:54.769287,8,0.1,32,3,0.1,48,5,0.2,64,3,0.6,0.25,COMPLETE
46,0.01448279993298153,2025-08-15 05:40:28.014995,2025-08-15 05:48:14.425591,0 days 00:07:46.410596,8,0.2,96,3,0.2,32,4,0.2,64,3,0.8,0.25,COMPLETE
47,0.016966175644968946,2025-08-15 05:48:14.437125,2025-08-15 05:52:22.750722,0 days 00:04:08.313597,8,0.5,128,3,0.1,48,4,0.1,64,2,1.0,0.25,COMPLETE
48,0.013906529064600664,2025-08-15 05:52:22.773249,2025-08-15 05:56:22.012597,0 days 00:03:59.239348,8,0.1,96,3,0.2,128,5,0.2,64,2,0.9,0.25,COMPLETE
49,0.015458783491825062,2025-08-15 05:56:22.024644,2025-08-15 06:00:30.096055,0 days 00:04:08.071411,8,0.1,96,4,0.1,48,5,0.1,48,2,0.8,0.3,COMPLETE
50,0.012818170664831995,2025-08-15 06:00:30.117581,2025-08-15 06:07:10.120419,0 days 00:06:40.002838,8,0.2,96,2,0.2,48,4,0.2,64,3,1.3,0.2,COMPLETE
51,0.013631230980778734,2025-08-15 06:07:10.145468,2025-08-15 06:12:55.124456,0 days 00:05:44.978988,8,0.2,96,2,0.2,48,4,0.2,64,3,1.4,0.2,COMPLETE
52,0.014633241357902685,2025-08-15 06:12:55.145955,2025-08-15 06:19:31.163204,0 days 00:06:36.017249,8,0.30000000000000004,96,2,0.2,48,5,0.2,64,3,1.3,0.2,COMPLETE
