grid,velocity,spread_rate,lambda,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_AR,X_N2
0.0775,0.0146447303,0.501702755,-0.386669652,305.602911,1.11028182,-3.03051784e-10,6.18150938e-24,-1.97877194e-18,0.190813702,2.67194399e-16,0.00141725239,6.54526793e-11,2.21043727e-11,2.79128242e-36,-2.26491277e-36,4.98617826e-25,2.62102251e-26,5.16320584e-11,0.0860724916,5.56568259e-08,0.000240269401,5.13896912e-24,3.76378372e-09,3.41422967e-27,6.06920953e-16,1.55432054e-11,-1.91695904e-41,-2.23973118e-15,8.79894071e-29,2.51948892e-11,5.90334067e-22,3.55047976e-09,1.241407e-32,1.52342951e-17,-7.60397088e-21,0.0091323628,0.712323859
0.08,0.0124726742,0.521029195,-0.386669652,314.299735,1.07926915,-4.52359494e-10,1.12795011e-22,-6.38816497e-18,0.189179812,1.64146686e-15,0.00355219642,1.68923544e-10,6.09141728e-11,1.2234494e-34,1.35565887e-35,8.65537587e-24,4.62590372e-25,1.46422706e-10,0.0850613557,1.47513231e-07,0.000756517526,9.92174291e-23,1.19185215e-08,6.87540306e-26,4.252782e-15,4.98391793e-11,-6.43848238e-40,-6.79846723e-15,1.95662018e-27,7.83594307e-11,1.0891649e-20,1.16709489e-08,2.75116681e-31,5.34747254e-17,-2.66910723e-20,0.00913228935,0.712317658
0.08125,0.0114748331,0.531788822,-0.386669652,322.691554,1.05098121,-5.45825963e-10,4.69380125e-22,-9.545192e-18,0.18753163,3.80268461e-15,0.00556877909,2.69107833e-10,1.01046753e-10,1.65924803e-34,-6.27446891e-36,3.41022662e-23,1.84939613e-24,2.50278372e-10,0.0841100934,2.38994416e-07,0.0013503102,4.16535156e-22,2.13194996e-08,2.9136253e-25,1.10694891e-14,8.98200692e-11,-4.46845368e-39,-1.18820145e-14,9.62094765e-27,1.38837517e-10,4.36078939e-20,2.13591024e-08,1.2891147e-30,1.01679678e-16,-5.07517617e-20,0.00913215104,0.712306754
0.0825,0.0105635371,0.54345412,-0.386669652,335.526616,1.01052705,-6.51218952e-10,1.8053428e-21,-1.1318352e-17,0.184945352,7.94071613e-15,0.00856928923,4.22169612e-10,1.64856667e-10,1.43655397e-32,-4.46039418e-36,1.18459434e-22,6.5547647e-24,4.20272758e-10,0.0826918345,3.81232812e-07,0.00237786053,1.57347353e-21,3.75821233e-08,1.09637919e-24,2.7118005e-14,1.59591104e-10,-3.64601357e-38,-2.04748352e-14,4.61054338e-26,2.42559349e-10,1.52530972e-19,3.86037507e-08,5.56878249e-30,1.91093625e-16,-9.53811227e-20,0.00913184614,0.712283359
0.08375,0.0097362625,0.555627607,-0.386669652,353.994891,0.957575067,-7.66513868e-10,6.17315665e-21,-9.13629898e-18,0.181153235,1.44843417e-14,0.012741253,6.41698006e-10,2.5945011e-10,-1.04048909e-32,5.86602221e-36,3.46680012e-22,1.96634085e-23,6.84984057e-10,0.0807053522,5.88241736e-07,0.00402318142,5.10220873e-21,6.35432923e-08,3.47240221e-24,6.01330473e-14,2.71907636e-10,-3.39345364e-37,-3.39445725e-14,2.07551162e-25,4.07179129e-10,4.40600373e-19,6.69260303e-08,2.07453855e-29,3.43354295e-16,-1.71379074e-19,0.00913133756,0.712244921
0.085,0.00897065723,0.567269036,-0.386669652,378.910605,0.894458956,-8.88939455e-10,1.93172985e-20,-3.79649849e-18,0.175967545,2.31969517e-14,0.0181546344,9.37277499e-10,3.89854099e-10,1.13531621e-31,-1.77329458e-34,8.59641985e-22,5.00485353e-23,1.08503077e-09,0.0780947139,8.69809437e-07,0.006454649,1.44821748e-20,1.01679302e-07,9.30027788e-24,1.18758706e-13,4.38216743e-10,-3.45253187e-36,-5.347918e-14,8.93571096e-25,6.48347857e-10,1.062008e-18,1.0971274e-07,6.55082204e-29,5.80552374e-16,-2.89771411e-19,0.00913069195,0.712196682
0.08625,0.0082280734,0.576613666,-0.386669652,410.425934,0.825764648,-1.01551782e-09,7.13912684e-20,8.42024235e-19,0.169336896,3.35992507e-14,0.024733704,1.31225185e-09,5.57421352e-10,-8.88960561e-31,7.40396997e-34,1.87550795e-21,1.116478e-22,1.68066883e-09,0.0748660571,1.22868252e-06,0.00977861619,3.90392683e-20,1.53350913e-07,2.23125664e-23,2.08966296e-13,6.65266322e-10,-3.57103609e-35,-7.97510066e-14,3.9094241e-24,9.75239941e-10,2.28206946e-18,1.69279173e-07,1.78423121e-28,9.19216151e-16,-4.5880751e-19,0.00913009981,0.712153071
0.0875,0.00746529446,0.58132996,-0.386669652,447.94765,0.756750582,-1.14358192e-09,5.93826482e-19,3.52513761e-18,0.161357502,4.57837352e-14,0.0322830163,1.76343523e-09,7.59511863e-10,4.60182541e-32,-5.91754149e-34,3.7868901e-21,2.28264995e-22,2.56037682e-09,0.0710836125,1.66002065e-06,0.0140108908,1.12153751e-19,2.1839641e-07,5.3869748e-23,3.31775072e-13,9.53140911e-10,-3.47298619e-34,-1.12736887e-13,1.84284209e-23,1.38802891e-09,4.89139433e-18,2.46200406e-07,4.32490994e-28,1.36547861e-15,-6.81548147e-19,0.00912981396,0.712133034
0.08875,0.00664881798,0.578866712,-0.386669652,490.302389,0.691696428,-1.27106808e-09,8.39743122e-18,9.41493956e-18,0.152239826,6.10265317e-14,0.0405464319,2.2826619e-09,9.90431344e-10,-2.3171407e-30,1.38101544e-35,7.44589449e-21,4.47873137e-22,3.85195977e-09,0.0668501452,2.15306264e-06,0.0190781301,3.65750186e-19,2.95247507e-07,1.56090879e-22,4.84943046e-13,1.29556387e-09,-3.01154783e-33,-1.51764902e-13,9.28695753e-23,1.87836253e-09,1.18493379e-17,3.39213845e-07,9.65597965e-28,1.91382211e-15,-9.55239358e-19,0.00913005096,0.712152619
0.09,0.00576478973,0.566834601,-0.386669652,536.03995,0.633130354,-1.39655234e-09,1.03536535e-16,5.36088569e-17,0.142255322,8.29086447e-14,0.0492640765,2.85925174e-09,1.24288961e-09,1.04987351e-32,3.1074196e-34,1.50516879e-20,8.87315091e-22,5.74148977e-09,0.0622839576,2.69378768e-06,0.024841991,1.29495299e-18,3.813985e-07,6.00953165e-22,6.65967413e-13,1.68173362e-09,-2.40150449e-32,-1.95718006e-13,4.67050253e-22,2.43197198e-09,3.40136451e-17,4.45614394e-07,2.04725588e-27,2.54930707e-15,-1.27242487e-18,0.00913092682,0.712220193
0.09125,0.00482168487,0.543285334,-0.386669652,583.720029,0.581964086,-1.51914938e-09,9.3797624e-16,3.61759178e-16,0.131687204,1.21816367e-13,0.0582079816,3.48249685e-09,1.50927395e-09,7.06481237e-31,-7.41421652e-34,3.36880026e-20,1.90686167e-21,8.50945148e-09,0.0575009186,3.26740465e-06,0.0311309421,4.59217562e-18,4.73942381e-07,2.74176013e-21,8.68662341e-13,2.09834269e-09,-2.04823432e-31,-2.4327866e-13,2.20035055e-21,3.03184886e-09,1.0856871e-16,5.61853263e-07,4.14965198e-27,3.25151832e-15,-1.62291635e-18,0.00913245261,0.71233618
0.0925,0.0038472786,0.506839903,-0.386669652,632.09669,0.538032587,-1.63838161e-09,6.1214019e-15,2.12717497e-15,0.120796063,2.10105361e-13,0.0671964868,4.14369055e-09,1.78232694e-09,-6.22207688e-33,9.48797162e-33,9.12683426e-20,4.85912443e-21,1.25998823e-08,0.0526036095,3.86013371e-06,0.0377685226,1.55816006e-17,5.69977933e-07,1.24844989e-20,1.07021904e-12,2.53084887e-09,-2.05353214e-30,-2.93137333e-13,9.45015247e-21,3.66087204e-09,3.5495946e-16,6.8408288e-07,7.39659353e-27,3.99849466e-15,-1.99575575e-18,0.00913456724,0.712495613
0.09375,0.00288303864,0.456689111,-0.386669652,680.196814,0.50061981,-1.75415996e-09,2.91070633e-14,1.03835921e-14,0.10980077,4.46599395e-13,0.076095263,4.83749683e-09,2.05480594e-09,7.33887414e-31,1.83076833e-31,3.10374889e-19,1.5306769e-20,1.87543521e-08,0.0476762394,4.46023845e-06,0.0445934755,5.02309699e-17,6.66800588e-07,5.173518e-20,1.22992349e-12,2.96390587e-09,-2.09826864e-29,-3.44141771e-13,3.70393661e-20,4.30339945e-09,1.1422399e-15,8.08502647e-07,6.14304803e-27,4.76970872e-15,-2.38070859e-18,0.00913717622,0.712691109
0.095,0.00197838972,0.392515277,-0.386669652,727.326626,0.468815668,-1.86732289e-09,1.05157348e-13,4.22683834e-14,0.0988710508,1.12104614e-12,0.0848121203,5.5626527e-09,2.31734021e-09,4.12448195e-31,2.87265583e-30,1.25597379e-18,5.68786517e-20,2.82818929e-08,0.0427833144,5.05846924e-06,0.0514715428,1.5585706e-16,7.61821209e-07,1.90103391e-19,1.33027318e-12,3.38165316e-09,-1.88686806e-28,-3.95402451e-13,1.34664586e-19,4.94561371e-09,3.60493052e-15,9.31427109e-07,-4.09218649e-26,5.54783165e-15,-2.76917688e-18,0.00914017971,0.712914998
0.09625,0.00118606276,0.314379535,-0.386669652,773.041721,0.441711232,-1.982077e-09,3.12077013e-13,1.48237535e-13,0.0881275952,3.06779655e-12,0.0932898889,6.32146301e-09,2.55378125e-09,-1.43563619e-29,4.23184573e-29,5.64492205e-18,2.33203595e-19,4.36375354e-08,0.0379704612,5.64810894e-06,0.0583005456,4.72593118e-16,8.52105606e-07,6.27360246e-19,1.41657152e-12,3.76827393e-09,-1.44273725e-27,-4.46400425e-13,4.65093959e-19,5.57416293e-09,1.13393421e-14,1.04896544e-06,-3.42160629e-25,6.31918062e-15,-3.15460195e-18,0.00914348708,0.713160413
0.096875,0.000848439704,0.27016186,-0.386669652,795.263748,0.42967725,-2.04660338e-09,5.21606974e-13,2.70302802e-13,0.0827795326,5.22698905e-12,0.0974862022,6.71792822e-09,2.65287377e-09,-1.56492365e-32,1.68381986e-28,1.26596476e-17,4.97722465e-19,5.55670182e-08,0.0355712352,5.94218568e-06,0.0617185344,8.27862048e-16,8.94393768e-07,1.11655997e-18,1.50211482e-12,3.94612898e-09,-3.83060878e-27,-4.72188474e-13,8.67666238e-19,5.88093589e-09,2.06381325e-14,1.10453851e-06,-8.17256196e-25,6.70320987e-15,-3.34717364e-18,0.0091452555,0.713291226
0.0975,0.000558598692,0.222580272,-0.386669652,817.059529,0.418516365,-2.11965512e-09,8.57060236e-13,4.83297734e-13,0.07750712,8.96343899e-12,0.101610368,7.11779771e-09,2.73352193e-09,-1.01844459e-29,6.74660779e-28,2.89095296e-17,1.07959077e-18,7.14421611e-08,0.0332032017,6.23243636e-06,0.0650985406,1.44313955e-15,9.33447508e-07,1.96703125e-18,1.61957464e-12,4.1092655e-09,-9.87062886e-27,-4.98016477e-13,1.61331368e-18,6.17586616e-09,3.79195621e-14,1.15636401e-06,-1.84249669e-24,7.08026238e-15,-3.53730536e-18,0.00914707143,0.713425287
0.098125,0.000322832367,0.171702099,-0.386669652,838.424558,0.408144715,-2.20870651e-09,1.39982464e-12,8.5475722e-13,0.0723137635,1.5510485e-11,0.105662293,7.51055688e-09,2.79133109e-09,-1.09378852e-26,1.6258977e-26,6.77352937e-17,2.39768014e-18,9.31401569e-08,0.0308676163,6.51862818e-06,0.0684365383,2.50888202e-15,9.67995563e-07,3.4681977e-18,1.78841762e-12,4.25455874e-09,-1.7627377e-26,-5.24100434e-13,3.00724114e-18,6.45310326e-09,7.09190787e-14,1.20292633e-06,-4.01914621e-24,7.44697027e-15,-3.72465929e-18,0.00914892763,0.71356206
0.09875,0.000147243559,0.117597939,-0.386669652,859.362104,0.398485651,-2.32658892e-09,2.29410966e-12,1.50731146e-12,0.0672008137,2.71991863e-11,0.109642966,7.87314758e-09,2.82371461e-09,-2.1001339e-26,3.88535045e-26,1.64376438e-16,5.50319938e-18,1.23717371e-07,0.0285649423,6.80063074e-06,0.0717302063,4.36061656e-15,9.96164998e-07,6.2172528e-18,2.03403447e-12,4.37776913e-09,-4.77007121e-26,-5.50834425e-13,5.65649755e-18,6.70270202e-09,1.36300767e-13,1.24183234e-06,-8.59140201e-24,7.79652733e-15,-3.90891025e-18,0.00915081769,0.713701072
0.099375,3.77404088e-05,0.0603392084,-0.386669652,879.882162,0.389469377,-2.49531312e-09,3.80789898e-12,2.67154456e-12,0.0621677914,4.98035389e-11,0.113554305,8.15919185e-09,2.83282519e-09,7.04527782e-24,-1.01061183e-23,4.43457931e-16,1.40061688e-17,1.68423454e-07,0.0262949308,7.07839852e-06,0.0749787756,7.54190494e-15,1.01512417e-06,1.09446631e-17,2.39316504e-12,4.47259714e-09,4.19145641e-24,-5.78916294e-13,8.65919556e-18,6.90669742e-09,2.81580959e-13,1.26902913e-06,-4.23481573e-23,8.11376157e-15,-4.08959953e-18,0.00915273597,0.71384191
0.0996875,9.58126213e-06,0.0305494332,-0.386669652,889.989867,0.38518324,-2.613489e-09,5.04485519e-12,3.52000917e-12,0.0596663387,3.12670952e-10,0.115495904,8.23904282e-09,2.83305308e-09,-3.11914824e-22,-2.77873174e-22,5.67546405e-15,1.79405712e-16,1.9956511e-07,0.0251654534,7.216483e-06,0.0765955614,7.00633342e-15,1.01950046e-06,-2.7607774e-17,2.67974594e-12,4.50545711e-09,-1.12489857e-24,-5.93767958e-13,-2.21379416e-16,6.97792587e-09,1.01662385e-12,1.27547855e-06,-2.34742658e-21,8.24651015e-15,-4.1773466e-18,0.00915370964,0.713913301
0.1,5.25852195e-38,0,-0.386669652,900,0.381034259,-2.75782831e-09,9.65332369e-14,6.9224903e-14,0.0571842644,2.89153119e-08,0.117420973,8.23989618e-09,2.83334857e-09,-1.21187732e-21,-2.8364559e-21,5.67598122e-15,1.79422028e-16,1.9958393e-07,0.0240439324,7.35351302e-06,0.0782012358,7.0071814e-15,1.01962666e-06,-2.76113197e-17,2.6800847e-12,4.50602563e-09,2.69049112e-22,-5.93842024e-13,-2.21406524e-16,6.97880608e-09,1.01676308e-12,1.27565538e-06,-2.34762291e-21,8.24770715e-15,-4.17841033e-18,0.00915468846,0.713985008
