mol%H2,mol%CH4,mol%C2H6,mol%C2H4,mol%C2H2,mol%C3H8,mol%C3H6,mol%C4H10,mol%C5H12,mol%C,Power density [W/cm3]
7.401314912,89.43828481,2.081463746,0.157999343,0.096631464,0.601693731,0.03255806,0.088489168,0.101564767,1.370584937,4.322726849
5.307455464,92.30991907,1.553719483,0.142449732,0.095560105,0.433123088,0.025254059,0.057046071,0.075472922,0.883558971,3.271518275
3.089651508,95.46309405,0.91770241,0.126219295,0.088929571,0.229167315,0.017281016,0.025695729,0.042259102,0.448210262,2.64079313
