number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
0,0.025917636588149308,2025-09-01 09:27:51.908746,2025-09-01 09:39:24.351345,0 days 00:11:32.442599,2,0.4,16,3,0.6,32,2,0.1,32,2,1.1,0.1,COMPLETE
1,0.015577354849804015,2025-09-01 09:39:24.384860,2025-09-01 10:02:30.636422,0 days 00:23:06.251562,2,0.1,16,4,0.6,32,6,0.30000000000000004,48,4,1.2000000000000002,0.05,COMPLETE
2,0.018409451888874172,2025-09-01 10:02:30.666003,2025-09-01 10:21:26.116370,0 days 00:18:55.450367,4,0.30000000000000004,48,6,0.2,16,2,0.4,48,6,0.9,0.2,COMPLETE
3,0.030190183129161597,2025-09-01 10:21:26.148039,2025-09-01 10:34:51.501382,0 days 00:13:25.353343,8,0.5,16,3,0.6,32,2,0.4,16,6,1.5,0.3,COMPLETE
4,0.0141510331504313,2025-09-01 10:34:51.531087,2025-09-01 10:57:02.311555,0 days 00:22:10.780468,2,0.1,16,3,0.4,64,3,0.30000000000000004,48,4,0.9,0.05,COMPLETE
5,2.436715541686863,2025-09-01 10:57:02.341597,2025-09-01 11:04:47.734450,0 days 00:07:45.392853,8,0.1,16,3,0.5,16,4,0.5,64,4,1.0,0.3,COMPLETE
6,0.028094073322912055,2025-09-01 11:04:47.763863,2025-09-01 11:15:05.419023,0 days 00:10:17.655160,4,0.2,16,6,0.2,48,2,0.2,32,4,1.5,0.25,COMPLETE
7,0.020923867010666678,2025-09-01 11:15:05.454790,2025-09-01 11:36:34.926826,0 days 00:21:29.472036,4,0.6,64,3,0.4,64,2,0.2,32,6,0.7,0.15000000000000002,COMPLETE
8,0.016998131536612553,2025-09-01 11:36:34.955346,2025-09-01 11:59:17.310084,0 days 00:22:42.354738,2,0.1,32,5,0.30000000000000004,48,3,0.2,48,4,0.7,0.3,COMPLETE
9,0.017494557025687148,2025-09-01 11:59:17.338884,2025-09-01 12:15:58.614021,0 days 00:16:41.275137,4,0.2,16,3,0.4,32,5,0.4,16,5,0.8,0.3,COMPLETE
10,0.06456176247558601,2025-09-01 12:15:58.641567,2025-09-01 12:23:37.738198,0 days 00:07:39.096631,2,0.30000000000000004,64,2,0.1,64,4,0.30000000000000004,64,2,2.0,0.05,COMPLETE
11,1.967117095250814,2025-09-01 12:23:37.766746,2025-09-01 12:36:38.877264,0 days 00:13:01.110518,2,0.1,48,4,0.5,64,6,0.30000000000000004,48,3,1.4,0.05,COMPLETE
12,0.07986746286762701,2025-09-01 12:36:38.906423,2025-09-01 12:50:15.604268,0 days 00:13:36.697845,2,0.2,32,4,0.5,32,6,0.30000000000000004,48,3,1.2000000000000002,0.1,COMPLETE
13,0.015864697491217935,2025-09-01 12:50:15.633381,2025-09-01 13:17:14.002734,0 days 00:26:58.369353,2,0.1,16,5,0.30000000000000004,64,5,0.1,48,5,0.5,0.1,COMPLETE
14,0.030809719581156962,2025-09-01 13:17:14.031784,2025-09-01 13:28:49.850538,0 days 00:11:35.818754,2,0.4,16,2,0.6,32,3,0.5,48,3,1.8,0.05,COMPLETE
15,0.0210897779945905,2025-09-01 13:28:49.879131,2025-09-01 13:52:27.694518,0 days 00:23:37.815387,2,0.2,16,4,0.4,64,4,0.4,48,5,1.3,0.15000000000000002,COMPLETE
16,0.018318804912269115,2025-09-01 13:52:27.723668,2025-09-01 13:57:00.262536,0 days 00:04:32.538868,8,0.30000000000000004,64,5,0.5,16,3,0.2,48,3,0.5,0.1,COMPLETE
