V,E,t,CFLA,CALA,CFK,CBK,SEC,I,exp,time,VF,VA,VB
10,0.25,,1.040899065,0.00026911499999999946,1.854385807,0.010884114,,0.0,26,0.0,1.0,1.0,2.0
10,0.25,,0.909833200815783,0.004166664284218508,1.5497921262006693,0.057272780696982786,,0.2,26,2.0,1.14,0.9500000000000001,1.9100000000000001
10,0.25,,0.8512446858037148,0.012002269008069937,1.3443044954818784,0.13416429863813306,,0.2,26,4.0,1.21,0.93,1.86
10,0.25,,2.96811365,0.00040681999999999963,5.156120607,0.036918747999999994,,0.0,27,0.0,1.0,1.0,2.0
10,0.25,,2.6411125015093395,0.0022708597180770623,4.4494185337026755,0.12044405414487355,,0.4,27,1.0,1.1231527093596056,0.9458128078817734,1.9310344827586203
10,0.25,,2.2943664940259665,0.017849692489935884,3.5615344306887895,0.34880370274576206,,0.4,27,3.0,1.287128712871287,0.8613861386138614,1.8514851485148514
10,0.25,,2.1589872087246875,0.030337274340762582,3.187350780923298,0.48734041198166567,,0.4,27,4.0,1.3634085213032583,0.8220551378446117,1.8145363408521304
10,0.25,,2.03312460010636,0.043376291781612876,2.9237978694307496,0.5655136380686635,,0.4,27,5.0,1.443609022556391,0.7719298245614035,1.7844611528822054
10,0.25,,1.892057452054398,0.0755700115910995,2.5522315527807944,0.7392379629308145,,0.3,27,7.0,1.5408163265306123,0.7040816326530613,1.7551020408163265
20,0.25,,0.49514725,0.0005181399999999994,1.0837626070000002,0.011514245000000001,,0.1,2,0.0,1.0,1.0,1.0
20,0.25,,0.4750128424477707,0.009596033067279975,0.6886338737667284,0.39716263052850737,,0.4,2,1.0,1.0234113712374584,0.9933110367892977,0.9832775919732442
20,0.25,,0.45271130504075807,0.032573374638141375,0.5759689201372167,0.5144261536939174,,0.6,2,2.0,1.0234113712374584,0.9933110367892977,0.9832775919732442
20,0.25,,0.40822372363381415,0.09395392287219545,0.4378751164083148,0.6559488268117344,,0.8,2,3.0,0.983277591973244,1.0033444816053512,1.0133779264214047
20,0.25,,0.30014611526109314,0.20784220885199672,0.2963981979886282,0.7892380750103686,,0.9,2,4.0,0.9425675675675675,1.0236486486486487,1.0337837837837838
20,0.25,,0.95448547,0.0005621649999999999,1.736449807,0.011909920000000001,,0.1,25,0.0,1.0,1.0,2.0
20,0.25,,0.8550305261712695,0.02533108690695083,1.369401998817873,0.13644730892981893,,0.6,25,2.0,1.0891089108910892,0.9405940594059407,1.9702970297029703
20,0.25,,0.7663984147268986,0.13239212885391527,0.900624776663038,0.3956733611418538,,0.9,25,4.0,1.0845771144278606,0.9353233830845771,1.980099502487562
20,0.25,,0.037311650047516826,0.9001851626167483,0.01641703313570007,0.8118570028288691,,0.5,25,9.0,0.8215158924205379,1.0268948655256724,2.15158924205379
20,0.25,,2.8558455000000005,0.0005020599999999995,4.551524707,0.02279858,,0.1,18,0.0,1.0,1.0,2.0
20,0.25,,2.266785758190827,0.1397903529604757,2.984330674541126,0.531713099298092,,1.4,18,3.0,1.2040816326530615,0.9081632653061223,1.8877551020408163
20,0.25,,2.1572359554773746,0.25046317288426595,2.58098395959413,0.7685730170517512,,1.6,18,4.0,1.22007722007722,0.8957528957528959,1.8841698841698842
20,0.25,,2.065548370051669,0.3941189447040312,1.9270341088272263,1.20499203241464,,1.7,18,5.0,1.2093023255813953,0.909560723514212,1.8811369509043927
20,0.25,,2.016191861491018,0.577284198219269,1.6904695672183465,1.3669079439342684,,1.7,18,6.0,1.1560102301790283,0.9104859335038364,1.9335038363171357
20,0.25,,1.9163047864841687,0.766162826890176,1.4585644978392547,1.5101962675501117,,1.7,18,7.0,1.1237113402061853,0.9175257731958762,1.958762886597938
30,0.25,,0.5042800000000001,4.999999999999796e-06,1.018588207,0.007420235000000001,,0.1,5,0.0,1.0,1.0,1.0
30,0.25,,0.4842864327119863,0.018317617288013878,0.6110312999635983,0.4157142564610121,,0.8,5,1.0,1.0033444816053512,1.0033444816053512,0.9933110367892976
30,0.25,,0.40015545722588636,0.11395337729024674,0.388355136706254,0.6429274263419965,,1.5,5,2.0,0.9696969696969697,1.02020202020202,1.01010101010101
30,0.25,,0.0001963185897404365,0.4537190769871818,0.0001028276158755348,0.9233356184688872,,0.2,5,4.0,0.7777777777777778,1.1111111111111112,1.1111111111111112
30,0.25,,5.169702371196219e-06,0.4645500237429719,5.524185083785011e-05,0.8592134115775939,,0.2,5,5.0,0.7203947368421054,1.0855263157894737,1.194078947368421
30,0.25,,0.5129999,0.0005695299999999995,0.9984984069999999,0.008051028,,0.1,34,0.0,1.0,1.0,2.0
30,0.25,,0.47082141948868533,0.04274801051131459,0.7396842041124536,0.1374581294437731,,0.7,34,2.0,1.0,1.0,2.0
30,0.25,,0.39607987579870163,0.11748955420129839,0.41743709814340596,0.2985816824282969,,0.9,34,3.0,1.0,1.0,2.0
30,0.25,,0.2605988579872497,0.265743293153786,0.15834859103240237,0.4254081614979697,,0.8,34,4.0,0.8999999999999999,1.05,2.05
30,0.25,,0.07482145672418286,0.40906471980404047,0.04068579284131636,0.4780573361389664,,0.7,34,5.0,0.8500000000000001,1.1,2.05
30,0.25,,0.00015668835581413373,0.4609313285821352,0.0,0.4887404669329269,,0.1,34,6.0,0.810126582278481,1.1139240506329113,2.075949367088607
