number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
0,0.22576341001937789,2025-09-08 22:25:47.066072,2025-09-08 22:33:01.669267,0 days 00:07:14.603195,5,0.2,48,5,0.4,48,3,0.4,32,6,1.3,0.2,COMPLETE
1,0.016060342127457262,2025-09-08 22:33:01.685024,2025-09-08 22:37:56.453137,0 days 00:04:54.768113,5,0.1,16,2,0.2,48,4,0.1,48,4,1.0,0.15000000000000002,COMPLETE
2,0.25978163542846844,2025-09-08 22:37:56.479936,2025-09-08 22:40:37.925643,0 days 00:02:41.445707,5,0.1,128,4,0.4,16,6,0.1,96,2,1.6,0.25,COMPLETE
3,0.2911373309791088,2025-09-08 22:40:37.948974,2025-09-08 22:42:38.448184,0 days 00:02:00.499210,15,0.2,72,6,0.5,48,6,0.5,96,4,0.6,0.1,COMPLETE
4,0.02819486283697188,2025-09-08 22:42:38.472271,2025-09-08 22:47:36.216499,0 days 00:04:57.744228,3,0.6,72,4,0.1,48,3,0.30000000000000004,128,3,0.8,0.25,COMPLETE
5,0.10318072065711022,2025-09-08 22:47:36.228599,2025-09-08 22:48:38.914864,0 days 00:01:02.686265,15,0.5,16,5,0.30000000000000004,32,5,0.1,96,2,1.3,0.2,COMPLETE
6,0.24337829556316137,2025-09-08 22:48:38.927387,2025-09-08 22:56:27.123923,0 days 00:07:48.196536,3,0.4,72,5,0.1,48,2,0.4,16,5,1.8,0.2,COMPLETE
7,0.2910341702401638,2025-09-08 22:56:27.146817,2025-09-08 22:58:28.571522,0 days 00:02:01.424705,15,0.2,96,6,0.6,48,6,0.30000000000000004,48,4,1.1,0.3,COMPLETE
8,0.29115027114748954,2025-09-08 22:58:28.594821,2025-09-08 23:00:26.137765,0 days 00:01:57.542944,15,0.30000000000000004,128,3,0.6,128,6,0.5,96,4,0.6,0.2,COMPLETE
9,1.9152314707636833,2025-09-08 23:00:26.159458,2025-09-08 23:02:22.969732,0 days 00:01:56.810274,15,0.6,48,6,0.6,128,5,0.4,72,4,1.6,0.15000000000000002,COMPLETE
10,0.968204159848392,2025-09-08 23:02:22.986502,2025-09-08 23:09:26.905211,0 days 00:07:03.918709,5,0.1,16,2,0.2,64,4,0.2,48,6,1.1,0.05,COMPLETE
11,0.0248192482162267,2025-09-08 23:09:26.928898,2025-09-08 23:14:21.071279,0 days 00:04:54.142381,3,0.6,32,2,0.1,96,3,0.2,128,3,0.8,0.3,COMPLETE
12,0.018885088921524584,2025-09-08 23:14:21.095842,2025-09-08 23:19:14.755193,0 days 00:04:53.659351,3,0.4,32,2,0.2,96,3,0.2,64,3,0.9,0.1,COMPLETE
13,0.22150124390609563,2025-09-08 23:19:14.777944,2025-09-08 23:24:07.863668,0 days 00:04:53.085724,3,0.4,64,3,0.2,72,4,0.2,64,3,1.0,0.1,COMPLETE
14,0.11117777686255674,2025-09-08 23:24:07.880036,2025-09-08 23:30:05.433050,0 days 00:05:57.553014,5,0.30000000000000004,32,2,0.30000000000000004,96,2,0.1,64,5,0.9,0.1,COMPLETE
15,0.23945311047136783,2025-09-08 23:30:05.447508,2025-09-08 23:34:56.145221,0 days 00:04:50.697713,3,0.5,32,3,0.2,96,4,0.2,64,3,1.4,0.05,COMPLETE
16,0.023704127377520007,2025-09-08 23:34:56.167676,2025-09-08 23:40:50.158927,0 days 00:05:53.991251,5,0.4,16,2,0.30000000000000004,16,3,0.1,48,5,0.5,0.15000000000000002,COMPLETE
17,0.19116326981845,2025-09-08 23:40:50.183004,2025-09-08 23:43:28.785465,0 days 00:02:38.602461,5,0.30000000000000004,96,3,0.2,32,5,0.2,16,2,0.8,0.15000000000000002,COMPLETE
18,0.18204652338754385,2025-09-08 23:43:28.797192,2025-09-08 23:48:16.371043,0 days 00:04:47.573851,3,0.5,64,2,0.2,64,2,0.1,32,3,1.1,0.1,COMPLETE
19,0.07746099115659794,2025-09-08 23:48:16.386295,2025-09-08 23:55:07.469969,0 days 00:06:51.083674,5,0.1,16,4,0.4,72,3,0.30000000000000004,72,5,0.7,0.05,COMPLETE
20,0.01600659122923389,2025-09-08 23:55:07.495921,2025-09-09 00:00:56.267095,0 days 00:05:48.771174,3,0.2,32,3,0.1,96,4,0.2,48,3,1.5,0.15000000000000002,COMPLETE
21,1.966023700265214,2025-09-09 00:00:56.292412,2025-09-09 00:06:41.396357,0 days 00:05:45.103945,3,0.2,32,3,0.1,96,4,0.2,48,3,2.0,0.15000000000000002,COMPLETE
22,1.1198883177479728,2025-09-09 00:06:41.422855,2025-09-09 00:14:19.051289,0 days 00:07:37.628434,3,0.1,32,2,0.1,96,5,0.2,48,4,1.6,0.1,COMPLETE
23,0.014941661176271737,2025-09-09 00:14:19.079882,2025-09-09 00:18:16.579992,0 days 00:03:57.500110,3,0.2,32,3,0.2,96,4,0.1,64,2,1.4,0.15000000000000002,COMPLETE
24,0.01724691520212218,2025-09-09 00:18:16.604345,2025-09-09 00:22:21.505601,0 days 00:04:04.901256,3,0.2,32,3,0.30000000000000004,96,4,0.1,48,2,1.5,0.15000000000000002,COMPLETE
25,0.015392155782319606,2025-09-09 00:22:21.523478,2025-09-09 00:26:26.233252,0 days 00:04:04.709774,3,0.1,16,3,0.1,96,4,0.1,48,2,1.8,0.25,COMPLETE
26,0.017632700805552303,2025-09-09 00:26:26.258173,2025-09-09 00:30:34.966532,0 days 00:04:08.708359,3,0.2,32,4,0.1,96,5,0.1,64,2,1.8,0.25,COMPLETE
27,0.076582099404186,2025-09-09 00:30:34.990481,2025-09-09 00:34:43.794835,0 days 00:04:08.804354,3,0.30000000000000004,64,3,0.1,96,4,0.1,48,2,1.8,0.25,COMPLETE
