exp,V,E,t,VF,VA,VB,CFLA,CALA,CFK,CBK,I
0,20,0.25,0.0,1.0,1.0,1.0,0.49514725,0.0005181399999999,1.0837626070000002,0.011514245,0.0
0,20,0.25,0.25,1.0085963628762542,0.9975438963210702,0.9938597408026756,0.4903142226713737,0.0016257961512861,0.9548168869959436,0.1364442990013026,0.1203125
0,20,0.25,0.5,1.0160953177257528,0.995401337792642,0.9885033444816054,0.4853440204838536,0.0036963386218308,0.8410701149785309,0.2468382169533353,0.2291666666666666
0,20,0.25,0.75,1.0213994565217392,0.9938858695652172,0.9847146739130436,0.4802418311663494,0.00644725504828,0.749887405663535,0.3359822453108272,0.3234375000000001
0,20,0.25,1.0,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.4750128424477707,0.0095960330672799,0.6886338737667284,0.3971626305285073,0.4
0,20,0.25,1.25,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.4699448723926024,0.0134489712900408,0.6521901238076853,0.4347634170890478,0.459375
0,20,0.25,1.5,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.4649304533595502,0.0185317754313902,0.6258956993559422,0.4622427091543821,0.5083333333333333
0,20,0.25,1.75,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.4593818445188551,0.0248910437833999,0.6028041237022143,0.4864978426981317,0.553125
0,20,0.25,2.0,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.452711305040758,0.0325733746381413,0.5759689201372167,0.5144261536939174,0.6
0,20,0.25,2.25,1.0190351486085696,0.9942492199323628,0.98684064330767,0.4445367407908334,0.0431270646880572,0.5434930808487797,0.5481399550013117,0.653125
0,20,0.25,2.5,1.008396962621737,0.9966489789054764,0.995287423402393,0.4346325869970984,0.0574721989206237,0.5088813748143703,0.5840591682271092,0.7083333333333334
0,20,0.25,2.75,0.9952325361267116,0.9998881280245135,1.0052543713945816,0.4226458968734571,0.0747130580704626,0.4732899905091586,0.6205425424657651,0.759375
0,20,0.25,3.0,0.983277591973244,1.0033444816053512,1.013377926421405,0.4082237236338141,0.0939539228721954,0.4378751164083148,0.6559488268117344,0.8
0,20,0.25,3.25,0.973154397655942,1.00721315765184,1.0192574091464113,0.3890294968789904,0.1163973447261316,0.402825932359075,0.6900256780975033,0.83203125
0,20,0.25,3.5,0.962994867126071,1.0119954043992332,1.02467636354509,0.3637902153162335,0.1433514437751218,0.3675621052489713,0.7236072118258933,0.8604166666666667
0,20,0.25,3.75,0.9527991929183672,1.01752823151051,1.0295475637225209,0.3337482858190866,0.1740788538675991,0.3320855541136178,0.7566818650968623,0.88359375
0,20,0.25,4.0,0.9425675675675677,1.023648648648649,1.0337837837837838,0.3001461152610931,0.2078422088519966,0.2963981979886282,0.7892380750103687,0.9
1,30,0.25,0.0,1.0,1.0,1.0,0.5042800000000001,4.999999999999796e-06,1.018588207,0.007420235,0.0
1,30,0.25,0.25,1.0019335284280937,1.000260938076755,0.9963633513225904,0.5026704880394918,0.0014254463752563,0.8980952703040469,0.1276793752666688,0.20953125
1,30,0.25,0.5,1.0029264214046822,1.0009745416717934,0.99435196446066,0.4983218374979766,0.0053189084413514,0.7883099532892406,0.2374271656867781,0.4129166666666667
1,30,0.25,0.75,1.0032922240802675,1.0020369948322727,0.993492354565724,0.4919538763854698,0.0111335706087742,0.6917745363707138,0.3342449961287513,0.60984375
1,30,0.25,1.0,1.0033444816053512,1.0033444816053512,0.9933110367892976,0.4842864327119863,0.0183176172880138,0.6110312999635983,0.4157142564610121,0.8
1,30,0.25,1.25,1.000304143220189,1.0056664738015122,0.9948154287331844,0.4719085863582797,0.0320197782225834,0.545535844688365,0.4839244236296056,1.014375
1,30,0.25,1.5,0.9924329532525532,1.009545857416405,0.9987219130823052,0.4523451700955608,0.0551415593750745,0.4898201249712299,0.5435536945004643,1.2433333333333334
1,30,0.25,1.75,0.981605649484221,1.014538937774938,1.0041204526128502,0.4277196412695295,0.0837603094845935,0.4390409519359429,0.596066538821843,1.425625
1,30,0.25,2.0,0.9696969696969696,1.02020202020202,1.01010101010101,0.4001554572258863,0.1139533772902467,0.388355136706254,0.6429274263419965,1.5
1,30,0.25,2.25,0.9543077426515614,1.0285873182735823,1.0172461426093344,0.3612922555594723,0.150763611955124,0.3316681510412945,0.6890641880257665,1.444140625
1,30,0.25,2.5,0.932957024131898,1.0409880240474323,1.0265481520857378,0.3058276694376107,0.1986845041098436,0.2689135177379745,0.7368296552769021,1.296875
1,30,0.25,2.75,0.9073968924544656,1.0558219105712945,1.0377116186344577,0.2404721495647247,0.2529693646948043,0.2042901244767117,0.7838257985020195,1.088671875
1,30,0.25,3.0,0.87937942593575,1.0715067508928915,1.0504411223597314,0.1719361466452375,0.3088715046504049,0.1419968589379237,0.8276545881077343,0.8499999999999999
1,30,0.25,3.25,0.8506567028922375,1.0864603180599484,1.0644412433657962,0.1069301113835723,0.3616442349170441,0.0862326088020283,0.8659179945006625,0.6113281249999998
1,30,0.25,3.5,0.8229808016404139,1.0991003851201882,1.0794165617568896,0.0521644944841523,0.4065408664351209,0.0411962617494434,0.8962179880874203,0.4031249999999999
1,30,0.25,3.75,0.7981038004967653,1.1078447251213344,1.0950716576372488,0.0143497466514006,0.4388147101450338,0.0110867054605865,0.9161565392746231,0.2558593749999998
1,30,0.25,4.0,0.7777777777777778,1.1111111111111112,1.1111111111111112,0.0001963185897404,0.4537190769871818,0.0001028276158755,0.9233356184688872,0.2
