number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
0,0.049664640737076604,2025-09-03 07:54:58.546745,2025-09-03 07:57:05.128190,0 days 00:02:06.581445,4,0.4,16,3,0.6,32,2,0.1,32,2,1.1,0.1,COMPLETE
1,2.9094845200675383,2025-09-03 07:57:05.164156,2025-09-03 08:01:13.202787,0 days 00:04:08.038631,4,0.1,16,4,0.6,32,6,0.30000000000000004,48,4,1.2000000000000002,0.05,COMPLETE
2,0.024423047574236988,2025-09-03 08:01:13.232979,2025-09-03 08:06:30.130685,0 days 00:05:16.897706,8,0.30000000000000004,48,6,0.2,16,2,0.4,48,6,0.9,0.2,COMPLETE
3,0.06023538541048765,2025-09-03 08:06:30.161749,2025-09-03 08:09:09.116750,0 days 00:02:38.955001,16,0.5,16,3,0.6,32,2,0.4,16,6,1.5,0.3,COMPLETE
4,1.0051490730159762,2025-09-03 08:09:09.148928,2025-09-03 08:13:38.233101,0 days 00:04:29.084173,4,0.1,16,3,0.4,64,3,0.30000000000000004,48,4,0.9,0.05,COMPLETE
5,0.01758707258850336,2025-09-03 08:13:38.263422,2025-09-03 08:15:32.722886,0 days 00:01:54.459464,16,0.1,16,3,0.5,16,4,0.5,64,4,1.0,0.3,COMPLETE
6,0.043170460313558576,2025-09-03 08:15:32.753015,2025-09-03 08:17:38.895304,0 days 00:02:06.142289,8,0.2,16,6,0.2,48,2,0.2,32,4,1.5,0.25,COMPLETE
7,0.1615443116053939,2025-09-03 08:17:38.927243,2025-09-03 08:21:43.835373,0 days 00:04:04.908130,8,0.6,64,3,0.4,64,2,0.2,32,6,0.7,0.15000000000000002,COMPLETE
8,0.061310381768271326,2025-09-03 08:21:43.869712,2025-09-03 08:26:32.772386,0 days 00:04:48.902674,4,0.1,32,5,0.30000000000000004,48,3,0.2,48,4,0.7,0.3,COMPLETE
9,0.020681174099445344,2025-09-03 08:26:32.806071,2025-09-03 08:30:11.460768,0 days 00:03:38.654697,8,0.2,16,3,0.4,32,5,0.4,16,5,0.8,0.3,COMPLETE
10,0.16908398615196346,2025-09-03 08:30:11.490964,2025-09-03 08:31:11.875690,0 days 00:01:00.384726,16,0.30000000000000004,64,2,0.5,16,4,0.5,64,2,2.0,0.2,COMPLETE
11,0.11973793515935541,2025-09-03 08:31:11.906207,2025-09-03 08:33:43.329337,0 days 00:02:31.423130,16,0.2,48,2,0.5,16,6,0.5,16,5,0.5,0.3,COMPLETE
12,0.01781070716679096,2025-09-03 08:33:43.359345,2025-09-03 08:35:06.707490,0 days 00:01:23.348145,16,0.2,32,4,0.30000000000000004,16,5,0.4,64,3,1.5,0.25,COMPLETE
13,0.01965851094573736,2025-09-03 08:35:06.739060,2025-09-03 08:36:23.920068,0 days 00:01:17.181008,16,0.2,32,4,0.1,16,5,0.5,64,3,1.5,0.25,COMPLETE
14,0.025946568697690964,2025-09-03 08:36:23.950802,2025-09-03 08:37:56.842362,0 days 00:01:32.891560,16,0.4,32,4,0.30000000000000004,16,4,0.4,64,3,1.8,0.25,COMPLETE
15,0.158944181073457,2025-09-03 08:37:56.872618,2025-09-03 08:39:33.004382,0 days 00:01:36.131764,16,0.1,32,5,0.5,16,5,0.5,64,3,1.3,0.25,COMPLETE
16,0.04439024422317743,2025-09-03 08:39:33.034676,2025-09-03 08:40:54.439359,0 days 00:01:21.404683,16,0.30000000000000004,32,5,0.2,16,4,0.4,64,3,1.7000000000000002,0.2,COMPLETE
17,0.20054117115214468,2025-09-03 08:40:54.469881,2025-09-03 08:43:16.478182,0 days 00:02:22.008301,16,0.2,64,4,0.30000000000000004,16,5,0.5,64,5,1.1,0.15000000000000002,COMPLETE
18,0.06896582208573818,2025-09-03 08:43:16.508794,2025-09-03 08:44:10.974555,0 days 00:00:54.465761,16,0.1,48,2,0.1,64,3,0.30000000000000004,64,2,1.3,0.25,COMPLETE
19,0.025472584925591946,2025-09-03 08:44:11.004164,2025-09-03 08:45:38.831298,0 days 00:01:27.827134,16,0.30000000000000004,32,5,0.5,48,4,0.4,64,3,1.7000000000000002,0.3,COMPLETE
