number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
0,0.11315390337258577,2025-09-04 08:28:19.258730,2025-09-04 08:29:14.986556,0 days 00:00:55.727826,16,0.30000000000000004,72,2,0.2,64,2,0.5,32,2,1.2000000000000002,0.25,COMPLETE
1,0.24789690605054301,2025-09-04 08:29:15.020510,2025-09-04 08:32:07.576439,0 days 00:02:52.555929,4,0.6,96,4,0.2,32,4,0.2,96,4,1.9000000000000001,0.2,COMPLETE
2,2.267187923192978,2025-09-04 08:32:07.606382,2025-09-04 08:33:06.784926,0 days 00:00:59.178544,16,0.4,48,4,0.5,64,2,0.30000000000000004,72,2,1.0,0.05,COMPLETE
3,0.018094952590763567,2025-09-04 08:33:06.814465,2025-09-04 08:34:31.810352,0 days 00:01:24.995887,16,0.2,32,2,0.2,32,3,0.4,32,3,0.7,0.3,COMPLETE
4,0.17755975822607675,2025-09-04 08:34:31.839671,2025-09-04 08:35:58.028163,0 days 00:01:26.188492,4,0.6,48,3,0.2,64,3,0.1,96,2,2.0,0.1,COMPLETE
5,0.068690787977539,2025-09-04 08:35:58.063441,2025-09-04 08:37:39.222895,0 days 00:01:41.159454,8,0.1,72,2,0.30000000000000004,32,4,0.1,96,2,1.4,0.25,COMPLETE
6,0.09374145232141018,2025-09-04 08:37:39.252131,2025-09-04 08:39:46.937341,0 days 00:02:07.685210,4,0.6,48,4,0.2,16,3,0.1,72,3,1.9000000000000001,0.25,COMPLETE
7,1.476172591932118,2025-09-04 08:39:46.966443,2025-09-04 08:41:02.242049,0 days 00:01:15.275606,8,0.6,16,2,0.4,64,4,0.30000000000000004,16,2,1.1,0.3,COMPLETE
8,0.024280792195349933,2025-09-04 08:41:02.271816,2025-09-04 08:42:27.564610,0 days 00:01:25.292794,16,0.4,16,2,0.6,32,3,0.1,64,3,1.9000000000000001,0.25,COMPLETE
9,0.18955315025523306,2025-09-04 08:42:27.596276,2025-09-04 08:44:29.543450,0 days 00:02:01.947174,16,0.4,64,2,0.5,72,3,0.2,16,4,0.5,0.15000000000000002,COMPLETE
10,0.018228477984666824,2025-09-04 08:44:29.572909,2025-09-04 08:45:46.752032,0 days 00:01:17.179123,16,0.1,32,3,0.1,48,2,0.5,32,3,0.5,0.3,COMPLETE
11,0.015451803803443909,2025-09-04 08:45:46.780938,2025-09-04 08:47:06.467172,0 days 00:01:19.686234,16,0.1,32,3,0.1,48,2,0.5,32,3,0.5,0.3,COMPLETE
12,0.017608116380870342,2025-09-04 08:47:06.497379,2025-09-04 08:48:25.648551,0 days 00:01:19.151172,16,0.2,32,3,0.1,48,2,0.4,32,3,0.8,0.3,COMPLETE
13,0.021169326175004242,2025-09-04 08:48:25.677738,2025-09-04 08:49:49.993287,0 days 00:01:24.315549,16,0.2,32,3,0.1,48,2,0.4,32,3,0.8,0.2,COMPLETE
14,0.019399162847548723,2025-09-04 08:49:50.022323,2025-09-04 08:51:40.997156,0 days 00:01:50.974833,16,0.2,32,3,0.1,96,2,0.4,48,4,0.8,0.3,COMPLETE
15,0.07014574543572963,2025-09-04 08:51:41.025808,2025-09-04 08:53:56.613555,0 days 00:02:15.587747,8,0.1,32,3,0.30000000000000004,48,2,0.5,32,3,1.5,0.2,COMPLETE
16,0.021433060802519322,2025-09-04 08:53:56.642439,2025-09-04 08:55:05.772324,0 days 00:01:09.129885,16,0.30000000000000004,64,3,0.1,48,2,0.4,64,3,0.6,0.15000000000000002,COMPLETE
17,0.22347984602674842,2025-09-04 08:55:05.801276,2025-09-04 08:57:02.759915,0 days 00:01:56.958639,16,0.2,96,4,0.30000000000000004,48,2,0.5,48,4,0.9,0.3,COMPLETE
18,0.08213472703161338,2025-09-04 08:57:02.788959,2025-09-04 09:00:45.615374,0 days 00:03:42.826415,4,0.1,32,3,0.4,16,2,0.4,32,4,0.7,0.25,COMPLETE
19,0.26381586883217095,2025-09-04 09:00:45.643979,2025-09-04 09:02:13.471895,0 days 00:01:27.827916,8,0.30000000000000004,32,3,0.1,96,3,0.30000000000000004,32,3,1.6,0.05,COMPLETE
20,0.20739092491567135,2025-09-04 09:02:13.501515,2025-09-04 09:03:24.512752,0 days 00:01:11.011237,16,0.5,32,4,0.1,72,3,0.5,32,3,1.0,0.1,COMPLETE
21,0.017896453104913234,2025-09-04 09:03:24.542093,2025-09-04 09:04:41.970332,0 days 00:01:17.428239,16,0.2,32,2,0.2,32,3,0.4,32,3,0.7,0.3,COMPLETE
22,0.020851345360279085,2025-09-04 09:04:41.998858,2025-09-04 09:05:52.301088,0 days 00:01:10.302230,16,0.2,32,3,0.2,48,4,0.4,32,3,0.5,0.3,COMPLETE
23,0.014578456850722432,2025-09-04 09:05:52.335089,2025-09-04 09:07:06.366369,0 days 00:01:14.031280,16,0.1,32,2,0.1,48,2,0.4,32,3,0.7,0.25,COMPLETE
24,0.057209466304630044,2025-09-04 09:07:06.395765,2025-09-04 09:08:29.172435,0 days 00:01:22.776670,16,0.1,32,2,0.1,48,2,0.5,32,3,0.9,0.25,COMPLETE
25,0.020953729562461377,2025-09-04 09:08:29.202182,2025-09-04 09:09:40.951813,0 days 00:01:11.749631,16,0.1,16,3,0.1,48,2,0.30000000000000004,64,3,0.6,0.25,COMPLETE
26,0.2910286858677864,2025-09-04 09:09:40.982458,2025-09-04 09:11:38.470360,0 days 00:01:57.487902,16,0.1,96,4,0.30000000000000004,48,2,0.4,72,4,1.3,0.2,COMPLETE
27,0.01606810474768281,2025-09-04 09:11:38.499143,2025-09-04 09:12:32.273427,0 days 00:00:53.774284,16,0.2,64,3,0.1,48,2,0.5,48,2,0.8,0.3,COMPLETE
28,0.01630111459332208,2025-09-04 09:12:32.302605,2025-09-04 09:14:24.191234,0 days 00:01:51.888629,4,0.30000000000000004,64,2,0.2,48,2,0.5,48,2,0.6,0.25,COMPLETE
29,0.015532108210027217,2025-09-04 09:14:24.220041,2025-09-04 09:15:58.404386,0 days 00:01:34.184345,8,0.30000000000000004,72,3,0.2,16,2,0.5,48,2,1.2000000000000002,0.25,COMPLETE
30,0.08063832293264568,2025-09-04 09:15:58.433519,2025-09-04 09:17:25.275686,0 days 00:01:26.842167,8,0.5,72,2,0.2,16,2,0.5,48,2,1.2000000000000002,0.2,COMPLETE
31,0.017819596733897925,2025-09-04 09:17:25.303719,2025-09-04 09:18:39.675534,0 days 00:01:14.371815,8,0.30000000000000004,72,3,0.1,16,2,0.5,48,2,1.2000000000000002,0.25,COMPLETE
32,0.015659622522071003,2025-09-04 09:18:39.705422,2025-09-04 09:19:58.746520,0 days 00:01:19.041098,8,0.30000000000000004,64,3,0.2,16,2,0.5,48,2,1.0,0.3,COMPLETE
33,0.07430617054924368,2025-09-04 09:19:58.775328,2025-09-04 09:21:32.669218,0 days 00:01:33.893890,8,0.4,72,3,0.2,16,2,0.5,48,2,1.1,0.25,COMPLETE
34,0.026364162936806677,2025-09-04 09:21:32.697955,2025-09-04 09:23:10.641198,0 days 00:01:37.943243,8,0.5,64,4,0.2,16,2,0.5,48,2,1.7000000000000002,0.3,COMPLETE
35,0.22942766244523227,2025-09-04 09:23:10.669399,2025-09-04 09:24:22.781769,0 days 00:01:12.112370,8,0.30000000000000004,72,3,0.30000000000000004,16,2,0.5,16,2,1.0,0.2,COMPLETE
36,0.02197098694741726,2025-09-04 09:24:22.810438,2025-09-04 09:26:05.362191,0 days 00:01:42.551753,8,0.4,48,4,0.2,16,2,0.4,96,2,1.1,0.3,COMPLETE
37,0.11909756977111101,2025-09-04 09:26:05.392034,2025-09-04 09:27:26.171725,0 days 00:01:20.779691,8,0.30000000000000004,72,2,0.4,64,3,0.5,72,2,1.3,0.25,COMPLETE
38,0.2849480005602042,2025-09-04 09:27:26.200968,2025-09-04 09:28:55.722916,0 days 00:01:29.521948,4,0.1,96,3,0.2,72,2,0.2,48,2,0.9,0.15000000000000002,COMPLETE
39,0.016758887027390302,2025-09-04 09:28:55.752583,2025-09-04 09:30:38.293872,0 days 00:01:42.541289,8,0.30000000000000004,64,3,0.30000000000000004,96,3,0.4,96,2,1.4,0.25,COMPLETE
40,0.07391491369344294,2025-09-04 09:30:38.321703,2025-09-04 09:33:07.517772,0 days 00:02:29.196069,8,0.4,48,2,0.6,16,2,0.30000000000000004,16,3,0.7,0.3,COMPLETE
41,0.07975231362506748,2025-09-04 09:33:07.546108,2025-09-04 09:34:01.847460,0 days 00:00:54.301352,16,0.2,64,3,0.1,48,2,0.5,48,2,1.0,0.3,COMPLETE
42,0.01702551217749715,2025-09-04 09:34:01.875905,2025-09-04 09:34:54.333271,0 days 00:00:52.457366,16,0.2,64,3,0.1,64,2,0.5,48,2,0.8,0.3,COMPLETE
43,0.07407494413976869,2025-09-04 09:34:54.362244,2025-09-04 09:37:02.413858,0 days 00:02:08.051614,4,0.1,64,3,0.1,16,2,0.5,48,2,0.6,0.3,COMPLETE
44,0.026816641539335252,2025-09-04 09:37:02.443057,2025-09-04 09:37:51.291399,0 days 00:00:48.848342,16,0.2,16,3,0.1,32,2,0.5,48,2,0.9,0.25,COMPLETE
45,0.018400670075789095,2025-09-04 09:37:51.319483,2025-09-04 09:39:09.861315,0 days 00:01:18.541832,8,0.2,64,4,0.2,48,2,0.4,64,2,0.5,0.3,COMPLETE
46,0.14551787455566229,2025-09-04 09:39:09.890610,2025-09-04 09:40:07.858138,0 days 00:00:57.967528,16,0.1,72,2,0.2,72,3,0.5,72,2,0.8,0.25,COMPLETE
47,0.018004024028778078,2025-09-04 09:40:07.888005,2025-09-04 09:41:24.957403,0 days 00:01:17.069398,16,0.30000000000000004,64,3,0.1,48,2,0.2,48,3,1.1,0.3,COMPLETE
48,0.014789341553114354,2025-09-04 09:41:24.986727,2025-09-04 09:43:22.749004,0 days 00:01:57.762277,8,0.1,48,3,0.1,96,4,0.4,96,3,0.7,0.2,COMPLETE
49,0.01635410205926746,2025-09-04 09:43:22.777665,2025-09-04 09:45:28.865388,0 days 00:02:06.087723,8,0.1,48,3,0.30000000000000004,96,4,0.4,96,3,0.5,0.2,COMPLETE
50,0.017249389248900116,2025-09-04 09:45:28.896418,2025-09-04 09:47:54.759238,0 days 00:02:25.862820,8,0.1,48,3,0.1,96,4,0.30000000000000004,96,4,0.7,0.15000000000000002,COMPLETE
51,0.07413479783572256,2025-09-04 09:47:54.787961,2025-09-04 09:50:22.425082,0 days 00:02:27.637121,8,0.2,48,3,0.5,96,4,0.5,96,3,0.6,0.2,COMPLETE
52,0.01440660955850035,2025-09-04 09:50:22.456004,2025-09-04 09:52:31.406093,0 days 00:02:08.950089,8,0.1,48,3,0.1,96,4,0.5,32,3,0.7,0.25,COMPLETE
53,0.10725531917996704,2025-09-04 09:52:31.437158,2025-09-04 09:54:20.641487,0 days 00:01:49.204329,8,0.1,48,3,0.1,96,4,0.4,32,3,0.7,0.2,COMPLETE
54,0.013474856107495724,2025-09-04 09:54:20.669459,2025-09-04 09:56:51.497302,0 days 00:02:30.827843,8,0.1,48,3,0.2,96,4,0.4,32,3,0.6,0.25,COMPLETE
55,0.07490465028677136,2025-09-04 09:56:51.525423,2025-09-04 09:58:42.694212,0 days 00:01:51.168789,8,0.1,48,3,0.1,96,4,0.4,32,3,0.6,0.25,COMPLETE
