number,value,datetime_start,datetime_complete,duration,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,state
0,0.13973955671535804,2025-09-15 20:23:06.495951,2025-09-15 20:30:25.107017,0 days 00:07:18.611066,0.2,64,2,0.2,16,2,0.1,32,5,COMPLETE
1,0.11689697046531364,2025-09-15 20:30:25.134372,2025-09-15 20:33:24.348487,0 days 00:02:59.214115,0.4,64,2,0.30000000000000004,16,4,0.5,48,2,COMPLETE
2,0.22005381017224862,2025-09-15 20:33:24.362435,2025-09-15 20:42:43.752115,0 days 00:09:19.389680,0.1,48,4,0.5,64,2,0.1,72,6,COMPLETE
3,0.12572112577036024,2025-09-15 20:42:43.776761,2025-09-15 20:47:23.685116,0 days 00:04:39.908355,0.5,48,2,0.2,16,2,0.1,16,3,COMPLETE
4,0.07880761746782809,2025-09-15 20:47:23.700626,2025-09-15 20:55:12.044027,0 days 00:07:48.343401,0.4,64,4,0.2,32,4,0.2,48,5,COMPLETE
5,0.021719456068240106,2025-09-15 20:55:12.060057,2025-09-15 21:00:01.420673,0 days 00:04:49.360616,0.5,48,3,0.2,32,3,0.30000000000000004,112,3,COMPLETE
6,0.27901534559205177,2025-09-15 21:00:01.445157,2025-09-15 21:06:02.939223,0 days 00:06:01.494066,0.30000000000000004,48,4,0.6,32,3,0.1,32,4,COMPLETE
7,0.13427614858373998,2025-09-15 21:06:02.949465,2025-09-15 21:12:32.834998,0 days 00:06:29.885533,0.6,16,4,0.30000000000000004,48,4,0.1,72,5,COMPLETE
8,0.13349400360020808,2025-09-15 21:12:32.855361,2025-09-15 21:19:37.196376,0 days 00:07:04.341015,0.1,48,2,0.4,48,4,0.2,144,5,COMPLETE
9,0.08571612569503487,2025-09-15 21:19:37.212901,2025-09-15 21:24:05.361119,0 days 00:04:28.148218,0.4,48,4,0.30000000000000004,32,2,0.4,128,3,COMPLETE
10,0.08356917845085263,2025-09-15 21:24:05.387017,2025-09-15 21:27:12.042229,0 days 00:03:06.655212,0.6,32,3,0.1,64,3,0.30000000000000004,112,2,COMPLETE
11,0.21924804726149888,2025-09-15 21:27:12.066711,2025-09-15 21:33:06.449298,0 days 00:05:54.382587,0.5,64,3,0.1,32,3,0.30000000000000004,48,4,COMPLETE
12,0.022324870410375296,2025-09-15 21:33:06.470860,2025-09-15 21:39:25.222684,0 days 00:06:18.751824,0.30000000000000004,16,3,0.2,32,3,0.2,112,4,COMPLETE
13,0.02221255484037101,2025-09-15 21:39:25.246992,2025-09-15 21:44:15.335142,0 days 00:04:50.088150,0.30000000000000004,16,3,0.1,32,3,0.4,112,3,COMPLETE
14,0.03842631280422211,2025-09-15 21:44:15.350164,2025-09-15 21:49:12.200996,0 days 00:04:56.850832,0.5,16,3,0.1,32,3,0.4,112,3,COMPLETE
15,0.014843136328272522,2025-09-15 21:49:12.223350,2025-09-15 21:54:07.733401,0 days 00:04:55.510051,0.2,32,3,0.1,32,3,0.4,96,3,COMPLETE
16,0.12145911939442158,2025-09-15 21:54:07.757259,2025-09-15 21:57:27.962992,0 days 00:03:20.205733,0.2,32,3,0.4,32,3,0.5,96,2,COMPLETE
17,0.016068999841809272,2025-09-15 21:57:27.986601,2025-09-15 22:02:22.366933,0 days 00:04:54.380332,0.2,32,3,0.2,64,4,0.4,96,3,COMPLETE
18,0.013658945681527257,2025-09-15 22:02:22.382853,2025-09-15 22:05:47.673792,0 days 00:03:25.290939,0.2,32,2,0.1,64,4,0.4,96,2,COMPLETE
19,0.012189366843085737,2025-09-15 22:05:47.688089,2025-09-15 22:09:06.965299,0 days 00:03:19.277210,0.1,32,2,0.1,64,4,0.5,64,2,COMPLETE
20,0.17789346401696093,2025-09-15 22:09:06.989723,2025-09-15 22:12:28.814226,0 days 00:03:21.824503,0.1,32,2,0.6,64,4,0.5,64,2,COMPLETE
21,0.07342103661503643,2025-09-15 22:12:28.827878,2025-09-15 22:15:57.039132,0 days 00:03:28.211254,0.2,32,2,0.1,64,4,0.5,64,2,COMPLETE
22,0.012919030047487467,2025-09-15 22:15:57.053367,2025-09-15 22:19:23.323315,0 days 00:03:26.269948,0.1,32,2,0.1,64,4,0.4,96,2,COMPLETE
23,0.01361509122652933,2025-09-15 22:19:23.337807,2025-09-15 22:22:49.214864,0 days 00:03:25.877057,0.1,32,2,0.1,64,4,0.5,96,2,COMPLETE
24,,2025-09-15 22:22:49.239011,2025-09-15 22:25:55.525297,0 days 00:03:06.286286,0.1,32,2,0.1,64,4,0.5,64,2,FAIL
