,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,8.7,0.0
1,1,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,8.8,9.944229999999999e-27
2,2,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,8.9,7.62402e-26
3,3,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.0,2.46713e-25
4,4,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.1,5.60984e-25
5,5,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.2,1.0515400000000002e-24
6,6,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.3,1.74466e-24
7,7,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.4,2.6612700000000003e-24
8,8,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.5,3.81761e-24
9,9,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.6,5.2259000000000005e-24
10,10,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.7,6.8949e-24
11,11,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,9.8,8.83034e-24
12,12,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,10.0,1.35112e-23
13,13,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,11.0,5.2347e-23
14,14,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,12.0,1.1166799999999999e-22
15,15,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,13.0,1.83252e-22
16,16,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,14.0,2.60349e-22
17,17,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,15.0,3.38285e-22
18,18,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,16.0,4.14094e-22
19,19,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,17.0,4.86032e-22
20,20,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,18.0,5.53174e-22
21,21,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,19.0,6.15123e-22
22,22,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,20.0,6.71819e-22
23,23,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,30.0,1.00751e-21
24,24,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,40.0,1.10817e-21
25,25,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,50.0,1.1192099999999999e-21
26,26,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,60.0,1.09536e-21
27,27,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,70.0,1.05816e-21
28,28,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,80.0,1.01669e-21
29,29,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,90.0,9.74938e-22
30,30,53,EXCITATION,C2H4(v1) -> CH3 CH,8.7,e / C2H4(v1),E + C2H4(v1) -> E + CH3 + CH,100.0,9.34678e-22
