1,bolsig:CH4->CH4(V24)
2,bolsig:CH4->CH4(V13)
3,bolsig:CH4(V24)->CH4
4,bolsig:CH4(V13)->CH4
5,bolsig:C2H6->C2H6(V24)
6,bolsig:C2H6->C2H6(V13)
7,bolsig:C2H6(V24)->C2H6
8,bolsig:C2H6(V13)->C2H6
9,bolsig:C2H4->C2H4(V2)
10,bolsig:C2H4->C2H4(V1)
11,bolsig:C2H4(V2)->C2H4
12,bolsig:C2H4(V1)->C2H4
13,bolsig:C2H2->C2H2(V2)
14,bolsig:C2H2->C2H2(V5)
15,bolsig:C2H2->C2H2(V13)
16,bolsig:C2H2(V2)->C2H2
17,bolsig:C2H2(V5)->C2H2
18,bolsig:C2H2(V13)->C2H2
19,bolsig:C3H8->C3H8(V2)
20,bolsig:C3H8->C3H8(V1)
21,bolsig:C3H8(V2)->C3H8
22,bolsig:C3H8(V1)->C3H8
23,bolsig:C3H6->C3H6(V)
24,bolsig:C3H6(V)->C3H6
25,bolsig:CH3->CH3^+
26,bolsig:CH4->CH4^+
27,bolsig:CH4(V24)->CH4^+
28,bolsig:CH4(V13)->CH4^+
29,bolsig:C2H6->C2H6^+
30,bolsig:C2H6(V24)->C2H6^+
31,bolsig:C2H6(V13)->C2H6^+
32,bolsig:C2H4->C2H4^+
33,bolsig:C2H4(V2)->C2H4^+
34,bolsig:C2H4(V1)->C2H4^+
35,bolsig:C2H2->C2H2^+
36,bolsig:C2H2(V2)->C2H2^+
37,bolsig:C2H2(V5)->C2H2^+
38,bolsig:C2H2(V13)->C2H2^+
39,bolsig:C3H8->C3H8^+
40,bolsig:C3H8(V2)->C3H8^+
41,bolsig:C3H8(V1)->C3H8^+
42,bolsig:C3H6->C3H6^+
43,bolsig:C3H6(V)->C3H6^+
44,bolsig:CH3^+->CH3
45,bolsig:CH4^+->CH4
46,bolsig:C2H6^+->C2H6
47,bolsig:C2H4^+->C2H4
48,bolsig:C2H2^+->C2H2
49,bolsig:C3H8^+->C3H8
50,bolsig:C3H6^+->C3H6
51,bolsig:CH4->CH3H
52,bolsig:CH4(V24)->CH3H
53,bolsig:CH4(V13)->CH3H
54,bolsig:CH4->CH2H2
55,bolsig:CH4(V24)->CH2H2
56,bolsig:CH4(V13)->CH2H2
57,bolsig:C2H6->C2H4H2
58,bolsig:C2H6(V24)->C2H4H2
59,bolsig:C2H6(V13)->C2H4H2
60,E+C2H5^+=>C2H3+H+H
61,bolsig:C2H4->C2H2H2
62,bolsig:C2H4(V1)->C2H2H2
63,bolsig:C2H4(V2)->C2H2H2
64,E+C2H5^+=>C2H2+H2+H
65,bolsig:C3H6->C2H2CH4
66,bolsig:C3H6(V)->C2H2CH4
67,E+C2H5^+=>C2H2+H+H+H
68,bolsig:C2H4->C2H3H
69,bolsig:C2H4(V1)->C2H3H
70,bolsig:C2H4(V2)->C2H3H
71,bolsig:C3H8->C3H6H2
72,bolsig:C3H8(V1)->C3H6H2
73,bolsig:C3H8(V2)->C3H6H2
74,bolsig:CH4->CHH2H
75,bolsig:CH4(V24)->CHH2H
76,bolsig:CH4(V13)->CHH2H
77,bolsig:CH->CH
78,CH3+H=>CH4
79,CH3+CH3=>C2H6
80,C2H4+H=>C2H5
81,C2H4(V1)+H=>C2H5
82,C2H4(V2)+H=>C2H5
83,CH+CH4=>C2H4+H
84,CH+CH4(V24)=>C2H4+H
85,CH+CH4(V13)=>C2H4+H
86,C2H5+H=>C2H6
87,C2H5+C2H5=>C4H9H
88,CH2+H=>CH+H2
89,CH2+CH3=>C2H4+H
90,C2H5+H=>CH3+CH3
91,CH4+CH4^+=>CH3+CH5^+
92,CH4(V24)+CH4^+=>CH3+CH5^+
93,CH4(V13)+CH4^+=>CH3+CH5^+
94,CH3+C2H5=>C3H8
95,CH3+C2H3=>C3H6
96,C3H6+H=>C3H7
97,C3H6(V)+H=>C3H7
98,C4H9H+CH2=>C5H12
99,C3H7+H2=>C3H8+H
100,C2H6+CH5^+=>CH4+H2+C2H5^+
101,C2H6(V24)+CH5^+=>CH4+H2+C2H5^+
102,C2H6(V13)+CH5^+=>CH4+H2+C2H5^+
103,C2H4+CH5^+=>CH4+C2H5^+
104,C2H4(V1)+CH5^+=>CH4+C2H5^+
105,C2H4(V2)+CH5^+=>CH4+C2H5^+
106,C3H7+H=>C3H8
107,C2H3+H=>C2H2+H2
108,C3H8+CH2=>C4H9H
109,C3H8(V1)+CH2=>C4H9H
110,C3H8(V2)+CH2=>C4H9H
111,CH4+CH3^+=>H2+C2H5^+
112,CH4(V24)+CH3^+=>H2+C2H5^+
113,CH4(V13)+CH3^+=>H2+C2H5^+
114,H+H=>H2
