변수명,x좌표,성분명,값
C,0.0,CH4,0.0
C,2.5,CH4,9.366614891380077e-41
C,5.0,CH4,8.94628898526485e-41
C,7.5,CH4,8.562752500814722e-41
C,10.0,CH4,8.211418511933434e-41
C,12.5,CH4,7.888265948887028e-41
C,15.0,CH4,7.590007713065904e-41
C,17.5,CH4,7.313868781920372e-41
C,20.0,CH4,7.057446079114224e-41
C,22.5,CH4,6.818696432116055e-41
C,25.0,CH4,6.595798016076688e-41
C,27.5,CH4,6.387238824479294e-41
C,30.0,CH4,6.191641643676905e-41
C,32.5,CH4,6.007848212907602e-41
C,35.0,CH4,5.834800989736591e-41
C,37.5,CH4,5.671567234873553e-41
C,40.0,CH4,5.517328064528401e-41
C,42.5,CH4,5.371369692295868e-41
C,45.0,CH4,5.245195902756522e-41
C,47.5,CH4,5.114397828284903e-41
C,50.0,CH4,4.995167034730516e-41
C,0.0,CO,-5.345529420184391e-51
C,2.5,CO,8.244944577692405e-47
C,5.0,CO,3.8316754883881717e-47
C,7.5,CO,6.56858655152258e-47
C,10.0,CO,5.542244902847177e-47
C,12.5,CO,-1.3684555315672042e-47
C,15.0,CO,-6.56858655152258e-47
C,17.5,CO,-5.473822126268817e-47
C,20.0,CO,-8.758115402030107e-47
C,22.5,CO,-9.305497614656988e-47
C,25.0,CO,-7.663350976776343e-47
C,27.5,CO,-6.56858655152258e-47
C,30.0,CO,-1.313717310304516e-46
C,32.5,CO,-1.3684555315672042e-46
C,35.0,CO,-8.758115402030107e-47
C,37.5,CO,-8.210733189403225e-47
C,40.0,CO,-8.758115402030107e-47
C,42.5,CO,6.585008017901386e-45
C,45.0,CO,6.426267176239591e-45
C,47.5,CO,5.996024757114862e-44
C,50.0,CO,4.889217923183307e-44
C,0.0,CO2,0.005151284261978807
C,2.5,CO2,0.004908690553295708
C,5.0,CO2,0.004688384109159136
C,7.5,CO2,0.004487390058972744
C,10.0,CO2,0.004303244990227933
C,12.5,CO2,0.004133890863684668
C,15.0,CO2,0.003977594410116023
C,17.5,CO2,0.003832885115134483
C,20.0,CO2,0.0036985069572700985
C,22.5,CO2,0.003573380454590237
C,25.0,CO2,0.003456572530080791
C,27.5,CO2,0.003347272372359867
C,30.0,CO2,0.003244771940019953
C,32.5,CO2,0.0031484500963002283
C,35.0,CO2,0.0030577596065523346
C,37.5,CO2,0.0029722164114858586
C,40.0,CO2,0.0028913907231925334
C,42.5,CO2,0.0028148995914201737
C,45.0,CO2,0.0027424006635914577
C,47.5,CO2,0.0026735869200869033
C,50.0,CO2,0.00260818221095851
C,0.0,H2,0.020605137047915226
C,2.5,H2,0.01963476221318283
C,5.0,H2,0.018753536436636544
C,7.5,H2,0.017949560235890977
C,10.0,H2,0.017212979960911732
C,12.5,H2,0.016535563454738673
C,15.0,H2,0.01591037764046409
C,17.5,H2,0.015331540460537932
C,20.0,H2,0.014794027829080394
C,22.5,H2,0.01429352181836095
C,25.0,H2,0.013826290120323164
C,27.5,H2,0.013389089489439468
C,30.0,H2,0.012979087760079812
C,32.5,H2,0.012593800385200913
C,35.0,H2,0.012231038426209337
C,37.5,H2,0.011888865645943434
C,40.0,H2,0.011565562892770134
C,42.5,H2,0.011259598365680693
C,45.0,H2,0.01096960265436583
C,47.5,H2,0.010694347680347613
C,50.0,H2,0.01043272884383404
C,0.0,H2O,-5.145392798692688e-46
C,2.5,H2O,-5.230100196096698e-43
C,5.0,H2O,-4.978988606054116e-43
C,7.5,H2O,-4.768684359962868e-43
C,10.0,H2O,-4.572612051399919e-43
C,12.5,H2O,-4.393289638543352e-43
C,15.0,H2O,-4.2301697391805415e-43
C,17.5,H2O,-4.076026908104812e-43
C,20.0,H2O,-3.932393815511518e-43
C,22.5,H2O,-3.801022084481066e-43
C,25.0,H2O,-3.676656845772239e-43
