EXCITATION	
C2H5 -> C2H2 H2 H 	
5.47	
SPECIES: e / C2H5	
PROCESS: E + C2H5 -> E + C2H2 H2 H, Excitation	
PARAM.:  E = 5.47 eV, complete set	
COLUMNS: Energy (eV) | Cross section (m2)	
-----------------------------	
5.47	0
5.5	3.17518E-27
6	1.25664E-23
6.5	6.80329E-23
7	1.68335E-22
7.5	3.02789E-22
8	4.59291E-22
8.5	6.27664E-22
8.6	6.62046E-22
8.8	7.31101E-22
9	8.00251E-22
9.5	9.71651E-22
10	1.13823E-21
11	1.44863E-21
12	1.72266E-21
13	1.9593E-21
14	2.16097E-21
15	2.33138E-21
16	2.47451E-21
17	2.59413E-21
18	2.69364E-21
19	2.77599E-21
20	2.84372E-21
30	3.06391E-21
40	2.96237E-21
50	2.79315E-21
60	2.6193E-21
70	2.4577E-21
80	2.31199E-21
90	2.18178E-21
100	2.06553E-21	
-----------------------------
