EXCITATION	
C2H5 -> C2H3 H H 	
8.67	
SPECIES: e / C2H5	
PROCESS: E + C2H5 -> E + C2H3 H H, Excitation	
PARAM.:  E = 8.67 eV, complete set	
COLUMNS: Energy (eV) | Cross section (m2)	
-----------------------------	
8.67	0
8.7	2.02941E-28
8.72	9.31451E-28
8.75	3.76619E-27
8.78	9.66522E-27
8.8	1.58177E-26
8.82	2.4092E-26
8.85	4.11021E-26
8.87	5.59043E-26
8.89	7.37804E-26
9	2.37745E-25
9.5	3.08672E-24
10	1.04751E-23
11	3.94019E-23
12	8.30731E-23
13	1.35471E-22
14	1.91713E-22
15	2.48435E-22
16	3.03517E-22
17	3.55719E-22
18	4.04388E-22
19	4.49254E-22
20	4.90283E-22
30	7.32527E-22
40	8.04632E-22
50	8.12081E-22
60	7.94439E-22
70	7.67237E-22
80	7.37014E-22
90	7.06641E-22
100	6.77378E-22
-----------------------------
