exp,T,V,E,CF_LA,CF_K,CA_LA,CB_K,dNLA,dNK,dVF,dVA,dVB
1,24.81666667,20,0.25,0.247983448,0.334174642,0.270236691,0.65984756,-0.159366693,-0.134361534,-0.018181818,-0.027272727,0.090909091
1,24.81666667,20,0.25,0.231200818,0.320271766,0.286925542,0.66688826,-0.159366693,-0.134361534,-0.018181818,-0.027272727,0.090909091
1,24.81666667,20,0.25,0.214351919,0.306313992,0.303705754,0.673808811,-0.159366693,-0.134361534,-0.018181818,-0.027272727,0.090909091
1,24.81666667,20,0.25,0.197436357,0.292300994,0.320578081,0.680612263,-0.159366693,-0.134361534,-0.018181818,-0.027272727,0.090909091
1,24.81666667,20,0.25,0.180453737,0.278232444,0.337543283,0.687301564,-0.159366693,-0.134361534,-0.018181818,-0.027272727,0.090909091
1,24.81666667,20,0.25,0.163403659,0.264108011,0.35460213,0.693879562,-0.159366693,-0.134361534,-0.018181818,-0.027272727,0.090909091
1,24.81666667,20,0.25,0.14628572,0.249927361,0.371755398,0.700349011,-0.159366693,-0.134361534,-0.018181818,-0.027272727,0.090909091
1,24.81666667,20,0.25,0.129099514,0.235690159,0.389003874,0.706712578,-0.159366693,-0.134361534,-0.018181818,-0.027272727,0.090909091
2,23.2875,10,0.25,0.5,1,0,0,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.498320406,0.995604275,-0.000314316,0.000414552,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.496654142,0.991243437,-0.000629895,0.000831605,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.495001051,0.986917072,-0.000946744,0.001251184,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.493360975,0.982624772,-0.00126487,0.001673311,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.491733763,0.978366138,-0.001584281,0.002098009,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.490119264,0.974140774,-0.001904986,0.002525303,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.488517329,0.969948293,-0.002226992,0.002955214,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.486927812,0.965788311,-0.002550307,0.003387769,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.485350569,0.961660453,-0.002874938,0.003822991,0.003136877,-0.004133079,0.04,-0.02,-0.03
2,23.2875,10,0.25,0.483785459,0.957564348,-0.003200895,0.004260906,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.482321914,0.961713853,-0.004108572,-0.005150647,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.480872308,0.96582384,-0.005016248,-0.014581644,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.479436442,0.969894869,-0.005923925,-0.024032147,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.478014122,0.973927492,-0.006831601,-0.033502217,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.476605157,0.97792225,-0.007739278,-0.042991914,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.47520936,0.981879675,-0.008646954,-0.052501299,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.473826547,0.985800285,-0.009554631,-0.062030433,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.472456538,0.989684594,-0.010462308,-0.071579378,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.471099156,0.993533103,-0.011369984,-0.081148197,0.00889523,0.091240551,0.05,0,-0.01
2,23.2875,10,0.25,0.469754227,0.997346305,-0.012277661,-0.09073695,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.468383534,0.988600084,-0.010764098,-0.080975043,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.46701284,0.979853863,-0.009247439,-0.071172292,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.465642147,0.971107643,-0.007727676,-0.061328439,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.464271453,0.962361422,-0.006204799,-0.051443225,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.462900759,0.953615202,-0.004678798,-0.041516389,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.461530066,0.944868981,-0.003149663,-0.031547668,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.460159372,0.93612276,-0.001617385,-0.021536796,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.458788679,0.92737654,-8.19548E-05,-0.011483505,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.457417985,0.918630319,0.001456638,-0.001387524,-0.014940559,-0.095333805,0,-0.01,-0.02
2,23.2875,10,0.25,0.456047292,0.909884099,0.002998404,0.008751418,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.454667927,0.900250822,0.002204762,0.015165618,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.453301103,0.890705121,0.001411121,0.02160723,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.451946647,0.881245806,0.000617479,0.028076429,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.450604394,0.87187171,-0.000176162,0.034573393,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.449274179,0.862581686,-0.000969804,0.041098301,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.447955841,0.85337461,-0.001763445,0.047651333,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.446649222,0.844249374,-0.002557087,0.054232672,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.445354165,0.835204892,-0.003350728,0.060842502,0.007698323,-0.059990174,0.05,0,-0.02
2,23.2875,10,0.25,0.444070519,0.826240098,-0.00414437,0.067481008,0.007698323,-0.059990174,0.05,0,-0.02
